UID,SITE_ID,VISIT_NO,OE_SCORE
2012758,NRS18_MI_10052,1,0.757276667
2012759,NRS18_CT_10018,1,1.059079165
2012760,NRS18_NE_10018,1,0.669453488
2012761,NRS18_IL_10020,1,0.979699672
2012762,NRS18_WA_10065,1,1.099993651
2012764,NRS18_WA_10017,1,1.151510955
2012765,NRS18_WA_10010,1,0.918006459
2012766,NRS18_CA_10343,1,1.169479634
2012767,NRS18_MI_10047,1,1.11462426
2012768,NRS18_NY_10033,1,0.6517029
2012769,NRS18_NV_10001,1,0.83765639
2012770,NRS18_WA_10044,1,0.909048627
2012771,NRS18_MA_10182,1,0.609883308
2012772,NRS18_IL_10011,1,0.566380797
2012773,NRS18_NY_10036,1,0.665107945
2012774,NRS18_IL_10364,1,1.124184335
2012775,NRS18_OR_10016,1,1.11003052
2012776,NRS18_VT_10006,2,1.084613235
2012777,NRS18_NY_10015,1,0.373174595
2012778,NRS18_ND_10054,1,1.239654428
2012779,NRS18_KS_10033,1,1.020514568
2012780,NRS18_NV_10002,2,0.562999872
2012781,NRS18_WA_10519,1,1.103943046
2012782,NRS18_IL_10971,1,1.171342953
2012783,NRS18_MA_10003,1,0.252113644
2012784,NRS18_WV_10010,2,0.991866538
2012785,NRS18_MA_10019,1,0.404948393
2012786,NRS18_ID_10001,1,1.082491462
2012787,NRS18_OH_10012,2,0.864840876
2012788,NRS18_WI_10029,1,1.056905616
2012789,NRS18_WA_10060,1,1.017336069
2012790,NRS18_WA_10360,1,1.497174651
2012791,NRS18_WA_10018,1,1.193430151
2012792,NRS18_WA_10032,1,1.211036918
2012793,NRS18_DE_10005,1,0.94458219
2012794,NRS18_OR_10015,1,0.977481382
2012795,NRS18_KY_10001,2,0.712273439
2012796,NRS18_KY_10020,1,0.237610653
2012797,NRS18_WI_10001,2,1.066900894
2012798,NRS18_ID_10016,1,0.636823179
2012799,NRS18_RI_10018,1,0.539644411
2012800,NRS18_RI_10019,1,0.827656327
2012801,NRS18_NV_10012,2,1.034101536
2012802,NRS18_WA_10013,2,1.048401505
2012803,NRS18_WA_10016,1,0.799104017
2012804,NRS18_MA_10014,1,0.745973876
2012805,NRS18_WA_10006,1,0.407033701
2012806,NRS18_WA_10034,1,0.633629974
2012807,NRS18_IL_10012,1,0.754160697
2012808,NRS18_RI_10183,1,0.442598106
2012809,NRS18_IL_10024,1,0.360452477
2012810,NRS18_WA_10212,1,0.734857297
2012811,NRS18_RI_10194,1,0.514577854
2012812,NRS18_CA_10056,1,0.52248832
2012813,NRS18_AL_10007,1,0.385778477
2012814,NRS18_AL_10002,1,0.283331133
2012815,NRS18_NE_10029,1,0.762969461
2012816,NRS18_UT_10008,1,0.481642928
2012820,NRS18_KS_10005,1,0.955679322
2012821,NRS18_SD_10003,1,0.972290181
2012822,NRS18_NV_10638,1,0.788198253
2012823,NRS18_WA_10014,2,1.40470621
2012824,NRS18_RI_10003,1,0.248633388
2012825,NRS18_PA_10020,1,0.924809772
2012826,NRS18_NY_10035,1,0.683911805
2012827,NRS18_AR_10010,1,0.391228325
2012828,NRS18_NE_10021,1,0.50716552
2012829,NRS18_GA_10001,2,0.782830193
2012830,NRS18_AL_10016,1,0.37215851
2012831,NRS18_ND_10023,1,0.995214732
2012832,NRS18_IA_10019,1,0.570209633
2012833,NRS18_IA_10042,1,0.950390902
2012834,NRS18_OK_10923,1,1.425205277
2012835,NRS18_WI_10243,1,1.363927473
2012836,NRS18_TX_10013,1,0.753308079
2012837,NRS18_CO_RF002,1,1.189718997
2012838,NRS18_ID_10012,1,1.331046426
2012839,NRS18_NV_10195,1,0.501465174
2012840,NRS18_AR_10018,1,0.811504152
2012841,NRS18_CA_10020,1,0.521872917
2012842,NRS18_VT_10002,2,0.677164568
2012843,NRS18_UT_10027,1,0.793611063
2012845,NRS18_WA_10001,2,1.054875721
2012846,NRS18_WA_10038,1,0.993947121
2012847,NRS18_SD_10031,1,0.096385106
2012848,NRS18_CA_10324,1,0.617023148
2012849,NRS18_DE_10015,1,1.218060335
2012850,NRS18_IA_RF001,1,1.10851511
2012851,NRS18_CT_10008,1,0.688121805
2012852,NRS18_WI_10043,1,1.070000453
2012853,NRS18_VT_10023,2,0.957670549
2012855,NRS18_NY_10027,1,0.992201512
2012856,NRS18_AR_10006,1,1.009720953
2012857,NRS18_NE_10026,1,0.253499415
2012858,NRS18_TX_10056,1,0.826514072
2012859,NRS18_AR_10190,1,0.875372619
2012860,NRS18_ND_10001,1,1.407866216
2012861,NRS18_UT_10015,1,1.026415857
2012862,NRS18_GA_10011,2,0.808062709
2012863,NRS18_PA_10002,1,0.790187356
2012864,NRS18_NH_10002,1,0.977050725
2012865,NRS18_IA_10035,1,1.047952365
2012866,NRS18_NV_10026,1,0.890434479
2012867,NRS18_CO_11276,1,0.601808405
2012868,NRS18_CA_10352,1,1.267886151
2012869,NRS18_WV_RF003,1,1.081592439
2012870,NRS18_OK_10022,1,1.357639372
2012871,NRS18_NY_10032,1,0.78549852
2012872,NRS18_CO_RF001,1,0.979025794
2012873,NRS18_VT_10001,1,1.168862606
2012874,NRS18_PA_10006,1,0.950129301
2012875,NRS18_ID_10019,1,1.025190255
