"SITE_ID","VISIT_NO","SAMPLE_ID","H2O_dD","H2O_d18O","d.excess"
"NRS18_OH_10029","1",891860,-49.07,-7.71,12.63
"NRS18_OH_10030","1",898220,-44.34,-7.42,15
"NRS18_OH_10031","1",117740,-46.09,-7.26,11.97
"NRS18_OH_10032","1",889800,-40.99,-6.51,11.07
"NRS18_OH_10033","1",889700,-41.79,-6.29,8.55
"NRS18_OH_10034","1",889660,-49.78,-7.5,10.25
"NRS18_OH_10035","1",898240,-41.06,-6.16,8.21
"NRS18_OH_10037","1",893680,-44.29,-7.08,12.38
"NRS18_OH_10037","2",102260,-45.1,-6.9,10.1
"NRS18_OH_10038","1",894040,-44.73,-7.16,12.53
"NRS18_OH_10043","1",898360,-42.02,-5.89,5.12
"NRS18_OH_10049","1",898280,-36.78,-6.01,11.33
"NRS18_OH_10050","1",889620,-41.1,-6.65,12.12
"NRS18_OH_10658","1",108280,-46.15,-7.26,11.93
"NRS18_OR_10001","1",125780,-91.9,-13.07,12.65
"NRS18_OR_10001","2",131240,-90.65,-12.63,10.35
"NRS18_OR_10002","1",102320,-71.88,-10.31,10.57
"NRS18_OR_10002","2",105640,-72.1,-10.59,12.64
"NRS18_OR_10003","1",115100,-72.82,-10.39,10.28
"NRS18_OR_10004","1",102160,-110.88,-14.68,6.59
"NRS18_OR_10005","1",128760,-53.29,-8.67,16.09
"NRS18_OR_10006","1",106300,-74.53,-10.81,11.98
"NRS18_OR_10007","1",101300,-115.07,-15.59,9.68
"NRS18_OR_10009","1",117980,-59.48,-8.68,9.99
"NRS18_OR_10010","1",131580,-80.56,-12.03,15.68
"NRS18_OR_10011","1",890620,-87.52,-12.43,11.94
"NRS18_OR_10012","1",131500,-88.73,-12.24,9.17
"NRS18_OR_10013","1",113560,-54.34,-8.35,12.44
"NRS18_OR_10014","1",115120,-111.07,-14.47,4.66
"NRS18_OR_10015","1",891040,-59.02,-9.04,13.29
"NRS18_OR_10015","2",101340,-58.73,-9.06,13.79
"NRS18_OR_10016","1",895300,-115.92,-15.38,7.12
"NRS18_OR_10016","2",895440,-113.34,-15.22,8.4
"NRS18_OR_10017","1",129340,-76.04,-10.94,11.46
"NRS18_OR_10020","1",102140,-104.43,-12.53,-4.18
"NRS18_OR_10021","1",125800,-117.13,-14.86,1.72
"NRS18_OR_10022","1",105520,-69.22,-10.06,11.24
"NRS18_OR_10023","1",106260,-50.31,-6.86,4.6
"NRS18_OR_10024","1",107820,-109.68,-14.72,8.07
"NRS18_OR_10026","1",893400,-106.61,-14.19,6.91
"NRS18_OR_10028","1",105620,-81.6,-10.72,4.18
"NRS18_OR_10029","1",131360,-102.03,-14.13,10.98
"NRS18_OR_10030","1",117260,-85.86,-12.24,12.04
"NRS18_OR_10035","1",105540,-110.95,-14.39,4.14
"NRS18_OR_10040","1",131380,-109.03,-13.95,2.57
"NRS18_OR_10041","1",131320,-127.92,-17.04,8.44
"NRS18_OR_10042","1",893960,-103.85,-13.16,1.44
"NRS18_OR_10045","1",128780,-64.69,-9.6,12.08
"NRS18_OR_10054","1",895320,-64.61,-9.56,11.87
"NRS18_OR_10055","1",128740,-106.7,-15.02,13.46
"NRS18_OR_10059","1",102300,-64.57,-9.38,10.5
"NRS18_OR_10063","1",115160,-111.36,-14.55,5
"NRS18_OR_10068","1",106280,-51.7,-8.22,14.09
"NRS18_OR_10069","1",128900,-57.99,-9.19,15.52
"NRS18_OR_10071","1",893600,-65.1,-9.49,10.79
"NRS18_OR_10231","1",105600,-116,-15.4,7.24
"NRS18_OR_10232","1",893940,-119.69,-15.62,5.3
"NRS18_OR_10249","1",128880,-114.22,-14.76,3.87
"NRS18_OR_10368","1",125760,-98.23,-13.73,11.64
"NRS18_OR_10519","1",895280,-115.26,-15.23,6.61
"NRS18_OR_10521","1",115180,-101.56,-12.57,-1
"NRS18_OR_10668","1",113480,-118.62,-15.39,4.49
"NRS18_OR_10670","1",105580,-103.28,-13.66,6.02
"NRS18_OR_10817","1",115140,-121.01,-15.7,4.6
"NRS18_OR_10818","1",128860,-118.96,-15.95,8.67
"NRS18_OR_10819","1",893420,-102.86,-13.93,8.6
"NRS18_OR_10968","1",116440,-81.74,-11.54,10.57
"NRS18_OR_11118","1",115080,-120.43,-14.94,-0.87
"NRS18_PA_10002","1",890880,-60.32,-9.22,13.47
"NRS18_PA_10002","2",102220,-63.05,-9.52,13.09
"NRS18_PA_10003","1",101220,-60.11,-9.39,15
"NRS18_PA_10004","1",889120,-63.32,-9.6,13.49
"NRS18_PA_10005","1",101180,-61,-9.52,15.16
"NRS18_PA_10006","1",889100,-52.9,-8.1,11.92
"NRS18_PA_10007","1",898100,-63.34,-9.65,13.89
"NRS18_PA_10008","1",102440,-47.49,-6.67,5.84
"NRS18_PA_10009","1",134880,-51.31,-7.78,10.96
"NRS18_PA_10010","1",129580,-54.26,-8.02,9.9
"NRS18_PA_10011","1",102540,-37.1,-6.35,13.66
"NRS18_PA_10012","1",101200,-54.49,-8.37,12.47
"NRS18_PA_10013","1",129560,-54.94,-8.4,12.28
"NRS18_PA_10014","1",102400,-48.56,-7.25,9.41
"NRS18_PA_10015","1",889160,-48.22,-7.68,13.21
"NRS18_PA_10015","2",895240,-43.36,-7.25,14.61
"NRS18_PA_10016","1",889680,-54.98,-8.4,12.21
"NRS18_PA_10016","2",893660,-57.07,-8.56,11.43
"NRS18_PA_10017","1",895480,-60.02,-9.22,13.75
"NRS18_PA_10018","1",893620,-64.75,-10.06,15.72
"NRS18_PA_10019","1",102500,-57.64,-9.08,14.97
"NRS18_PA_10020","1",898020,-57,-8.56,11.45
"NRS18_PA_10021","1",889200,-57.64,-8.97,14.12
"NRS18_PA_10022","1",124660,-40.39,-6.95,15.18
"NRS18_PA_10023","1",101860,-53.82,-8.07,10.71
"NRS18_PA_10024","1",113020,-55.76,-8.74,14.15
"NRS18_PA_10025","1",130520,-45.95,-7.44,13.57
"NRS18_PA_10026","1",898000,-51.38,-7.63,9.64
"NRS18_PA_10027","1",124620,-55.74,-8.64,13.35
"NRS18_PA_10028","1",898320,-68.03,-10.51,16.08
"NRS18_PA_10032","1",104000,-57.11,-8.51,10.95
"NRS18_PA_10034","1",124600,-55.5,-8.91,15.74
"NRS18_PA_10035","1",895460,-39.2,-6.4,12.03
"NRS18_PA_10036","1",134900,-37.77,-6.31,12.72
"NRS18_PA_10037","1",118000,-57.16,-8.85,13.64
"NRS18_PA_10038","1",134960,-51.61,-8.06,12.85
"NRS18_PA_10039","1",102420,-42.03,-6.54,10.27
"NRS18_PA_10041","1",134920,-39.07,-6.47,12.65
"NRS18_PA_10042","1",102920,-55.77,-8.4,11.46
"NRS18_PA_10043","1",134940,-48,-7.29,10.32
"NRS18_PA_10044","1",134140,-60.23,-8.92,11.13
"NRS18_PA_10045","1",129080,-55.21,-8.75,14.8
"NRS18_PA_10046","1",129600,-39.64,-6.37,11.31
"NRS18_PA_10046","2",134980,-40.62,-6.49,11.29
"NRS18_PA_10068","1",889140,-39.91,-6.83,14.7
