"SITE_ID","VISIT_NO","AMMONIA_N_RESULT","AMMONIA_N_UNITS","ANC_RESULT","ANC_UNITS","CALCIUM_RESULT","CALCIUM_UNITS","CHLORIDE_RESULT","CHLORIDE_UNITS","COLOR_RESULT","COLOR_UNITS","COND_RESULT","COND_UNITS","DOC_RESULT","DOC_UNITS","MAGNESIUM_RESULT","MAGNESIUM_UNITS","NITRATE_N_RESULT","NITRATE_N_UNITS","NITRATE_NITRITE_N_RESULT","NITRATE_NITRITE_N_UNITS","NITRITE_N_RESULT","NITRITE_N_UNITS","NTL_RESULT","NTL_UNITS","PH_RESULT","PH_UNITS","POTASSIUM_RESULT","POTASSIUM_UNITS","PTL_RESULT","PTL_UNITS","SILICA_RESULT","SILICA_UNITS","SODIUM_RESULT","SODIUM_UNITS","SULFATE_RESULT","SULFATE_UNITS","TSS_RESULT","TSS_UNITS","TURB_RESULT","TURB_UNITS"
"NRS18_ID_10035",1,0.007,"mg N/L",532.96,"uEQ/L",7.223,"mg/L",2.207,"mg/L",10,"APHA PT-CO",67.9,"uS/cm at 25 C",0.94,"mg/L",1.911,"mg/L",0.0106,"mg N/L",NA,"","2.00E-04","mg N/L",0.098,"mg N/L",7.74,"Std. Units",0.834,"mg/L",3.218,"ug/L",12.875,"mg/L",3.205,"mg/L",2.572,"mg/L","0.2","mg/L",0.29,"NTU"
"NRS18_MO_10031",1,0.023,"mg N/L",3190.26,"uEQ/L",47.486,"mg/L",46.88,"mg/L",14,"APHA PT-CO",637.2,"uS/cm at 25 C",2.56,"mg/L",33.628,"mg/L",0.9952,"mg N/L",NA,"","","",1.389,"mg N/L",8.27,"Std. Units",3.763,"mg/L",80.043,"ug/L",4.078,"mg/L",30.749,"mg/L",81.874,"mg/L","0.5","mg/L",1.61,"NTU"
"NRS18_MO_10021",1,0.01,"mg N/L",2544.94,"uEQ/L",22.629,"mg/L",10.772,"mg/L",15,"APHA PT-CO",317.4,"uS/cm at 25 C",3.09,"mg/L",19.646,"mg/L",5e-04,"mg N/L",NA,"","","",0.354,"mg N/L",8.22,"Std. Units",2.831,"mg/L",20.724,"ug/L",4.731,"mg/L",9.683,"mg/L",19.593,"mg/L","2.6","mg/L",3.07,"NTU"
"NRS18_CT_10006",2,0.017,"mg N/L",337.05,"uEQ/L",7.114,"mg/L",26.249,"mg/L",75,"APHA PT-CO",140,"uS/cm at 25 C",6.77,"mg/L",2.369,"mg/L",0.2044,"mg N/L",NA,"","","",0.563,"mg N/L",7.42,"Std. Units",1.696,"mg/L",32.206,"ug/L",8.716,"mg/L",15.163,"mg/L",3.349,"mg/L","5.5","mg/L",3.16,"NTU"
"NRS18_MO_10010",1,0.01,"mg N/L",3354.57,"uEQ/L",34.052,"mg/L",5.002,"mg/L",12,"APHA PT-CO",337.5,"uS/cm at 25 C",1.04,"mg/L",23.007,"mg/L",0.0563,"mg N/L",NA,"","","",0.256,"mg N/L",8.26,"Std. Units",1.788,"mg/L",27.196,"ug/L",9.669,"mg/L",3.225,"mg/L",4.074,"mg/L","11.3","mg/L",6.05,"NTU"
"NRS18_WI_10021",1,0.024,"mg N/L",5540,"uEQ/L",74.5,"mg/L",40.5,"mg/L",20,"APHA PT-CO",710,"uS/cm",4.97,"mg/L",38.7,"mg/L",1.88,"mg N/L",1.89,"mg N/L","","",2.65,"mg N/L",8.36,"Std. Units",2.16,"mg/L",74.7,"ug/L",14.9,"mg/L",19.5,"mg/L",32.7,"mg/L","13.8","mg/L",8.99,"NTU"
"NRS18_WY_10029",1,0.083,"mg N/L",5753.42,"uEQ/L",229.763,"mg/L",91.069,"mg/L",35,"APHA PT-CO",2856.6,"uS/cm at 25 C",11.95,"mg/L",133.023,"mg/L",2e-04,"mg N/L",NA,"","","",1.361,"mg N/L",8.27,"Std. Units",23.095,"mg/L",153.41,"ug/L",0.12,"mg/L",283.08,"mg/L",1266.559,"mg/L","118.4","mg/L",68.08,"NTU"
"NRS18_WY_10701",1,0.024,"mg N/L",15317.1,"uEQ/L",35.712,"mg/L",8.495,"mg/L",95,"APHA PT-CO",2723.4,"uS/cm at 25 C",14.18,"mg/L",33.416,"mg/L",0.0016,"mg N/L",NA,"","0.0032","mg N/L",3.888,"mg N/L",8.38,"Std. Units",12.61,"mg/L",573.3,"ug/L",6.305,"mg/L",590.287,"mg/L",708.808,"mg/L","79.2","mg/L",7.51,"NTU"
"NRS18_OK_10005",1,NA,"",8210,"uEQ/L",59.2,"mg/L",30.3,"mg/L",3,"APHA PT-CO",789,"uS/cm",3.61,"mg/L",39.8,"mg/L",0.061,"mg N/L",NA,"","0.025","mg N/L",0.406,"mg N/L",8.05,"Std. Units",2.29,"mg/L",42,"ug/L",16.8,"mg/L",20.3,"mg/L",5.13,"mg/L","<5.0","mg/L",4.1,"NTU"
"NRS18_IN_10003",1,0.005,"mg N/L",3044.3,"uEQ/L",57.111,"mg/L",23.227,"mg/L",6,"APHA PT-CO",428.6,"uS/cm at 25 C",1.35,"mg/L",9.408,"mg/L",0.0418,"mg N/L",NA,"","","",0.156,"mg N/L",8.08,"Std. Units",2.599,"mg/L",7.843,"ug/L",7.811,"mg/L",16.299,"mg/L",30.783,"mg/L","6.4","mg/L",2.63,"NTU"
"NRS18_WY_10090",1,0.019,"mg N/L",3158.36,"uEQ/L",44.67,"mg/L",2.649,"mg/L",10,"APHA PT-CO",450.1,"uS/cm at 25 C",2.69,"mg/L",14.277,"mg/L",1.0161,"mg N/L",NA,"","","",1.388,"mg N/L",8.44,"Std. Units",2.068,"mg/L",132.313,"ug/L",16.725,"mg/L",30.623,"mg/L",65.804,"mg/L","63.6","mg/L",34.33,"NTU"
"NRS18_WY_10076",1,0.009,"mg N/L",2413.81,"uEQ/L",35.651,"mg/L",1.753,"mg/L",5,"APHA PT-CO",283.2,"uS/cm at 25 C",3.45,"mg/L",10.462,"mg/L",9e-04,"mg N/L",NA,"","","",0.238,"mg N/L",8.91,"Std. Units",1.316,"mg/L",13.826,"ug/L",5.9,"mg/L",10.591,"mg/L",28.297,"mg/L","1.2","mg/L",0.97,"NTU"
"NRS18_WY_10014",1,0.01,"mg N/L",3576.54,"uEQ/L",81.435,"mg/L",3.396,"mg/L",18,"APHA PT-CO",808.1,"uS/cm at 25 C",4.45,"mg/L",33.366,"mg/L",0.1694,"mg N/L",NA,"","","",0.566,"mg N/L",8.38,"Std. Units",4.358,"mg/L",19.391,"ug/L",5.261,"mg/L",44.103,"mg/L",239.347,"mg/L","11.9","mg/L",6.87,"NTU"
