"SITE_ID","VISIT_NO","MMI_BENT","OE_SCORE_OLD"
"FW08MS211",1,28.85,0.366865575
"FW08MS238",1,29.72,0.369081392
"FW08TN017",1,37.67,0.368592707
"FW08TN049",1,31.35,0
"FW08TN081",1,57.93,0.859384241
"FW08TN085",1,16.67,NA
"FW08TN097",1,21.97,0
"FW08TN177",1,45.7,0.368520472
"FW08TN261",1,28.8,0.245742123
"FW08TN285",1,28.75,0.369457395
"FW08MA001",1,33.7,0.750334856
"FW08MA001",2,49.7,0.625279047
"FW08MA002",1,6.37,0.335723847
"FW08MA002",2,27.9,0.268579078
"FW08MA004",1,51.02,0.657411475
"FW08MA004",2,40.03,0.537882116
"FW08MA006",1,8.73,0.435832165
"FW08MA007",1,6.82,0.412924876
"FW08MA013",1,32.98,0.469565293
"FW08MA017",1,37.88,0.804548122
"FW08MA018",1,11.95,0.335288073
"FW08RNY9004",1,17.98,0.659084844
"FW08RNY9005",1,27.48,0.410711969
"FW08RNY9007",1,8.95,0.541796396
"FW08NY064",1,3.8,0.197367722
"FW08NY034",1,17.82,0.506867558
"FW08NY030",1,18.23,0.686382297
"FW08NY002",1,21.63,0.492473172
"FW08NY002",2,0.57,0.313392018
"FW08NY003",1,6.82,0.513051269
"FW08NY004",1,60.13,1.350543661
"FW08NY008",1,63.72,1.089820765
"FW08NY014",1,39.68,0.608712968
"FW08NY015",1,79.62,1.00079935
"FW08NY016",1,44.65,0.678444032
"FW08NY019",2,69.75,1.14094163
"FW08NY017",1,52.63,0.677503748
"FW08NY019",1,51.37,0.98881608
"FW08KY209",1,63.7,0.614210169
"FW08NY018",1,1.85,0.174239474
"FW08NY017",2,40.32,0.745254123
"FW08NY022",1,15.62,0.249151261
"FW08NY021",1,35.33,0.569578136
"FW08NY023",1,52.88,1.1532168
"FW08NY024",1,74.85,1.173363896
"FW08NY025",1,17.88,0.469704796
"FW08NY027",1,18.1,0.412662134
"FW08NY028",1,7.72,0.37420584
"FW08NY032",1,13.02,0.803471799
"FW08NY035",1,69.38,1.125700546
"FW08NY037",1,0.55,0.500197469
"FW08NY039",1,27.4,0.630030721
"FW08NY040",1,31.72,0.715430747
"FW08NY041",1,74.1,1.274621836
"FW08NY042",1,18.73,0.385327289
"FW08NY050",1,11.22,0.328973717
"FW08NY044",1,21.75,0.60164294
"FW08NY065",1,16.42,0.688472665
"FW08NY066",1,0,0.148828339
"FW08NY077",1,38.4,0.671514776
"FW08CT009",1,23.4,0.535607469
"FW08CT020",1,17.85,0.681157894
"FW08ME001",1,51.62,0.90778706
"FW08ME001",2,72.62,1.017959907
"FW08ME002",1,0,0.131833211
"FW08ME002",2,65.42,1.142554493
"FW08ME003",1,45.43,0.625159713
"FW08ME004",1,71.95,0.812928808
"FW08ME005",1,25.52,0.469993086
"FW08ME005",2,29.67,0.365550178
"FW08ME006",1,59.95,0.849328016
"FW08ME007",1,74.15,1.152712732
"FW08ME008",1,50.75,0.656296567
"FW08ME009",1,53.98,1.05502513
"FW08ME010",1,90.32,1.160255266
"FW08ME011",1,86.22,1.125065261
"FW08ME013",1,9.02,0.411607812
"FW08ME016",1,75.1,1.147664714
"FW08ME017",1,54.4,0.939576974
"FW08ME018",1,29.57,0.296824652
"FW08ME020",1,53.77,0.825147398
"FW08ME013",2,33.43,0.987858749
"FW08ME021",1,56.35,0.916303748
"FW08ME022",1,32.78,0.642976372
"FW08ME027",1,41.98,0.832580771
"FW08ME026",1,17.83,0.680720276
"FW08SD004",1,16.38,0.095865014
"FW08SD005",2,38.52,0.726619617
"FW08SD005",1,47.03,0.968826157
"FW08SD009",1,72.05,0.981301801
"FW08SD010",1,19.57,0.541007941
"FW08SD012",1,10.42,0
"FW08SD016",1,73.75,0.717040284
"FW08SD020",1,16.73,0.782467566
"FW08SD021",1,15.1,0.837673078
"FW08SD022",1,22.8,0.821474995
"FW08SD025",1,43.43,1.079889255
