SITE_ID,VISIT_NO,NH4,NH4_ALERT,ANC,ANC_ALERT,CA,CA_ALERT,CL,CL_ALERT,COLOR,COLOR_ALERT,COND,COND_ALERT,DOC,DOC_ALERT,MG,MG_ALERT,SODIUM,SODIUM_ALERT,K,K_ALERT,NO3,NO3_ALERT,NO3NO2,NO3NO2_ALERT,NO2,NO2_ALERT,NTL,NTL_ALERT,PHLAB,PHLAB_ALERT,PTL,PTL_ALERT,SIO2,SIO2_ALERT,SO4,SO4_ALERT,TSS,TSS_ALERT,TURB,TURB_ALERT
FW08NV028,1,0.005,R,1301.18,NA,9.666,NA,5.99,NA,11,NA,156.9,NA,2.49,H,4.266,NA,13.52,NA,3.853,NA,0.00124,R,NA,NA,0,R,251,NA,8.26,NA,103.0988,NA,45.901,NA,7.22,NA,14.2,NA,8.06,NA
FW08NV029,1,0.005,R,313.43,H,4.613,NA,0.39,NA,3,R,38.83,NA,0.8,NA,0.759,NA,1.147,NA,0.301,NA,0.06962,NA,NA,NA,0,R,185,H,7.46,H,36.4075,H,7.033,NA,1.69,NA,4.2,NA,3.34,NA
FW08NV031,1,0.03,NA,6004.6,NA,114.2,NA,528.04,H,23,NA,3291,NA,13.52,H,54.85,NA,527.3,H,27.01,NA,0,R,NA,NA,0,R,1120,NA,8.41,H,88.44,NA,27.007,NA,647.8,H,7.6,NA,6.97,NA
FW08NV032,1,0.004,R,4584.44,H,97.22,NA,103.28,H,5,NA,1465,NA,0.92,NA,45.68,NA,153.5,NA,15.32,NA,0.2079,NA,NA,NA,0,R,280,NA,8.39,H,14.5688,NA,33.046,NA,395.52,H,50.2,NA,29.6,NA
FW08NV033,1,0.001,RS,4949.23,HS,51.06,S,8.32,HS,5,HS,554.8,HS,0.67,S,23.43,S,33,S,8.004,S,0,HRS,NA,NA,0,RS,168,HS,8.51,HS,34.2513,HS,31.366,S,49.12,HS,31.2,S,14.8,HS
FW08NV034,1,0.005,RS,4375.31,S,50.02,S,29.83,S,10,HS,594.54,S,2.91,S,13.14,S,61.29,S,8.665,S,0.00411,RS,NA,NA,0,RS,434,HS,8.48,HS,133.4188,HS,31.231,HS,51.06,S,111.8,S,65.79,HS
FW08NV035,1,0.049,S,3977.36,S,23.96,S,30.1,HS,36,S,574.5,S,13.83,HS,14.42,S,82.44,S,11.4,S,0.056710000000000003,S,NA,NA,0,RS,1232,S,9.16,HS,54.8063,S,7.789,S,50.3,HS,9.9,S,6.25,S
FW08NV037,1,0.004,RS,835.45,HS,11.87,S,0.73,S,12,HS,98.35,S,1.7,S,1.469,S,3.772,S,1.383,S,0.0053,RS,NA,NA,0,RS,196,HS,7.86,HS,35.8325,HS,15.773,HS,3.01,S,7.8,S,4.57,HS
FW08NV038,1,0.017,RS,3834.79,S,32.79,S,17.63,HS,75,S,458.7,S,12.01,S,12.81,HS,51.79,S,3.431,S,0,HRS,NA,NA,0,RS,786,HS,8.46,S,156.95,HS,52.448,S,22.63,HS,1.7,S,1.33,RS
FW08NV049,1,0.003,RS,468.17,HS,4.811,S,0.61,S,3,HRS,50.25,S,1.17,S,0.402,S,5.301,S,1.293,S,3.6e-4,RS,NA,NA,0,RS,617,S,7.71,HS,123.6519,S,39.508,S,1.66,S,37.5,S,7.71,HS
