"SITE_ID","VISIT_NO","SAMPLE_ID","dD..vsmow.","d18O..vsmow.","d.excess"
"FW08UT001","2",531811,-116.56,-15.23,5.32
"FW08UT003","1",525651,-95.62,-13,8.34
"FW08UT004","1",540021,-120.54,-16.46,11.11
"FW08UT005","1",531651,-100.61,-13.63,8.45
"FW08UT007","1",533441,-93.06,-11.57,-0.5
"FW08UT008","1",522471,-115.62,-15.24,6.33
"FW08UT009","1",525661,-94.29,-12.58,6.33
"FW08UT010","1",533341,-119.17,-15.75,6.8
"FW08UT011","1",525551,-127.01,-16.37,3.98
"FW08UT012","1",525641,-99.54,-13.13,5.53
"FW08UT013","1",522271,-124.55,-17.07,12.03
"FW08UT014","1",544441,-87.89,-10.98,-0.02
"FW08UT015","1",533451,-110.89,-14.02,1.28
"FW08UT016","1",535621,-121.69,-15.4,1.52
"FW08UT020","1",549381,-120.37,-15.87,6.56
"FW08UT021","1",522511,-96.01,-12.75,5.98
"FW08UT022","1",526661,-120.59,-16.24,9.31
"FW08UT023","1",542191,-122.99,-16.37,7.99
"FW08UT023","2",545381,-117.78,-16.01,10.33
"FW08UT026","1",531661,-107.09,-13.68,2.38
"FW08UT027","1",540101,-93.02,-12.8,9.41
"FW08UT028","1",524781,-128.25,-17,7.72
"FW08UT029","1",549071,-98.64,-11.01,-10.58
"FW08UT030","1",551911,-88.24,-11.69,5.25
"FW08UT031","1",549371,-119.17,-15.45,4.41
"FW08UT032","1",531671,-122.44,-16.34,8.28
"FW08UT033","1",540011,-91.51,-11.71,2.2
"FW08UT035","1",535631,-115.02,-15.06,5.44
"FW08UT037","1",549391,-96.64,-12.33,2.02
"FW08UT039","1",545391,-113.24,-14.95,6.36
"FW08UT041","1",524801,-82.99,-10.53,1.23
"FW08UT042","1",542181,-129.15,-16.85,5.64
"FW08UT046","1",551921,-50.4,-8,13.58
"FW08UT047","1",555311,-109.69,-13.14,-4.56
"FW08UT049","1",525371,-93.09,-11.85,1.7
"FW08UT051","1",522351,-106.81,-13.75,3.19
"FW08UT053","1",523271,-93.82,-11.6,-1.03
"FW08UT054","1",526361,-118.65,-15.77,7.52
"FW08UT055","1",542151,-128.88,-16.93,6.58
"FW08UT058","1",548951,-101.78,-11.82,-7.22
"FW08UT059","1",525631,-130.01,-17.11,6.88
"FW08UT060","1",551881,-115.98,-14.33,-1.35
"FW08UT061","1",548961,-99.02,-12.57,1.5
"FW08UT064","1",545471,-120.5,-15.86,6.38
"FW08UT067","1",527451,-99.54,-13.42,7.82
"FW08UT070","1",533351,-103.43,-14.14,9.68
"FW08UT076","1",548941,-125.27,-16.77,8.93
"FW08UT080","1",525501,-129.69,-17.58,10.97
"FW08UT097","1",540091,-99.42,-13.61,9.43
"FW08UT099","1",524791,-122.52,-16.15,6.67
"FW08UT112","1",540071,-129.54,-17.48,10.29
"FW08VA001","2",527921,-46.45,-7.59,14.25
"FW08VA001","2",522811,-46.45,-7.7,15.13
"FW08VA001","1",523071,-45.06,-7.54,15.3
"FW08VA002","1",542701,-43.51,-7.32,15.02
"FW08VA002","2",532391,-44.58,-7.47,15.19
"FW08VA002","2",542681,-44.49,-7.53,15.73
"FW08VA003","1",541591,-32.26,-5.95,15.34
"FW08VA004","1",542541,-38.32,-6.76,15.79
"FW08VA005","1",522361,-39.11,-6.7,14.5
"FW08VA006","1",534331,-34.55,-5.34,8.14
"FW08VA007","1",523661,-29.68,-4.25,4.35
"FW08VA008","1",532311,-20.06,-2.52,0.08
"FW08VA009","1",541661,-38.34,-6.72,15.42
"FW08VA010","1",523531,-31.15,-5.03,9.12
"FW08VA014","1",532291,-42.42,-6.54,9.87
"FW08VA017","1",541821,-34.59,-5.77,11.54
"FW08VA018","1",534361,-44.11,-6.75,9.85
"FW08VA019","1",542721,-33.1,-4.9,6.06
"FW08VA020","1",541811,-34.29,-5.83,12.36
"FW08VA021","1",553191,-35.19,-6.27,14.95
"FW08VA022","1",523171,-46.07,-7.42,13.27
"FW08VA023","1",542531,-38.96,-6.52,13.21
"FW08VA025","1",535871,-44.75,-7.19,12.81
"FW08VA026","1",526911,-42.36,-6.63,10.69
"FW08VA026","2",528111,-43.49,-6.82,11.05
"FW08VA026","2",528031,-43.45,-6.82,11.1
"FW08VA030","1",534341,-48.81,-7.62,12.16
"FW08VA031","1",542661,-38.96,-6.6,13.86
"FW08VA032","1",549441,-24.68,-3.7,4.89
"FW08VA033","1",541801,-31.88,-5.23,9.96
"FW08VA034","1",522611,-50.08,-7.72,11.71
"FW08VA035","1",541621,-35.09,-5.25,6.9
"FW08VA036","1",542521,-33.96,-5.94,13.59
"FW08VA037","1",534311,-48.52,-7.73,13.34
"FW08VA038","1",549461,-31.33,-4.69,6.22
"FW08VA038","2",545751,-30.08,-4.67,7.31
