UID,SITE_ID,VISIT_NO,OE_SCORE
10922,FW08NV034,1,0.546443632
10926,FW08NV035,1,0.247972316
10927,FW08NV037,1,0.968370911
10928,FW08NV038,1,0.597552932
10951,FW08NV049,1,0.862332301
10954,FW08NV040,1,0.900497289
10956,FW08NV050,1,0.818251514
10958,FW08CA044,1,0.527522769
10962,FW08NV051,1,0.606566167
10963,FW08NV053,1,0.958729133
10964,FW08NV054,1,0.820019768
10965,FW08NV056,1,1.082058712
10969,FW08CA059,1,0.41480031
10971,FW08NV057,1,0.717353339
10973,FW08NV058,1,0.74563249
10978,FW08NV041,1,0.840216149
10979,FW08NV039,1,0.53238822
10989,FW08NV062,1,0.127707636
10990,FW08NV063,1,0.845378974
10991,FW08NV065,1,1.190901651
10992,FW08NV066,1,0.546447187
10993,FW08NV069,2,0.955060543
10994,FW08CA020,1,0.728474108
10995,FW08CA031,1,1.221594049
10996,FW08CA035,1,0.508684937
10997,FW08CA040,1,1.026278956
10998,FW08CA056,1,0.721814932
10999,FW08CA061,1,0.388262566
11000,FW08CA063,1,0.93567569
11001,FW08CA067,1,0.823388352
11002,FW08CA068,1,1.225734544
11003,FW08OR001,1,0.640071318
11004,FW08OR002,1,0.488966775
11005,FW08OR004,1,1.362135873
11013,FW08OR005,1,1.0088726160000001
11014,FW08OR006,1,0.576417808
11016,FW08OR008,1,0.928140981
11017,FW08OR009,1,1.060363125
11018,FW08OR010,1,0.967995777
11020,FW08OR015,1,0.957369984
11021,FW08OR016,1,0.888218321
11022,FW08OR016,2,1.009712129
11025,FW08OR019,1,0.85382692
11026,FW08OR022,1,0.99382807
11027,FW08OR027,1,0.846296456
11031,FW08OR035,1,0.706579199
11035,FW08OR043,1,0.992348467
11036,FW08OR044,1,1.088286837
11037,FW08OR047,1,0.751411393
11039,FW08OR050,1,1.207979328
11040,FW08OR045,1,0.931975549
11041,FW08OR051,1,0.609322861
11042,FW08OR052,1,1.229713951
11044,FW08OR054,1,0.535533883
11045,FW08OR058,1,1.205469043
11046,FW08OR058,2,0.947154248
11047,FW08OR059,1,0.153606124
11051,FW08OR069,1,1.04481763
11053,FW08OR060,1,1.058638074
11079,FW08CO001,1,0.698524394
11080,FW08CO001,2,0.977934151
11081,FW08CO003,1,0.91692549
11082,FW08CO003,2,1.22256732
11083,FW08CO006,1,1.25448469
11084,FW08CO010,1,1.135601372
11085,FW08CO012,1,0.83800577
11086,FW08CO013,1,0.927201934
11087,FW08CO014,1,0.906979875
11088,FW08CO017,1,1.105243451
11089,FW08CO019,1,0.518250423
11090,FW08CO020,1,0.692696811
11091,FW08CO021,1,0.601489584
11093,FW08CO025,2,1.112122168
11094,FW08CO025,1,1.000909951
11095,FW08CO027,1,0.951203959
11096,FW08CO031,1,1.014944143
11097,FW08CO038,1,1.004988375
11098,FW08CO073,1,0.524505903
11099,FW08CO076,1,1.004583069
11100,FW08CO103,1,0.758014973
11106,FW08IL006,1,0.514926212
11107,FW08IL011,1,1.153480063
11108,FW08IL011,2,0.67286337
11109,FW08IL017,1,1.012284254
11114,FW08IL022,1,1.002673408
11117,FW08IL018,1,1.017778976
11118,FW08IL024,1,1.370935329
11119,FW08IL027,1,0.63805062
11120,FW08IL028,1,1.172274586
11121,FW08IL029,1,0.918013594
11123,FW08IL031,1,0.82406775
11124,FW08IL036,1,0.715746736
11125,FW08IL038,1,0.879487043
11134,FW08VT003,1,0.639672484
11135,FW08VT004,1,0.878356977
11136,FW08VT005,1,1.088368832
11137,FW08VT007,1,1.058867209
11138,FW08VT008,1,0.641424929
11139,FW08TX003,1,0.846088989
11140,FW08TX004,1,0.752165313
11144,FW08TX010,1,0.935954151
11145,FW08TX011,1,0.577367018
11146,FW08TX017,1,1.281656381
11151,FW08TX031,1,0.862730226
11153,FW08TX045,1,0.657227333
11175,FW08IN002,1,1.372209773
11176,FW08IN003,1,1.32771374
11177,FW08IN004,1,1.059532715
11180,FW08IN005,1,0.497361738
11181,FW08IN008,1,0.590878081
11182,FW08IN002,2,1.097767819
11183,FW08IN008,2,0.517018321
11184,FW08IN009,1,1.074072872
11185,FW08IN011,1,1.276654958
11186,FW08IN014,1,1.126389608
11187,FW08IN015,1,0.926597591
11188,FW08IN016,1,0.643255662
11189,FW08IN017,1,0.679788104
11191,FW08IN020,1,0.465834163
11192,FW08IN023,1,1.149954025
11193,FW08IN018,1,0.869600979
11194,FW08MI023,1,1.045914788
11195,FW08IN025,1,1.275217341
11196,FW08IN028,1,0.82567221
11197,FW08IN029,1,1.118143589
11198,FW08IN030,1,0.914439332
11199,FW08IN033,1,0.833252059
11200,FW08MI038,1,0.748205265
11201,FW08MI019,1,1.271374756
11203,FW08MI024,1,1.246674245
11205,FW08MI026,1,1.019658759
11206,FW08MI028,1,1.005766046
11207,FW08MI030,1,1.402598813
11208,FW08MI033,1,0.838373969
11210,FW08MI036,1,0.835713418
11211,FW08MI037,1,0.50764809
11213,FW08MI041,1,0.803822196
11214,FW08MI042,1,0.948494132
11215,FW08MI044,1,0.909134314
11217,FW08MI046,1,0.832907879
11218,FW08MI047,1,1.081376281
11219,FW08MI048,1,0.679082055
11220,FW08MI050,1,0.924513306
11221,FW08MI057,1,0.997213347
11222,FW08MI058,1,0.29076814
11228,FW08IA002,1,1.294459892
11229,FW08IA002,2,1.165013903
