"UNIQUE_ID","DATE_COL","phdi_month","phdi_mean"
"NRS_KS-10089",2008-07-09,0.49,0.810833333333333
"NRS_KS-10090",2008-06-25,2.57,2.5025
"NRS_KS-10091",2008-06-23,2.57,2.5025
"NRS_KS-10092",2008-06-18,2.57,2.5025
"NRS_LA-10189",2008-08-09,-1.36,-0.693333333333333
"NRS_MI-10091",2008-07-24,3,0.138333333333333
"NRS_MI-10092",2008-07-23,2.58,0.531666666666667
"NRS_MI-10093",2008-07-26,2.12,-0.0316666666666666
"NRS_MI-10094",2008-07-25,3,0.138333333333333
"NRS_MI-10095",2008-07-28,2.12,-0.0316666666666666
"NRS_MO-10078",2008-07-02,3.8,2.83083333333333
"NRS_MO-10079",2008-07-01,3.8,2.83083333333333
"NRS_ND-10336",2008-09-28,-4.34,-3.06833333333333
"NRS_ND-10337",2008-09-26,-4.34,-3.06833333333333
"NRS_ND-10338",2008-09-24,-4.34,-3.06833333333333
"NRS_ND-10339",2008-09-19,1.46,1.16833333333333
"NRS_ND-10340",2008-09-21,-1.3,-1.16833333333333
"NRS_NE-10102",2008-07-08,-3.05,-2.41
"NRS_NE-10103",2008-07-08,-3.05,-2.41
"NRS_NE-10104",2008-07-15,4.04,3.41916666666667
"NRS_NE-10105",2008-07-09,2.95,2.95333333333333
"NRS_NE-10106",2008-07-09,-3.05,-2.41
"NRS_NM-10109",2008-09-29,-1.66,-1.83416666666667
"NRS_NM-10110",2008-09-25,-1.66,-1.83416666666667
"NRS_NM-10111",2008-09-28,-1.66,-1.83416666666667
"NRS_NM-10113",2008-09-18,0.56,0.984166666666667
"NRS_NM-10114",2008-09-30,3.71,0.278333333333333
"NRS_NM-10115",2008-09-20,0.56,0.984166666666667
"NRS_NM-10120",2008-09-23,-1.66,-1.83416666666667
"NRS_NY-10088",2008-09-27,3.04,2.91416666666667
"NRS_NY-10089",2008-10-09,2.42,2.16416666666667
"NRS_NY-10091",2008-09-28,2.26,2.33
"NRS_OH-10066",2008-09-07,0.85,0.7225
"NRS_WI-10112",2008-09-03,4.72,4.635
"NRS_WI-10113",2008-09-04,4.72,4.635
"NRS_SD-10104",2008-08-01,3.68,1.1125
"NRS_SD-10012",2008-08-19,2.98,3.56416666666667
"NRS_SD-10012",2008-09-16,2.54,3.56416666666667
"NRS_SD-10039",2008-08-22,3.68,1.1125
"NRS_SD-10142",2008-09-11,3.23,1.72
"NRS_SD-10059",2008-07-29,3.46,1.1125
"NRS_SD-10024",2008-08-07,4.44,1.86833333333333
"NRS_SD-10020",2008-07-30,3.46,1.1125
"NRS_SD-10082",2008-09-19,3.91,2.45916666666667
"NRS_SD-10002",2008-08-29,3.13,0.664166666666667
"NRS_SD-10081",2008-09-10,3.23,1.72
"NRS_SD-10288",2008-08-28,3.68,1.1125
