UID,UID,PUBLICATION_DATE,SITE_ID,DATE_COL,VISIT_NO,YEAR,UNIQUE_ID,DSGN_CYCLE,SAMPLE_ID,H2O_dD,H2O_d18O,d-excess,LAT_DD83,LON_DD83,ELEVATION
2013639,1001202,4/7/2021,NRS18_AZ_10004,5/3/2019,1,2019,NRS_AZ-10422,2018-19,116280,-108.68,-13.91,2.6,36.08766461,-111.8706113,804.445
2013640,1001203,4/7/2021,NRS18_AZ_10005,5/2/2019,1,2019,NRS_AZ-10426,2018-19,116400,-107.73,-14.05,4.68,36.43346223,-111.8640926,866.86
2013611,1001163,4/7/2021,NRS18_AZ_10006,4/28/2019,1,2019,NRS_AZ-10619,2018-19,116360,-90.66,-10.96,-2.98,36.70097927,-110.5255705,1951.475
2013619,1001171,4/7/2021,NRS18_AZ_10007,4/29/2019,1,2019,NRS_AZ-10655,2018-19,116340,-99.26,-12.05,-2.88,33.66839875,-114.5312724,81.46
2013652,1001215,4/7/2021,NRS18_AZ_10008,5/13/2019,1,2019,NRS_AZ-10670,2018-19,117800,-76,-10.81,10.51,33.8901935,-109.4719997,2695.39
2013653,1001216,4/7/2021,NRS18_AZ_10009,5/14/2019,1,2019,NRS_AZ-10675,2018-19,116960,-98.71,-13.85,12.1,36.41929761,-109.1022501,2587.21
2013609,1001161,4/7/2021,NRS18_AZ_10010,4/26/2019,1,2019,NRS_AZ-10625,2018-19,116380,-47.75,-6.54,4.58,31.5146622,-110.1281584,1247.44
2013605,1001157,4/7/2021,NRS18_AZ_10011,4/25/2019,1,2019,NRS_AZ-10626,2018-19,116180,-80.59,-11.58,12.09,34.86995019,-112.0693494,1090.26
2013629,1001186,4/7/2021,NRS18_AZ_10012,5/3/2019,1,2019,NRS_AZ-10662,2018-19,113500,-70.11,-9.75,7.9,33.97792179,-111.3062761,768.255
2013633,1001190,4/7/2021,NRS18_AZ_10013,5/5/2019,1,2019,NRS_AZ-10665,2018-19,109040,-65.87,-9.42,9.53,33.29637167,-109.1921199,1281.88
2013638,1001201,4/7/2021,NRS18_AZ_10014,5/7/2019,1,2019,NRS_AZ-10656,2018-19,116200,-108.33,-13.76,1.74,35.91660178,-113.3346624,439.39
2013651,1001214,4/7/2021,NRS18_AZ_10015,5/13/2019,1,2019,NRS_AZ-10657,2018-19,116940,-71.17,-10.2,10.39,34.1618251,-109.3017426,2079.835
2013617,1001169,4/7/2021,NRS18_AZ_10016,4/29/2019,1,2019,NRS_AZ-10690,2018-19,116220,-97.72,-13.42,9.67,36.85445727,-109.2076534,2043.59
2013621,1001173,4/7/2021,NRS18_AZ_10020,4/30/2019,1,2019,NRS_AZ-10694,2018-19,116120,-100.17,-12.64,0.93,35.15629328,-114.5706815,153.11
2013610,1001162,4/7/2021,NRS18_AZ_10021,4/26/2019,1,2019,NRS_AZ-10695,2018-19,116260,-81.57,-12.03,14.63,34.90988112,-111.7278663,1390.56
2013643,1001206,4/7/2021,NRS18_AZ_10024,5/10/2019,1,2019,NRS_AZ-10698,2018-19,116980,-78.47,-10.8,7.91,34.765382,-112.0304064,1012.59
2013632,1001189,4/7/2021,NRS18_AZ_10027,5/6/2019,1,2019,NRS_AZ-10701,2018-19,109860,-64.58,-8.86,6.31,32.9203805,-109.8384095,850.38
2013649,1001212,4/7/2021,NRS18_AZ_10456,5/12/2019,1,2019,NRS_AZ-10721,2018-19,113600,-61.52,-8.69,7.97,32.85022195,-111.7177095,437.96
2013642,1001205,4/7/2021,NRS18_AZ_10457,5/9/2019,1,2019,NRS_AZ-10722,2018-19,101920,-96.19,-11.28,-5.96,32.65093253,-114.6933435,30.98
2013644,1001207,4/7/2021,NRS18_AZ_10843,5/10/2019,1,2019,NRS_AZ-10729,2018-19,111360,-68.68,-9.16,4.61,34.22693406,-111.4564145,1047.3
2013636,1001194,4/7/2021,NRS18_AZ_12037,5/7/2019,1,2019,NRS_AZ-10730,2018-19,110620,-64.28,-9.01,7.81,32.91215187,-110.477373,889.82
2013628,1001185,4/7/2021,NRS18_AZ_12038,5/2/2019,1,2019,NRS_AZ-10731,2018-19,110600,-61.45,-8.38,5.63,33.90155117,-112.6718023,570.66
2013616,1001168,4/7/2021,NRS18_AZ_12837,4/28/2019,1,2019,NRS_AZ-10733,2018-19,116320,-95.52,-11.17,-6.18,33.48701753,-114.5986041,73.9
2013645,1001208,4/7/2021,NRS18_AZ_12844,5/9/2019,1,2019,NRS_AZ-10740,2018-19,116240,-95.69,-11.72,-1.92,32.72092416,-114.5657563,35.76
2014111,1001698,4/7/2021,NRS18_CA_10001,7/17/2019,1,2019,NRS_CA-10779,2018-19,117000,-77.1,-11.15,12.07,36.96370513,-119.2314146,461.625
2014294,1001882,4/7/2021,NRS18_CA_10001,7/30/2019,2,2019,NRS_CA-10779,2018-19,126480,-77.85,-11.23,12.02,36.96370513,-119.2314146,461.625
2014027,1001614,4/7/2021,NRS18_CA_10002,7/10/2019,1,2019,NRS_CA-10782,2018-19,117120,-87.93,-11.82,6.61,41.31852852,-123.5279597,116.23
2014263,1001850,4/7/2021,NRS18_CA_10002,7/29/2019,2,2019,NRS_CA-10782,2018-19,116500,-86.27,-11.7,7.31,41.31852852,-123.5279597,116.23
2014622,1002211,4/7/2021,NRS18_CA_10004,9/10/2019,1,2019,NRS_CA-10816,2018-19,134620,-80.21,-11.93,15.23,40.21900407,-121.9974197,247.13
2014332,1001920,4/7/2021,NRS18_CA_10005,8/7/2019,1,2019,NRS_CA-10833,2018-19,134720,-84.77,-12.43,14.67,39.90521375,-121.0465597,1347.91
2014181,1001768,4/7/2021,NRS18_CA_10006,7/24/2019,1,2019,NRS_CA-10844,2018-19,126500,-123.04,-16.83,11.56,38.27112925,-119.3316508,2206.845
2013826,1001409,4/7/2021,NRS18_CA_10007,6/18/2019,1,2019,NRS_CA-10845,2018-19,113640,-46.88,-7.42,12.51,40.72400294,-124.1173927,41.19
2014023,1001609,4/7/2021,NRS18_CA_10008,7/10/2019,1,2019,NRS_CA-10849,2018-19,113580,-89.52,-13.03,14.73,41.31835723,-123.0505146,845.36
2012639,1000163,4/7/2021,NRS18_CA_10009,6/18/2018,1,2018,NRS_CA-10858,2018-19,896100,-71.08,-10.79,15.26,39.59862885,-120.9971606,1286.575
2014146,1001733,4/7/2021,NRS18_CA_10010,7/23/2019,1,2019,NRS_CA-10859,2018-19,126660,-118.6,-16,9.43,37.56388064,-118.7547913,2162.875
2012539,1000053,4/7/2021,NRS18_CA_10011,6/6/2018,1,2018,NRS_CA-10784,2018-19,883340,-49.81,-7.25,8.23,34.35671322,-119.0198808,85.42
2013421,1000948,4/7/2021,NRS18_CA_10012,9/4/2018,1,2018,NRS_CA-10797,2018-19,109960,-78.42,-10.73,7.46,38.80836237,-121.6352071,7.68
2014262,1001849,4/7/2021,NRS18_CA_10013,7/30/2019,1,2019,NRS_CA-10802,2018-19,117280,-88.39,-11.67,4.97,41.53926057,-123.5267321,216.485
2014321,1001909,4/7/2021,NRS18_CA_10014,8/6/2019,1,2019,NRS_CA-10818,2018-19,116740,-80.37,-11.07,8.22,41.45639606,-123.9355648,10.59
2013823,1001406,4/7/2021,NRS18_CA_10015,6/18/2019,1,2019,NRS_CA-10821,2018-19,116600,-91.18,-12.7,10.39,40.00190523,-121.2682255,680.64
2012935,1000460,4/7/2021,NRS18_CA_10016,7/18/2018,1,2018,NRS_CA-10823,2018-19,899940,-81.8,-11.02,6.39,37.59637606,-121.1287613,9.43
2013168,1000694,4/7/2021,NRS18_CA_10018,8/7/2018,1,2018,NRS_CA-10829,2018-19,899660,-78.07,-11.39,13.09,38.57234221,-121.3577452,11
2013831,1001414,4/7/2021,NRS18_CA_10019,6/19/2019,1,2019,NRS_CA-10895,2018-19,117100,-79.52,-11.67,13.86,39.61321394,-121.7793686,42.26
