UID,SITE_ID,VISIT_NO,SAMPLE_ID,DATE_COL,LAT_DD83,LON_DD83,STRAH_ORD,Chem_Lab_ID,H2O_dD,H2O_d18O,d-excess
11791,IDRM-1009,1,724440,8/24/2013,44.68544,-114.0657,6,1310713,-134.12,-17.02,2.01
11030,IDRM-1011,1,721740,7/26/2013,48.16989,-116.7366,8,1310429,-122.62,-16.08,6.01
11582,IDRM-1013,1,709400,8/21/2013,44.38713,-114.2643,6,1310667,-136.56,-17.52,3.59
10747,IDRM-1019,1,712220,7/14/2013,45.43318,-115.9813,7,1310267,-130.85,-17.12,6.14
11792,IDRM-1021,1,724400,8/23/2013,45.3167,-114.4641,6,1310704,-134.6,-17.67,6.72
10745,IDRM-1022,1,709760,7/15/2013,45.41502,-116.1287,7,1310290,-130.34,-17.17,7.05
11369,IDRM-1023,1,724500,8/10/2013,43.61997,-111.6627,6,1310578,-130.89,-17.17,6.45
11793,IDRM-1024,1,730480,8/27/2013,43.86404,-116.9933,8,1310701,-125.44,-16.04,2.87
11031,IDRO-1025,1,721760,7/27/2013,48.26628,-116.8605,5,1310424,-114.16,-15.02,5.98
11370,IDRO-1029,1,726780,8/11/2013,44.40736,-111.584,5,1310579,-126.64,-16.27,3.51
10672,IDRO-1030,1,709780,7/10/2013,44.03468,-116.917,6,1310246,-118.55,-15.45,5.03
11356,IDRO-1031,1,726800,8/9/2013,43.14662,-112.4308,6,1310567,-118.7,-14.75,-0.67
11029,IDRO-1033,1,721780,7/28/2013,47.3171,-116.3267,5,1310431,-113.11,-15.32,9.49
10566,IDRO-1034,1,714680,7/7/2013,43.69342,-115.6677,5,1310200,-126.11,-16.87,8.84
11387,IDRO-1036,1,726820,8/12/2013,43.01416,-114.2107,5,1310590,-127.82,-16.07,0.73
11317,IDRO-1039,1,712080,8/8/2013,42.90106,-112.505,5,1310545,-119.76,-14.98,0.06
11052,IDRO-1041,1,712120,7/29/2013,46.76034,-116.5153,5,1310434,-100.15,-12.43,-0.68
11994,IDRO-1047,1,730600,9/7/2013,42.74116,-112.2166,5,1310771,-121.98,-15.84,4.75
12147,IDRO-1049,1,730460,9/16/2013,48.99286,-116.5348,6,1310835,-134.21,-17.71,7.44
11736,IDRO-1050,1,724380,8/26/2013,43.93061,-116.1794,6,1310689,-117.03,-15.16,4.21
11961,IDS9-0922,1,726860,9/5/2013,42.46121103,-111.9125695,2,1310751,-125.19,-16.84,9.5
11250,ILLS-1067,1,725700,8/6/2013,37.16191,-88.71408,3,1310522,-27.66,-4.76,10.4
11283,ILLS-1069,1,725280,8/7/2013,37.95013,-89.42698,4,1310525,-26.34,-3.73,3.46
10927,ILLS-1071,1,721400,7/23/2013,40.1623,-88.02744,3,1310339,-40.04,-6.46,11.67
11038,ILLS-1074,1,721420,7/25/2013,42.10498,-89.16953,3,1310393,-50.66,-7.8,11.74
10974,ILR9-0902,1,721440,7/24/2013,41.48585,-89.84848,5,1310354,-47.6,-7.47,12.16
11404,ILR9-0902,2,725300,8/13/2013,41.48585,-89.84848,5,1310584,-47.55,-7.24,10.39
10901,ILRF-0001,1,715700,7/22/2013,37.47427641,-88.54386597,NA,1310345,-31.22,-4.75,6.81
11480,ILRF-0002,1,715180,8/15/2013,39.26607965,-87.6999488,NA,1310609,-34.8,-5.23,7.02
10951,ILRF-0003,1,715720,7/23/2013,40.14087496,-87.74330483,NA,1310359,-39.76,-6.14,9.33
11978,ILRO-1025,1,725340,9/6/2013,38.92612,-88.556,5,1310768,-31.52,-4.77,6.62
11040,ILRO-1027,1,721380,7/26/2013,40.8218,-88.37701,5,1310395,-33.87,-4.54,2.46
11147,ILS9-0920,1,721340,8/1/2013,39.54833,-89.4336,2,1310467,-36.58,-5.62,8.4
11181,ILS9-0921,1,721320,8/2/2013,39.21622,-89.02056,4,1310495,-34.34,-5.5,9.63
11112,ILSS-1125,1,721300,7/31/2013,40.1534,-89.91671,2,1310449,-44.98,-7.17,12.36
11071,ILSS-1128,1,721360,7/30/2013,39.19463,-90.5695,2,1310437,-35.36,-6.04,12.94
11330,ILSS-1130,1,725320,8/8/2013,38.7142,-87.59376,2,1310549,-39.68,-6.46,12.04
11058,INLS-1044,1,717560,7/29/2013,39.70522,-87.07882,3,1310432,-39.72,-6.5,12.24
10968,INRF-0001,1,715740,7/24/2013,39.01318876,-85.50090581,NA,1310406,-33.88,-5.13,7.19
11018,INRF-0002,1,715760,7/25/2013,39.36750046,-86.06756024,NA,1310374,-38.09,-5.62,6.85
11246,INRO-1027,1,717400,8/6/2013,40.31368,-87.27048,5,1310534,-41.73,-6.8,12.65
10908,INS9-0918,1,717300,7/23/2013,39.18727,-85.3494,1,1310361,-37.41,-6.07,11.14
11304,INS9-0918,2,717520,8/8/2013,39.18727,-85.3494,1,1310574,-39.97,-6.37,10.96
11119,INS9-0920,1,717540,7/31/2013,38.71123,-87.17757,4,1310459,-34.6,-5.09,6.1
10984,INS9-0923,1,717380,7/25/2013,40.54495,-84.92549,3,1310407,-44.06,-6.46,7.6
10939,INSS-1088,1,717360,7/24/2013,39.71464,-85.18634,1,1310356,-42.16,-6.87,12.8
10494,INSS-1089,1,715300,6/27/2013,41.24414,-87.11566,1,1310177,-46.41,-7.3,11.98
10639,KSR9-0901,1,705000,7/9/2013,39.87204,-95.02724,9,1310217,-78.38,-10.18,3.06
11090,KSR9-0901,2,705300,7/30/2013,39.87204,-95.02724,9,1310450,-87.45,-11.07,1.1
10094,KSR9-0902,1,708000,5/21/2013,37.8236,-97.46279,7,1310012,-32.89,-4.6,3.91
10587,KSR9-0903,1,704580,7/8/2013,38.12609,-98.07809,7,1310210,-39.72,-5.87,7.25
10275,KSR9-0904,1,703620,6/17/2013,39.42728,-98.53949,5,1310069,-42.21,-5.74,3.75
10545,KSR9-0904,2,704620,7/1/2013,39.42728,-98.53949,5,1310182,-21.31,-1.47,-9.58
10754,KSR9-0905,1,703860,7/15/2013,39.72624,-94.91122,9,1310275,-81.82,-10.35,0.96
10217,KSR9-0906,1,703280,6/11/2013,37.39754,-95.67977,5,1310048,-28.45,-4.72,9.28
12020,KSR9-0907,1,729360,9/10/2013,38.76631,-100.2741,6,1310786,-1.75,1.76,-15.79
10776,KSR9-0908,1,703260,7/16/2013,39.25252,-96.3266,5,1310301,-32,-4.65,5.18
10059,KSR9-0910,1,703600,5/6/2013,39.49523,-97.2319,7,1310002,-41.57,-5.86,5.34
10878,KSR9-0911,1,703840,7/19/2013,39.06027,-94.84195,8,1310319,-22.9,-3.02,1.24
10898,KSR9-0912,1,719380,7/22/2013,37.33922,-97.25535,6,1310340,-21.75,-2.53,-1.47
10427,KSRF-0002,1,705500,6/26/2013,37.78673008,-96.43021632,NA,1310133,-23.39,-3.45,4.2
10473,KSRF-0003,1,705520,6/27/2013,38.49227378,-96.58310747,NA,1310149,-35.89,-5.6,8.87
10404,KSRF-0004,1,705480,6/25/2013,39.10730994,-96.6072498,NA,1310114,-34.94,-5.66,10.31
10926,KSRF-0006,1,716980,7/23/2013,39.56784284,-96.21844372,NA,1310362,-35.8,-5.34,6.94
12142,KSRS-1255,1,719320,9/16/2013,37.2097,-95.54539,4,1310830,-15.97,-2.36,2.91
11216,KSRS-1258,1,719840,8/5/2013,39.42137,-98.04703,6,1310517,-32.03,-4.68,5.45
10154,KSRS-1261,1,703680,6/5/2013,39.35249,-99.83154,5,1310023,-55.41,-8.17,9.95
10806,KSRS-1268,1,719240,7/17/2013,39.73549,-95.82575,3,1310299,-32.24,-4.65,4.98
10356,KSRS-1269,1,703320,6/24/2013,38.70221,-96.98346,4,1310121,-28.83,-4.09,3.92
10074,KSRS-1270,1,703660,5/13/2013,37.17128,-96.84909,3,1310006,-28.32,-4.64,8.78
10155,KSRS-1277,1,704560,6/5/2013,39.04576,-99.04318,5,1310024,-41.85,-5.11,-0.97
11933,KSRS-1278,1,729300,9/4/2013,37.84788,-97.14895,2,1310743,-33.61,-5.18,7.84
11115,KSRS-1280,1,719280,7/31/2013,38.93963,-94.98134,3,1310477,-24.87,-3.07,-0.31
10048,KSRS-1288,1,703580,4/30/2013,39.12843,-95.65402,2,1310001,-30.51,-4.8,7.93
11729,KSRS-1301,1,719340,8/26/2013,39.13624,-96.78261,3,1310690,-34.7,-5.49,9.24
10960,KSRS-1303,1,719360,7/23/2013,37.70662,-96.2133,4,1310369,-15.44,-1.37,-4.46
11267,KSRS-1306,1,719300,8/6/2013,39.03621,-98.23066,6,1310539,-21.21,-2.43,-1.79
11149,KSRS-1312,1,719820,8/1/2013,39.0018,-94.80367,2,1310464,-25.65,-3.94,5.89
11812,KSRS-1313,1,703520,8/27/2013,39.01663,-97.48087,4,1310710,-30.69,-4.72,7.04
10588,KSRS-1316,1,705020,7/8/2013,39.57579,-95.07163,9,1310211,-76.74,-10.06,3.77
11811,KSRS-1317,1,709960,8/27/2013,39.55767,-97.21205,4,1310711,-31.85,-4.48,4
12166,KSRS-1324,1,709900,9/17/2013,37.46056,-95.35744,3,1310839,-9.74,-1.53,2.47
12261,KSRS-1330,1,703240,9/23/2013,38.40248,-96.74899,4,1310884,-32.6,-5.09,8.11
10419,KSRS-1336,1,703540,6/25/2013,39.10386,-96.49063,4,1310144,-36.69,-5.74,9.23
11552,KSRS-1338,1,729280,8/20/2013,39.89553,-98.19393,4,1310645,-47.55,-6.43,3.85
10213,KSRS-1340,1,703640,6/10/2013,38.43482,-95.74648,3,1310043,-45.23,-6.81,9.22
11932,KSRS-1343,1,729220,9/3/2013,37.44358,-98.77875,3,1310748,-45.53,-6.85,9.3
12062,KSRS-1348,1,729200,9/11/2013,39.99012,-95.62911,3,1310800,-34.51,-5.22,7.23
10842,KSS9-0932,1,704640,7/15/2013,39.8978,-98.15768,4,1310272,-24.57,-2.19,-7.04
10076,KSS9-0933,1,703560,5/14/2013,37.84409,-96.85665,4,1310007,-28.86,-4.64,8.28
12299,KSS9-0934,1,732720,9/24/2013,37.88165,-95.67601,4,1310893,-7.34,-0.59,-2.66
11584,KSS9-0936,1,719260,8/21/2013,39.28797,-97.41126,2,1310660,-39.62,-6.14,9.48
11531,KSS9-0938,1,729260,8/19/2013,39.55417,-99.74415,4,1310635,-61.24,-9.03,11.01
11998,KSS9-0938,2,729240,9/9/2013,39.55417,-99.74415,4,1310776,-60.37,-8.66,8.95
11497,KYLS-1053,1,715440,8/16/2013,37.04282,-84.04663,3,1310615,-28.43,-4.98,11.43
11481,KYLS-1054,1,712920,8/15/2013,37.5641,-82.45177,3,1310616,-38.07,-6.28,12.19
11251,KYLS-1055,1,724340,8/6/2013,37.25659,-87.59639,3,1310526,-31.68,-5.3,10.74
11868,KYLS-1056,1,724320,8/27/2013,36.8776,-88.41156,3,1310699,-26.79,-4.7,10.84
12081,KYLS-1062,1,718760,9/11/2013,37.44252969,-86.56174104,NA,1310794,-27.91,-4.76,10.18
11331,KYR9-0905,1,712880,8/8/2013,37.29116,-85.59289,5,1310564,-35.48,-5.8,10.89
11670,KYR9-0905,2,715880,8/22/2013,37.29116,-85.59289,5,1310673,-36.97,-6.08,11.66
11816,KYR9-0907,1,715860,8/28/2013,37.23007,-84.24396,5,1310724,-34.05,-5.72,11.71
11383,KYRF-0001,1,724240,8/12/2013,37.0866943,-83.6024257,NA,1310589,-31.99,-5.69,13.55
11354,KYRF-0002,1,721080,8/8/2013,37.58632177,-86.61973903,NA,1310558,-33.54,-5.48,10.33
10099,KYRM-1002,1,705380,5/22/2013,38.68588,-85.17831,8,1310010,-50.04,-8.01,14.06
12072,KYRM-1003,1,730060,9/11/2013,38.12341,-83.55383,5,1310802,-37.08,-5.75,8.88
10091,KYRM-1006,1,705360,5/21/2013,38.51354,-85.02908,6,1310009,-38.92,-6.64,14.22
12004,KYRM-1007,1,726980,9/9/2013,38.49513,-84.16162,6,1310784,-39.38,-6.3,11.04
11225,KYRO-1029,1,712900,8/5/2013,36.90474,-86.39364,5,1310505,-33.29,-5.75,12.69
11182,KYRO-1031,1,712960,8/4/2013,37.47149,-87.11365,6,1310501,-43.23,-6.66,10.02
11733,KYRO-1032,1,713000,8/26/2013,36.92339,-89.00926,5,1310702,-28.03,-4.97,11.77
10274,KYS9-0919,1,703980,6/18/2013,38.62014,-85.41854,2,1310076,-35.71,-5.85,11.13
10640,KYS9-0919,2,703780,7/9/2013,38.62014,-85.41854,2,1310220,-42.85,-7.02,13.31
11367,KYS9-0920,1,724360,8/11/2013,37.20463,-83.52786,1,1310581,-33.13,-5.67,12.22
11704,KYS9-0921,1,724300,8/25/2013,36.93503,-85.77766,2,1310684,-34.53,-5.84,12.19
11447,KYS9-0923,1,715600,8/14/2013,37.29618,-83.06281,1,1310621,-36.41,-6.16,12.87
10418,KYS9-0924,1,704520,6/25/2013,38.60545,-83.95593,3,1310126,-36.14,-5.87,10.84
11349,KYS9-0925,1,724200,8/9/2013,37.25037,-87.24123,2,1310571,-17.11,-3.65,12.09
11689,KYS9-0925,2,715580,8/23/2013,37.25037,-87.24123,2,1310681,-33.61,-5.68,11.81
11520,KYS9-0926,1,715460,8/19/2013,38.82073,-84.70514,1,1310625,-35.46,-5.54,8.82
11400,KYSS-1077,1,715620,8/13/2013,36.68126,-84.70198,1,1310594,-34.58,-5.99,13.37
11510,KYSS-1078,1,715560,8/18/2013,36.76687,-89.08165,2,1310623,-21.67,-3.81,8.79
10445,KYSS-1080,1,704500,6/26/2013,38.68525,-85.24408,1,1310141,-32.46,-5.42,10.88
1000041,KYSS-1082,1,730380,9/26/2013,36.51107,-88.67582,2,1310915,-34.15,-5.83,12.46
10480,LALS-1038,1,713520,6/24/2013,30.57775,-91.52159,3,1310115,-10.23,-2.37,8.69
10465,LAR9-0915,1,712840,6/26/2013,30.32848,-90.84382,6,1310150,-14.26,-3.05,10.17
11007,LAR9-0915,2,722780,7/24/2013,30.32848,-90.84382,6,1310398,-18.39,-3.43,9.02
