SITE_ID,YEAR,VISIT_NO,UNIQUE_ID,ECOWSA9,RT_WQI,CL_pt,SO4_pt,PTL_pt,NTL_pt,TURB_pt,ENTERO_PT,DO_PT,PH_PT,NUMVARN,WQII
ALRM-1003,2013,1,NRS_AL-10075,SAP,T,8.922578799,8.823481527,6.413994169,3.660377358,10,10,10,10,8,84.78
NRS18_AL_10018,2019,1,NRS_AL-10075,SAP,T,7.238689069,8.448682281,10,0.037735849,10,10,10,10,8,82.16
ALRO-1020,2014,1,NRS_AL-10077,CPL,S,10,10,10,8.838709677,4.817073171,0,10,10,8,79.57
NRS18_AL_10015,2019,1,NRS_AL-10077,CPL,S,10,8.934452863,0,0,9.158536585,0,10,10,8,60.12
ALRO-1021,2013,1,NRS_AL-10078,SAP,T,9.335927988,4.84707738,0,0,2.219679634,10,10,10,8,58.00
NRS18_AL_10016,2018,1,NRS_AL-10078,SAP,T,7.654579339,4.36317427,0,0,8.23798627,10,10,10,8,62.82
ALRO-1023,2014,1,NRS_AL-10080,CPL,S,10,10,10,10,10,10,10,10,8,100.00
ALSS-1063,2013,1,NRS_AL-10083,SAP,S,10,10,3.790087464,10,0,0,10,10,8,67.24
ALSS-1064,2013,1,NRS_AL-10084,SAP,S,9.53752042,10,5.539358601,9.169811321,10,10,10,10,8,92.81
ALSS-1065,2013,1,NRS_AL-10085,SAP,T,9.783158258,10,2.915451895,0,0,0,10,10,8,53.37
ALSS-1066,2013,1,NRS_AL-10086,CPL,S,9.649661203,10,10,0,10,10,10,10,8,87.06
ALRF-0001,2013,1,NRS_AL-10087,SAP,S,10,10,10,10,10,10,10,10,8,100.00
ALRF-0002,2013,1,NRS_AL-10088,SAP,S,10,10,0.583090379,10,0,10,10,10,8,75.73
ALRF-0003,2013,1,NRS_AL-10089,CPL,S,10,10,10,10,10,10,10,10,8,100.00
ALRF-0004,2013,1,NRS_AL-10090,CPL,S,10,10,10,10,10,10,10,10,8,100.00
NRS18_AL_10019,2018,1,NRS_AL-10091,CPL,R,10,10,10,10,10,10,10,10,8,100.00
NRS18_AL_10020,2018,1,NRS_AL-10092,CPL,S,10,10,10,10,10,10,10,10,8,100.00
NRS18_AL_10022,2018,1,NRS_AL-10094,CPL,R,10,10,0,0.430107527,0,10,0,10,8,50.54
NRS18_AL_10023,2018,1,NRS_AL-10095,SAP,S,10,10,8.13819242,7.433962264,5.377574371,10,3.05,10,8,80.00
NRS18_AL_10025,2019,1,NRS_AL-10097,SAP,R,10,10,10,10,10,10,10,10,8,100.00
