UID,SAMPLE_ID,DATE_COL,SITE_ID,VISIT_NO,dD (vsmow),d18O (vsmow),d-excess,LAT_DD83,LON_DD83
13374,550881,6/16/2009,FW08AL019,1,-17.19,-3.53,11.01,32.91383014,-87.53264771
13803,550521,7/8/2009,FW08AL020,1,-23.57,-4.21,10.12,33.41281267,-86.75189943
14527,549571,8/12/2009,FW08AL021,1,-16.97,-3.4,10.2,31.34380861,-85.60881312
13903,554741,8/15/2009,FW08AL022,1,-17.65,-3.16,7.6,31.68739652,-88.05213311
13904,555521,8/13/2009,FW08AL023,1,-15.06,-3.19,10.45,32.15904561,-87.01008263
13804,551111,7/15/2009,FW08AL024,1,-18.48,-3.21,7.22,34.00378128,-86.74110543
13805,550141,7/23/2009,FW08AL025,1,-19.09,-3.2,6.54,32.43328885,-84.96698746
13969,550021,7/24/2009,FW08AL026,1,-18.26,-2.98,5.61,31.19892816,-87.90346053
13905,555561,8/16/2009,FW08AL027,1,-8.47,-1.95,7.1,32.12422057,-87.52831805
12994,548461,6/6/2009,FW08AL028,1,-27.2,-4.68,10.23,34.90862922,-87.06229652
13906,551101,7/11/2009,FW08AL029,1,-23.65,-4.09,9.08,33.62400503,-85.49383877
14529,553431,8/11/2009,FW08AL030,1,-18.86,-3.03,5.37,31.86806513,-85.76601507
13806,547921,7/7/2009,FW08AL031,1,-19.45,-3.32,7.14,33.15834892,-87.02985999
13375,548741,6/11/2009,FW08AL032,1,-27.58,-4.91,11.67,34.50734375,-88.05036703
13807,543291,6/30/2009,FW08AL033,1,-21.51,-4.19,12.01,33.79214422,-86.13073021
13891,549241,7/25/2009,FW08AL034,1,-8.49,-0.93,-1.04,31.30014686,-88.40095587
13808,550531,7/14/2009,FW08AL035,1,-20.52,-3.61,8.35,33.24312036,-87.50377582
13809,552951,7/18/2009,FW08AL036,1,-26.56,-4.84,12.12,33.8511662,-87.80278113
13810,552141,7/24/2009,FW08AL046,1,-24.15,-4.01,7.95,32.98546202,-85.32497105
13907,555541,8/14/2009,FW08AL047,1,-22.66,-4.08,9.95,32.97036777,-87.1982608
14530,553471,8/16/2009,FW08AL051,1,-17,-3.16,8.26,32.18553827,-86.90636776
14262,545651,7/20/2009,FW08AR001,2,-18.56,-3.22,7.19,36.11038631,-90.4500669
15428,551141,6/23/2009,FW08AR001,1,-24.56,-4.01,7.55,36.11038631,-90.4500669
14262,545921,7/20/2009,FW08AR001,2,-16.19,-3.11,8.66,36.11038631,-90.4500669
15429,551281,7/8/2009,FW08AR002,1,-16.65,-2.81,5.87,35.00868082,-91.81229884
14263,545661,7/29/2009,FW08AR002,2,-17.77,-3.22,8,35.00868082,-91.81229884
14263,543901,7/29/2009,FW08AR002,2,-18.24,-3.28,8.01,35.00868082,-91.81229884
13816,548341,7/14/2009,FW08AR003,1,-31.41,-4.9,7.81,36.24468981,-92.83583518
14219,541971,8/16/2009,FW08AR003,2,-33.28,-5.33,9.35,36.24468981,-92.83583518
14219,542001,8/16/2009,FW08AR003,2,-32.72,-5.38,10.31,36.24468981,-92.83583518
11302,530031,9/6/2008,FW08AR004,1,-31.02,-5.46,12.65,34.50655745,-94.18862207
13817,543391,7/12/2009,FW08AR006,1,-22.96,-3.74,6.93,36.21829613,-91.27018957
11301,530191,9/27/2008,FW08AR007,1,-37.66,-5.95,9.96,34.98609295,-93.60350937
11303,530051,9/20/2008,FW08AR008,1,-30.73,-4.73,7.13,34.42724497,-92.38033902
11299,530261,9/13/2008,FW08AR009,1,-31.87,-5.44,11.64,33.88132106,-93.49051167
13818,541371,7/6/2009,FW08AR012,1,-28.73,-4.74,9.21,34.35270394,-91.10541947
14220,547701,8/3/2009,FW08AR012,2,-26.82,-4.52,9.35,34.35270394,-91.10541947
14220,547591,8/3/2009,FW08AR012,2,-26.4,-4.48,9.41,34.35270394,-91.10541947
14264,540771,6/10/2009,FW08AR013,1,-17.58,-3.03,6.65,33.6451774,-92.20747631
13819,547841,7/19/2009,FW08AR014,1,-18,-3.76,12.07,34.69500093,-90.64588479
13049,548351,6/7/2009,FW08AR016,1,-28.7,-5.27,13.49,35.67817479,-93.74408949
13894,550411,7/8/2009,FW08AR017,1,-23.01,-3.68,6.44,33.55630443,-92.02261247
13895,542291,6/28/2009,FW08AR019,1,-22.68,-3.77,7.47,34.92887774,-93.36068491
14265,542901,6/2/2009,FW08AR020,1,-23.7,-4.17,9.69,34.06488091,-93.44225956
14221,547471,8/4/2009,FW08AR022,1,-21.23,-3.79,9.05,34.8014198,-90.77003066
13896,550471,6/23/2009,FW08AR024,1,-20.13,-3.63,8.94,33.61703373,-93.86000774
14266,543081,6/24/2009,FW08AR025,1,-29.77,-4.98,10.03,36.23849513,-91.90776752
14267,546471,7/20/2009,FW08AR026,1,-18.52,-4,13.49,35.53264371,-90.44201227
14268,545901,6/30/2009,FW08AR027,1,-25.42,-4.11,7.46,35.3466556,-91.32230048
13897,550451,7/7/2009,FW08AR028,1,-28.61,-5.01,11.5,34.43419253,-91.16681756
13898,550431,6/25/2009,FW08AR030,1,-24.11,-3.9,7.05,34.35517222,-92.86759448
14269,553351,8/27/2009,FW08AR031,1,-16.29,-3.07,8.29,35.31565061,-92.39585489
13050,548371,6/9/2009,FW08AR032,1,-25.92,-4.18,7.55,35.42766302,-94.14453915
11300,522481,8/27/2008,FW08AR035,1,-34.51,-6.09,14.23,35.76862941,-93.1659807
13899,548331,6/29/2009,FW08AR036,1,-15.91,-2.75,6.09,33.56425478,-94.38411286
14270,548361,8/11/2009,FW08AR037,1,-23.74,-4.23,10.06,36.10448686,-91.08780527
13900,548041,7/13/2009,FW08AR041,1,-30.31,-4.57,6.26,36.35957618,-92.59069445
14271,547881,8/4/2009,FW08AR042,1,-21,-3.73,8.86,34.77402298,-90.74420867
14272,552801,7/28/2009,FW08AR043,1,-28.92,-4.95,10.66,35.05882281,-91.4438667
13051,535531,5/27/2009,FW08AR044,1,-30.03,-4.91,9.28,35.09489821,-93.4227353
14273,548021,7/27/2009,FW08AR052,1,-13.4,-2.35,5.43,33.04553747,-93.82874478
14274,534991,8/12/2009,FW08AR053,1,-23.86,-4.85,14.92,36.28442851,-90.72571493
14275,541991,8/17/2009,FW08AR057,1,-28.41,-4.15,4.76,36.063267,-92.11116972
14276,550311,8/18/2009,FW08AR060,1,-20.3,-2.96,3.36,35.40391583,-94.33819472
15430,540901,6/14/2009,FW08AR069,1,-25.81,-4.64,11.32,36.11488649,-91.96699076
14277,545671,7/23/2009,FW08AR070,1,-20.19,-3.91,11.12,35.51270346,-91.61686914
14278,545911,6/15/2009,FW08AR072,1,-15.54,-3,8.46,33.26914799,-92.67900876
13052,541311,6/2/2009,FW08AR073,1,-35.94,-6.3,14.47,36.42861166,-93.14634877
14279,553331,8/25/2009,FW08AR080,1,-24.94,-3.97,6.83,35.68548535,-93.52616962
13901,543001,6/24/2009,FW08AR084,1,-24.29,-4.3,10.13,33.87304613,-93.50813619
14280,545931,6/16/2009,FW08AR088,1,-19.29,-3.69,10.21,33.2092422,-92.53051456
14281,541171,6/9/2009,FW08AR093,1,-11.41,-2.11,5.47,33.22879258,-91.28794196
14283,540911,6/17/2009,FW08AR094,1,-25.01,-4.8,13.37,33.89925291,-92.63604743
13053,542581,5/31/2009,FW08AR099,1,-31.82,-5.5,12.15,35.71495398,-92.88273831
13054,542591,6/1/2009,FW08AR111,1,-26.13,-4.7,11.43,35.27595613,-92.19925139
15431,535981,5/19/2009,FW08AR112,1,-28.95,-5.45,14.69,34.70130029,-93.79739102
13055,535991,5/19/2009,FW08AR114,1,-23.9,-4.54,12.41,34.675951,-92.66396251
14284,548001,7/26/2009,FW08AR116,1,-9.55,-1.27,0.63,33.24400584,-94.00329572
14285,543011,6/29/2009,FW08AR122,1,-13.5,-1.61,-0.58,35.27584041,-90.23426092
15509,535971,5/20/2009,FW08AR124,1,-23.48,-4.17,9.89,35.06977126,-94.18830486
14286,552341,7/27/2009,FW08AR133,1,-32.58,-5.5,11.4,35.88504238,-91.38636981
14287,543371,7/13/2009,FW08AR141,1,-16.94,-2.78,5.31,33.59243625,-91.30695018
13056,542601,5/28/2009,FW08AR142,1,-29.56,-5.27,12.58,34.37706817,-93.20282683
15432,543381,7/22/2009,FW08AR145,1,-21.89,-4.39,13.19,36.38502921,-90.61339699
15433,542611,6/1/2009,FW08AR146,1,-23.79,-4.18,9.66,34.06658058,-93.42375357
13057,535961,5/20/2009,FW08AR147,1,-27.9,-4.95,11.68,34.92202722,-92.953152
15434,535951,5/27/2009,FW08AR148,1,-25.61,-4.84,13.08,34.31157292,-93.75669461
14288,541181,6/8/2009,FW08AR151,1,-12.92,-1.86,1.94,34.09935652,-91.64350158
15435,546161,6/15/2009,FW08AR153,1,-32.45,-5.72,13.28,36.39792656,-92.37061806
14289,546191,6/22/2009,FW08AR161,1,-30.84,-5.23,11.02,36.07939676,-90.66681779
14290,553321,8/10/2009,FW08AR177,1,-35.49,-5.56,9,36.42781717,-94.11203306
14291,544041,7/28/2009,FW08AR179,1,-22.83,-4.21,10.83,35.44697536,-92.11461438
15508,545941,7/7/2009,FW08AR183,1,-19.3,-2.93,4.12,34.64690986,-91.97628313
14292,543761,8/4/2009,FW08AR188,1,-16.61,-2.93,6.82,34.99955646,-94.10611378
14293,547451,8/23/2009,FW08AR192,1,-15.43,-2.79,6.87,34.25657775,-94.21744301
14294,542951,8/17/2009,FW08AR218,1,-23.37,-3.87,7.61,35.80050273,-90.19491663
14641,552811,8/5/2009,FW08AR236,1,-21.05,-2.71,0.63,35.38950946,-94.09154904
14295,544071,7/23/2009,FW08AR255,1,-19.88,-3.49,8,35.26102285,-93.09442003
14296,552791,8/3/2009,FW08AR276,1,-19.09,-2.64,2.06,35.35631354,-93.4637046
14297,552821,9/12/2009,FW08AR303,1,-12.7,-1.04,-4.4,33.20234984,-93.80653574
14298,552351,9/29/2009,FW08AR307,1,-24.18,-3.41,3.14,35.41004023,-94.30155165
14299,531841,10/3/2009,FW08AR311,1,-33.4,-5.05,6.96,33.16635567,-92.52079593
14300,553811,10/6/2009,FW08AR320,1,-28.44,-4.84,10.28,35.83554686,-91.54700493
14171,551241,6/23/2009,FW08AZ003,1,-74.99,-10.64,10.13,34.19259994,-111.0367437
14173,540861,6/5/2009,FW08AZ004,1,-55.89,-6.88,-0.87,34.35259107,-113.2188311
14174,540381,5/30/2009,FW08AZ005,1,-74.21,-10.36,8.66,33.91244991,-109.3564507
14175,546841,5/30/2009,FW08AZ006,1,-71.55,-9.88,7.52,33.75994138,-109.4340308
15797,556971,10/16/2009,FW08AZ007,1,-95.56,-13.29,10.78,36.1178128,-112.0837041
12894,542691,5/28/2009,FW08AZ008,2,-69.12,-9.07,3.41,32.87100703,-109.1981321
12894,542741,5/28/2009,FW08AZ008,2,-69.2,-9.16,4.06,32.87100703,-109.1981321
12733,523881,5/5/2009,FW08AZ008,1,-68.65,-9.9,10.58,32.87100703,-109.1981321
15804,543411,10/14/2009,FW08AZ009,1,-108.42,-14.27,5.77,36.08766461,-111.8706113
15800,556991,10/11/2009,FW08AZ013,1,-109.01,-14.02,3.15,36.43346223,-111.8640926
12895,542751,5/26/2009,FW08AZ019,1,-64.09,-8.44,3.44,32.40882122,-111.1606295
12988,541091,6/10/2009,FW08AZ019,2,-62.93,-8.39,4.16,32.40882122,-111.1606295
12988,542881,6/10/2009,FW08AZ019,2,-62.85,-8.4,4.38,32.40882122,-111.1606295
12989,534731,5/18/2009,FW08AZ022,1,-69.56,-9.43,5.91,33.29395085,-109.494703
14214,546221,6/17/2009,FW08AZ024,1,-63.67,-7.39,-4.53,34.57310158,-110.0745709
14213,540351,6/3/2009,FW08AZ028,1,-76.22,-10.21,5.44,34.53135184,-111.8406707
15803,557011,10/24/2009,FW08AZ034,1,-107.74,-14.09,5.01,36.08919351,-113.2540742
12734,534421,4/21/2009,FW08AZ044,1,-59.42,-7.96,4.24,34.23975405,-112.0670972
15801,557021,10/19/2009,FW08AZ045,1,-108.96,-14.26,5.08,36.30100878,-112.494615
14212,545971,6/4/2009,FW08AZ048,1,-73.76,-9.86,5.13,34.88683609,-112.3247841
14210,552771,7/12/2009,FW08AZ050,1,-90.25,-11.59,2.44,36.860876,-113.9534472
15799,557031,10/13/2009,FW08AZ057,1,-109.02,-14.41,6.28,36.11514861,-111.8289587
14211,553011,7/9/2009,FW08AZ062,2,-96.07,-11.62,-3.11,33.47634212,-114.6053022
14180,548581,7/2/2009,FW08AZ062,1,-95.88,-11.9,-0.72,33.47634212,-114.6053022
14211,543471,7/9/2009,FW08AZ062,2,-95.88,-11.99,0.01,33.47634212,-114.6053022
15798,557001,10/15/2009,FW08AZ073,1,-108.38,-13.97,3.35,36.05593012,-111.9976603
14044,553001,7/10/2009,FW08AZ074,2,-95.63,-11.61,-2.74,33.25130356,-114.6723289
14044,550031,7/10/2009,FW08AZ074,2,-95.62,-11.67,-2.28,33.25130356,-114.6723289
14043,548281,7/3/2009,FW08AZ074,1,-95.84,-11.83,-1.17,33.25130356,-114.6723289
12990,534781,5/21/2009,FW08AZ075,1,-68.04,-8.94,3.49,33.10544383,-109.299405
15796,556761,10/12/2009,FW08AZ077,1,-109.5,-14.62,7.45,36.31935689,-111.8628923
14045,543481,6/29/2009,FW08AZ087,1,-66.54,-8.46,1.18,33.61772,-110.9110334
12735,534971,4/23/2009,FW08AZ090,1,-76.08,-8.61,-7.19,32.71136818,-114.3204076
15806,556021,10/9/2009,FW08AZ093,1,-109.38,-14.38,5.63,36.84694709,-111.6169441
15802,556001,10/25/2009,FW08AZ098,1,-108.1,-13.82,2.45,36.09844446,-113.3168975
14046,551431,6/28/2009,FW08AZ100,1,-65.12,-9.01,6.93,33.8736257,-111.3058217
12736,534861,5/6/2009,FW08AZ107,1,-64.3,-9.26,9.76,32.71967085,-109.0974956
15805,556011,10/20/2009,FW08AZ109,1,-108,-13.93,3.43,36.40030653,-112.556161
12737,532191,5/4/2009,FW08AZ134,1,-61.84,-8.18,3.62,32.89332433,-109.7940786
12738,535001,5/7/2009,FW08AZ139,1,-68.62,-9.79,9.7,33.02098181,-109.2997034
13784,534761,5/20/2009,FW08AZ155,1,-67.13,-8.61,1.79,33.08808747,-109.4624855
12991,534751,5/19/2009,FW08AZ171,1,-71.13,-9.54,5.22,33.67588001,-109.0840924
12893,542731,5/27/2009,FW08AZ194,1,-51.58,-7.22,6.2,31.56235429,-111.0460433
14047,551481,6/18/2009,FW08AZ260,1,-69.03,-8.92,2.34,34.37598408,-110.0121231
11935,525011,6/24/2008,FW08CA001,2,-69.3,-9.79,9,33.7605511,-116.5497488
11935,522571,6/24/2008,FW08CA001,2,-69.21,-10.17,12.19,33.7605511,-116.5497488
9830,521311,6/4/2008,FW08CA001,1,-71.2,-10.56,13.32,33.7605511,-116.5497488
14605,535741,6/2/2009,FW08CA002,1,-37.92,-5.46,5.75,38.50408081,-122.7882006
11936,522551,7/29/2008,FW08CA004,1,-73.42,-9.56,3.03,38.67542306,-121.4471954
11937,522531,9/16/2008,FW08CA004,2,-75.89,-10.15,5.3,38.67542306,-121.4471954
11937,521301,9/16/2008,FW08CA004,2,-75.8,-10.17,5.54,38.67542306,-121.4471954
14604,547081,7/6/2009,FW08CA005,1,-72.19,-10.16,9.08,39.44200189,-122.637233
11938,531061,7/31/2008,FW08CA006,1,-98.28,-13,5.7,38.73207634,-119.929254
11939,521261,7/23/2008,FW08CA007,1,-42,-6.24,7.95,34.74768352,-120.0540091
14603,540691,6/23/2009,FW08CA008,1,-74.69,-10.66,10.6,40.62711397,-123.3740755
14602,547071,8/12/2009,FW08CA009,1,-102.14,-14.24,11.76,37.68170866,-119.5368614
11940,522301,9/3/2008,FW08CA010,1,-98.36,-13.63,10.7,42.00285652,-122.764264
11941,524021,8/21/2008,FW08CA011,1,-126.32,-16.72,7.43,38.31081734,-119.3439232
11942,521271,7/22/2008,FW08CA012,1,-56.41,-8.24,9.55,34.55732876,-119.2497054
11943,527861,9/9/2008,FW08CA013,1,-44.48,-6.83,10.19,41.09035702,-124.0858495
9832,521321,6/3/2008,FW08CA015,1,-48.27,-7.78,13.95,32.89961947,-116.5887422
11944,521281,7/24/2008,FW08CA016,1,-47.73,-6.97,8.06,37.32877981,-121.6748984
11945,524141,8/19/2008,FW08CA017,1,-66.43,-8.68,3.03,36.96370514,-119.2314146
14054,546061,8/5/2009,FW08CA020,1,-82.88,-10.57,1.66,41.31852852,-123.5279597
10994,532451,9/18/2008,FW08CA020,2,-85.84,-11.02,2.31,41.31852852,-123.5279597
14054,547431,8/5/2009,FW08CA020,1,-83.09,-10.9,4.13,41.31852852,-123.5279597
14601,546591,5/27/2009,FW08CA022,1,-51.59,-7.28,6.69,34.35671323,-119.0198808
14055,548891,8/3/2009,FW08CA031,1,-52.12,-7.08,4.54,38.81627171,-123.0111924
10995,532721,9/15/2008,FW08CA031,2,-56.54,-7.86,6.35,38.81627171,-123.0111924
14055,549061,8/3/2009,FW08CA031,1,-53.33,-7.72,8.46,38.81627171,-123.0111924
10996,527071,9/10/2008,FW08CA035,1,-76.13,-10.36,6.77,38.80836238,-121.6352071
14600,547091,6/22/2009,FW08CA036,1,-84.78,-12.12,12.17,40.80247233,-122.9300163
14599,547001,5/26/2009,FW08CA038,1,-66.48,-8.64,2.65,34.42493996,-118.5570537
10997,526941,9/20/2008,FW08CA040,1,-87.35,-11.01,0.7,41.53926058,-123.5267321
10958,529581,9/5/2008,FW08CA044,1,-74.21,-6.4,-23.01,41.48963055,-120.6045859
14598,546581,7/20/2009,FW08CA046,1,-72.25,-10.21,9.4,39.4667372,-120.9644497
14597,544431,9/21/2009,FW08CA054,1,-80.82,-11.37,10.14,40.21900408,-121.9974197
10998,526821,9/19/2008,FW08CA056,1,-82,-10.77,4.16,41.45639606,-123.9355648
10969,526991,9/7/2008,FW08CA059,1,-83.38,-10.46,0.33,40.00190523,-121.2682255
10999,526981,9/12/2008,FW08CA061,1,-80.1,-10.41,3.2,37.59637606,-121.1287613
11000,527021,9/16/2008,FW08CA063,1,-48.32,-5.52,-4.17,40.31843895,-123.771013
11001,526681,9/9/2008,FW08CA067,1,-78.2,-10.7,7.36,38.57234221,-121.3577452
11002,529121,9/21/2008,FW08CA068,1,-89.97,-11.07,-1.43,41.84331069,-122.8997348
11946,531791,9/23/2008,FW08CA075,1,-85.31,-12.18,12.17,39.90521376,-121.0465597
14596,547031,8/10/2009,FW08CA097,1,-122.81,-15.94,4.73,38.27112926,-119.3316508
14595,541581,8/19/2009,FW08CA102,1,-43.14,-6.67,10.23,40.72400294,-124.1173927
14594,547021,7/8/2009,FW08CA116,1,-87.79,-11.97,7.94,41.31835724,-123.0505146
14593,547041,7/7/2009,FW08CA132,1,-98.68,-13.43,8.76,41.95444069,-122.6616322
14592,535751,6/24/2009,FW08CA139,1,-75.86,-11.18,13.54,39.59862885,-120.9971607
14591,546571,8/11/2009,FW08CA145,1,-117.2,-14.9,2.03,37.56388064,-118.7547913
14590,540661,6/1/2009,FW08CA155,1,-34.13,-5.08,6.5,38.06906649,-122.5344472
14589,547061,8/18/2009,FW08CA168,1,-45.21,-7.52,14.95,41.64846253,-124.0884502
14588,546801,7/9/2009,FW08CA170,1,-86.8,-12.26,11.28,40.07704424,-121.5625018
14587,547051,6/4/2009,FW08CA199,1,-47.63,-7.34,11.09,38.83027731,-122.9060675
14586,540651,6/3/2009,FW08CA207,1,-45.94,-6.85,8.88,40.10650954,-123.793817
14585,547011,6/15/2009,FW08CA222,1,-70.54,-10.35,12.26,39.2998874,-120.9695012
11080,522851,8/5/2008,FW08CO001,2,-91.3,-11.55,1.09,37.36588354,-108.5932791
11080,532901,8/5/2008,FW08CO001,2,-91.68,-11.85,3.15,37.36588354,-108.5932791
11079,522241,7/10/2008,FW08CO001,1,-92.11,-12.37,6.85,37.36588354,-108.5932791
11082,527901,8/4/2008,FW08CO003,2,-108.93,-14.61,7.94,39.73087609,-108.6747246
11082,524861,8/4/2008,FW08CO003,2,-108.6,-14.63,8.42,39.73087609,-108.6747246
11081,522281,7/15/2008,FW08CO003,1,-110.51,-14.87,8.45,39.73087609,-108.6747246
13811,552021,7/21/2009,FW08CO004,1,-107.14,-13.81,3.34,39.95199557,-105.1684421
11083,530231,7/16/2008,FW08CO006,1,-127.26,-16.96,8.46,39.6430304,-107.7110185
13812,552031,7/22/2009,FW08CO007,1,-68.73,-8.43,-1.3,38.88673321,-103.6834836
11084,525001,7/2/2008,FW08CO010,1,-108.28,-13.99,3.67,39.34428,-104.9728388
11085,524991,6/30/2008,FW08CO012,1,-108.02,-13.84,2.73,39.2413809,-104.9580488
11086,532941,7/28/2008,FW08CO013,1,-53.28,-4,-21.3,37.79720049,-103.3774933
11087,524981,6/18/2008,FW08CO014,1,-111.83,-14.52,4.32,39.89246561,-105.0565383
12915,548801,6/4/2009,FW08CO015,1,-125.66,-16.94,9.83,40.19171518,-105.2005421
11088,524001,9/11/2008,FW08CO017,1,-120.55,-16.27,9.63,40.97146712,-107.0196069
11089,522431,7/1/2008,FW08CO019,1,-104.31,-13.53,3.95,39.38895974,-104.8672149
11090,525041,7/29/2008,FW08CO020,1,-26.16,-4.86,12.74,38.06505925,-102.3363777
11091,522421,7/14/2008,FW08CO021,1,-107.75,-13.7,1.88,39.98812383,-108.7779574
15510,553801,8/18/2009,FW08CO023,1,-114.51,-15.84,12.22,38.55320856,-107.5189582
11093,532301,9/26/2008,FW08CO025,2,-116.9,-15.45,6.71,38.86531333,-108.398139
11093,528801,9/26/2008,FW08CO025,2,-116.84,-15.5,7.18,38.86531333,-108.398139
11094,526551,8/15/2008,FW08CO025,1,-115.54,-15.39,7.58,38.86531333,-108.398139
11095,524651,9/3/2008,FW08CO027,1,-120,-16.04,8.32,39.36936448,-106.4524344
13909,548821,6/16/2009,FW08CO028,1,-87.75,-11.4,3.45,37.60461992,-103.6059701
14216,556091,10/8/2009,FW08CO029,1,-99.89,-14.19,13.59,37.71406868,-106.8381694
11096,524131,8/13/2008,FW08CO031,1,-107.96,-13.6,0.82,40.15970307,-105.1184267
15511,552171,8/5/2009,FW08CO032,1,-87.08,-10.57,-2.51,40.94131522,-102.3414153
14230,555691,9/15/2009,FW08CO033,1,-89.86,-11.36,1.04,37.17607951,-105.7310464
15512,552761,8/6/2009,FW08CO036,1,-96.42,-11.96,-0.72,40.39450659,-103.4773327
15176,550151,6/26/2009,FW08CO037,1,-128.2,-17.27,9.96,40.47796874,-108.908221
11097,524081,9/17/2008,FW08CO038,1,-124.96,-16.65,8.22,39.07659754,-106.0063979
15175,545571,9/10/2009,FW08CO046,2,-127.39,-16.9,7.78,39.65512779,-107.0671515
15513,545771,8/11/2009,FW08CO046,1,-128.32,-17.14,8.79,39.65512779,-107.0671515
15175,524871,9/10/2009,FW08CO046,2,-128.33,-17.2,9.26,39.65512779,-107.0671515
15514,553481,8/13/2009,FW08CO047,1,-103.68,-13.24,2.27,39.91225933,-104.8821446
15515,553301,9/17/2009,FW08CO049,1,-92.93,-11.66,0.37,37.35910031,-105.7663982
14217,556481,10/14/2009,FW08CO050,1,-124.89,-16.77,9.23,39.9509454,-107.6782685
13910,553491,8/25/2009,FW08CO053,1,-103.87,-12.17,-6.53,40.45365821,-108.4544306
15533,555501,9/22/2009,FW08CO054,1,-104.3,-13.11,0.61,39.40353901,-105.1696151
15517,550831,10/6/2009,FW08CO055,1,-111.37,-14.65,5.86,38.93286215,-107.4000133
15518,555861,9/24/2009,FW08CO059,1,-126,-16.91,9.24,40.67763476,-105.4137229
13658,548811,6/17/2009,FW08CO060,1,-71.6,-8.71,-1.96,37.8173524,-103.3687502
15519,545131,8/20/2009,FW08CO062,1,-128.63,-16.9,6.59,39.9576387,-106.5497604
15520,545151,6/10/2009,FW08CO066,1,-129.17,-17.53,11.03,40.52190611,-108.2847026
14231,555841,9/30/2009,FW08CO072,1,-79.66,-10.2,1.91,37.34161814,-103.9085079
11098,522651,7/9/2008,FW08CO073,1,-98.13,-13.61,10.76,37.06135096,-105.982904
11099,525811,7/30/2008,FW08CO076,1,-46.98,-5.07,-6.41,39.63865573,-102.1136539
15521,554001,9/2/2009,FW08CO083,1,-98.97,-13.62,10.02,37.72262415,-108.2352535
13944,551401,7/7/2009,FW08CO085,1,-105.95,-13.91,5.3,39.80551126,-108.6537634
13945,524341,6/19/2009,FW08CO086,1,-108.52,-13.79,1.83,39.54923087,-105.1317434
13946,551411,7/1/2009,FW08CO087,1,-113.47,-15.02,6.67,38.18577342,-106.4895271
11100,524941,10/2/2008,FW08CO103,1,-118.58,-15.98,9.26,38.60455418,-106.4649269
13605,553171,7/30/2009,FW08CO123,1,-120.91,-16.18,8.54,40.89838315,-105.3801509
15522,551421,6/30/2009,FW08CO125,1,-102.66,-13.64,6.44,37.58700212,-104.8386308
14218,553581,8/12/2009,FW08CO129,1,-102.9,-13.35,3.92,38.06736596,-105.08476
13606,552041,7/28/2009,FW08CO136,1,-58.06,-8.8,12.38,37.41580693,-102.5614433
13947,553311,8/27/2009,FW08CO138,1,-129.49,-16.97,6.3,40.35619514,-106.4882247
15523,555831,9/9/2009,FW08CO143,1,-131.94,-17.83,10.74,39.81050134,-106.0032326
14232,555801,9/29/2009,FW08CO171,1,-129.9,-18.07,14.69,40.62352247,-105.9780085
14957,556511,9/13/2009,FW08CT002,2,-42.26,-6.09,6.44,41.95089654,-72.30312457
