PUBLICATION_DATE,UID,SITE_ID,VISIT_NO,YEAR,DATE_COL,AGGR_ECO9_2015,SAMPLE_TYPE,BENT_SAMPLE_TYPE,BENT_MMI_COND,OE_COND,SAMPLED_BENT,MMI_BENT,OE_SCORE,COMP_PT,DIVS_PT,FEED_PT,HABT_PT,RICH_PT,TOLR_PT,BURRPTAX,CHIRPTAX,CLNGNTAX,CLNGPTAX,DOM5PIND,EPHENTAX,EPHEPTAX,EPT_NTAX,EPT_PIND,EPT_PTAX,HPRIME,INTLNTAX,NOINPIND,NTOLNTAX,NTOLPTAX,SCRPNTAX,SHRDNTAX,STOLPTAX,TOLRPTAX
9/2/2015,14446,FW08RNM9067,1,2009,7-Jun-09,XER,BENT,BELGB,Fair,O/E>0.9,YES,51.55,1.035660774,10,1.9,2.86,7.37,4.12,4.68,,,,52.63,83.27,,,8,,,,,1.67,,,2,,,21.05
9/2/2015,14447,FW08RNM9075,1,2009,18-May-09,XER,BENT,BELGB,Poor,O/E<0.8,YES,42.23,0.644098861,10,1.61,0,5.08,2.94,5.71,,,,41.18,84.66,,,6,,,,,1.33,,,0,,,17.65
9/2/2015,14448,FW08RNM9076,1,2009,9-Jun-09,SPL,BENT,BERWW,Poor,O/E<0.8,YES,4.9,0.577133446,0.05,0,0,1.56,1.33,0,31.25,,,,,,,3,1,,0.92,1,,,,0,,,
9/2/2015,14458,FW08MS042,1,2009,30-Sep-09,CPL,BENT,BELGB,Poor,O/E<0.5,YES,14.02,0.295734335,0,0,1.25,1.41,1.25,4.5,,,,20,,,,3,,,0.91,,94.87,,,,2,,30
9/2/2015,14489,FW08OK048,1,2009,15-Jul-09,SPL,BENT,BERWW,Poor,O/E<0.8,YES,8.88,0.615479465,0.15,0,0,2.42,1.33,1.43,28.57,,,,,,,3,1.67,,1.09,2,,,,1,,,
9/2/2015,14499,FW08NM005,1,2009,13-May-09,SPL,BENT,BERWW,Good,O/E>0.9,YES,37.18,1.118034007,4.08,7.25,0,6.88,2.67,1.43,14.71,,,,,,,5,27.33,,2.69,2,,,,1,,,
9/2/2015,14500,FW08NM008,1,2009,20-May-09,XER,BENT,BELGB,Fair,O/E>0.9,YES,44.5,0.95564326,9.59,1.61,4.29,4.11,2.94,4.16,,,,36.36,84.62,,,6,,,,,4.67,,,3,,,22.73
9/2/2015,14501,FW08NM008,2,2009,31-May-09,XER,BENT,BELGB,Fair,O/E<0.5,YES,45.43,0.409561397,10,0,2.86,2.55,2.94,8.91,,,,28.57,95.09,,,6,,,,,0.67,,,2,,,7.14
9/2/2015,14502,FW08NM010,1,2009,21-May-09,WMT,BENT,BERWW,Poor,O/E>0.9,YES,31.07,1.032233236,4.84,1.86,0,2.11,2.35,7.48,,,,36,74.55,,,10,,40,,,,,,1,,,8
9/2/2015,14504,FW08MN013,1,2009,11-Jun-09,UMW,BENT,BELGB,Fair,O/E>0.9,YES,25.98,1.058279175,5.73,3.03,2.86,3.97,0,0,18.75,28.12,,,,,,3,,,2.48,,,,,,5,31.25,
