,O,E,OoverE,Onull,Enull,OoverE.null,BC,BC.null
142881,7,7.923110736,0.883491375,6,7.693617021,0.779867257,0.303308008,0.34307023
143031,7,10.72530174,0.65266229,5,7.693617021,0.649889381,0.441568703,0.49044586
143033,9,8.898619691,1.011392813,8,7.693617021,1.039823009,0.30890205,0.331344902
143034,7,7.196708274,0.97266691,6,7.693617021,0.779867257,0.351647987,0.418893723
143036,5,8.670903239,0.576641194,6,7.693617021,0.779867257,0.438490776,0.372902424
143037,5,9.153812124,0.546220518,4,7.693617021,0.519911504,0.534264894,0.564774381
143260,12,9.541867125,1.2576155,8,7.693617021,1.039823009,0.305543672,0.354663774
143261,4,8.625127046,0.463761285,4,7.693617021,0.519911504,0.556900681,0.5356623
143270,13,10.63014313,1.222937438,11,7.693617021,1.429756637,0.194103009,0.233781015
143271,12,12.48324452,0.961288548,11,7.693617021,1.429756637,0.312872521,0.26200774
143291,6,8.885656441,0.675245553,3,7.693617021,0.389933628,0.458045652,0.586947871
143292,9,9.567242896,0.940709889,6,7.693617021,0.779867257,0.354376202,0.418893723
143294,4,10.39299027,0.384874795,4,7.693617021,0.519911504,0.552537937,0.482532751
143295,11,9.778190837,1.124952477,9,7.693617021,1.169800885,0.294475264,0.306653072
143450,13,12.71305879,1.022570588,11,7.693617021,1.429756637,0.236037413,0.233781015
143520,10,9.244578763,1.081715052,8,7.693617021,1.039823009,0.265287512,0.303687636
143521,14,10.45070815,1.339622139,12,7.693617021,1.559734513,0.230859459,0.218668971
143522,12,12.0842618,0.993027146,7,7.693617021,0.909845133,0.29124113,0.325224443
143530,8,11.31905801,0.706772595,7,7.693617021,0.909845133,0.382354059,0.412105416
143531,6,11.31197627,0.530411296,5,7.693617021,0.649889381,0.499624681,0.517264499
143532,8,9.682081283,0.826268626,7,7.693617021,0.909845133,0.414371893,0.412105416
143533,3,8.890107198,0.337453749,2,7.693617021,0.259955752,0.663581165,0.708516242
143534,13,9.019485506,1.441323897,8,7.693617021,1.039823009,0.287405362,0.331887202
143535,8,7.893594125,1.013480029,8,7.693617021,1.039823009,0.29203283,0.303687636
143536,6,6.050702552,0.991620386,6,7.693617021,0.779867257,0.318728369,0.415164699
143550,15,12.18201707,1.23132318,10,7.693617021,1.299778761,0.257640217,0.255411255
143551,6,10.86812184,0.55207331,4,7.693617021,0.519911504,0.533200045,0.548762737
143640,7,12.63514459,0.554010281,5,7.693617021,0.649889381,0.477395183,0.427422058
143641,6,8.36575641,0.717209503,8,7.693617021,1.039823009,0.370128629,0.322125813
143645,6,6.451083263,0.930076354,8,7.693617021,1.039823009,0.319939027,0.300976139
143730,9,9.075609775,0.991668904,11,7.693617021,1.429756637,0.332069618,0.233781015
143731,13,9.29174916,1.399090718,12,7.693617021,1.559734513,0.261522635,0.218668971
143732,7,8.384372173,0.834886603,6,7.693617021,0.779867257,0.364607555,0.367930392
143803,9,7.253803624,1.240728377,9,7.693617021,1.169800885,0.255150008,0.291868468
143804,6,6.012880315,0.997857879,8,7.693617021,1.039823009,0.315861087,0.326464208
