SITE_ID,YEAR,VISIT_NO,EPT_RICH,UNIQUE_ID,MMI_BENT
NDRO-1024,2013,1,6,NRS_ND-10375,39.80
NDRO-1026,2014,1,8,NRS_ND-10377,58.43
NDRO-1029,2014,1,11,NRS_ND-10380,80.28
NDSS-1103,2013,1,0,NRS_ND-10385,15.65
NDSS-1105,2013,1,0,NRS_ND-10387,16.78
NRS18_ND_10013,2018,1,0,NRS_ND-10387,23.97
NDSS-1106,2013,1,3,NRS_ND-10388,39.10
NRS18_ND_10054,2018,1,3,NRS_ND-10388,30.45
NDSS-1108,2013,1,2,NRS_ND-10390,34.12
NDSS-1111,2013,1,4,NRS_ND-10393,50.78
NDSS-1112,2014,1,2,NRS_ND-10394,31.83
NDSS-1115,2014,1,2,NRS_ND-10397,34.52
NDSS-1131,2014,1,3,NRS_ND-10413,41.28
NDSS-1133,2014,1,1,NRS_ND-10415,33.03
NDRF-0001,2014,1,8,NRS_ND-10416,57.97
NDRF-0002,2014,1,7,NRS_ND-10417,49.18
NDRF-0008,2014,1,7,NRS_ND-10418,43.37
NERF-0003,2014,1,5,NRS_ND-10419,41.78
NRS18_ND_10023,2018,1,1,NRS_ND-10423,21.23
NRS18_ND_10026,2018,1,6,NRS_ND-10426,42.68
NRS18_ND_10027,2019,1,7,NRS_ND-10427,40.50
NRS18_ND_10028,2019,1,7,NRS_ND-10428,50.85
NRS18_ND_10029,2019,1,7,NRS_ND-10429,38.95
NRS18_ND_10030,2018,1,4,NRS_ND-10430,36.22
NRS18_ND_10031,2018,1,8,NRS_ND-10431,57.83
NRS18_ND_10032,2019,1,14,NRS_ND-10432,71.92
NRS18_ND_10033,2019,1,9,NRS_ND-10433,61.13
NRS18_ND_10034,2019,1,7,NRS_ND-10434,52.63
NRS18_ND_10035,2018,1,6,NRS_ND-10435,39.18
NRS18_ND_10036,2019,1,12,NRS_ND-10436,52.13
NRS18_ND_10037,2019,1,3,NRS_ND-10437,17.80
NRS18_ND_10038,2019,1,0,NRS_ND-10438,22.13
NRS18_ND_10039,2019,1,10,NRS_ND-10439,61.17
NRS18_ND_10040,2019,1,6,NRS_ND-10440,40.37
NRS18_ND_10042,2019,1,2,NRS_ND-10442,14.77
NRS18_ND_10043,2019,1,10,NRS_ND-10443,71.13
NRS18_ND_10044,2019,1,5,NRS_ND-10444,32.33
NRS18_ND_10045,2019,1,14,NRS_ND-10445,64.57
NRS18_ND_10075,2018,1,2,NRS_ND-10446,31.05
NRS18_ND_10225,2018,1,5,NRS_ND-10447,27.33
NRS18_ND_10377,2019,1,2,NRS_ND-10450,36.28
NRS18_ND_10378,2019,1,3,NRS_ND-10451,34.60
NRS18_ND_10525,2019,1,4,NRS_ND-10452,29.23
NRS18_ND_10528,2019,1,2,NRS_ND-10455,20.63
NRS18_ND_10676,2019,1,4,NRS_ND-10457,27.65
NRS18_ND_10975,2019,1,5,NRS_ND-10458,53.62
FW08NE005,2009,1,2,NRS_NE-10006,22.05
FW08NE003,2009,1,0,NRS_NE-10007,14.28
FW08NE001,2008,1,4,NRS_NE-10009,37.55
FW08NE001,2009,1,6,NRS_NE-10009,47.99
FW08NE006,2009,1,0,NRS_NE-10014,16.67
FW08NE006,2009,2,1,NRS_NE-10014,33.33
FW08NE010,2008,1,6,NRS_NE-10020,47.60
FW08NE012,2008,1,4,NRS_NE-10022,43.07
NES9-0921,2013,1,10,NRS_NE-10022,79.28
NES9-0921,2013,2,7,NRS_NE-10022,70.27
FW08NE013,2008,1,7,NRS_NE-10023,38.17
NER9-0902,2013,1,10,NRS_NE-10023,48.30
NRS18_NE_10008,2018,1,12,NRS_NE-10023,57.00
FW08NE014,2008,1,12,NRS_NE-10024,79.20
FW08NE015,2009,1,11,NRS_NE-10025,51.26
NER9-0904,2013,1,2,NRS_NE-10025,24.17
NRS18_NE_10009,2018,1,2,NRS_NE-10025,14.82
FW08NE016,2009,1,3,NRS_NE-10026,31.69
NER9-0905,2013,1,12,NRS_NE-10026,62.78
NRS18_NE_10010,2019,1,8,NRS_NE-10026,38.92
FW08NE017,2008,1,0,NRS_NE-10027,16.45
FW08NE019,2009,1,11,NRS_NE-10029,66.79
FW08NE021,2008,1,2,NRS_NE-10031,33.60
NES9-0922,2014,1,13,NRS_NE-10031,69.48
NRS18_NE_10003,2019,1,12,NRS_NE-10031,59.13
FW08NE022,2009,1,5,NRS_NE-10032,29.47
NER9-0908,2014,1,9,NRS_NE-10032,49.77
NRS18_NE_10011,2018,1,6,NRS_NE-10032,33.82
FW08NE024,2008,1,3,NRS_NE-10034,44.85
NER9-0909,2014,1,16,NRS_NE-10034,79.70
NER9-0909,2014,2,8,NRS_NE-10034,64.98
FW08NE025,2009,1,1,NRS_NE-10035,19.91
NES9-0923,2013,1,1,NRS_NE-10035,31.65
NRS18_NE_10004,2018,1,6,NRS_NE-10035,43.88
FW08NE026,2008,1,1,NRS_NE-10036,9.63
FW08NE027,2008,1,5,NRS_NE-10037,33.21
NER9-0911,2014,1,4,NRS_NE-10037,34.32
NRS18_NE_10012,2018,1,0,NRS_NE-10037,11.62
FW08NE028,2009,1,0,NRS_NE-10038,16.69
FW08NE030,2008,1,1,NRS_NE-10040,12.58
NER9-0912,2014,1,9,NRS_NE-10040,57.47
FW08NE031,2009,1,0,NRS_NE-10041,15.03
NER9-0913,2014,1,0,NRS_NE-10041,10.68
FW08NE032,2009,1,3,NRS_NE-10042,17.43
NES9-0925,2013,1,5,NRS_NE-10042,38.50
NRS18_NE_10005,2019,1,8,NRS_NE-10042,35.62
FW08NE035,2009,1,8,NRS_NE-10045,41.43
NES9-0926,2013,1,6,NRS_NE-10045,41.70
NRS18_NE_10006,2018,1,8,NRS_NE-10045,54.65
FW08NE036,2009,1,10,NRS_NE-10046,45.43
FW08NE036,2009,2,15,NRS_NE-10046,63.46
NER9-0914,2014,1,1,NRS_NE-10046,4.05
NER9-0914,2014,2,7,NRS_NE-10046,39.27
NRS18_NE_10059,2019,1,13,NRS_NE-10046,48.05
NRS18_NE_10059,2019,2,13,NRS_NE-10046,61.65
FW08NE037,2008,1,10,NRS_NE-10047,66.44
NER9-0915,2014,1,11,NRS_NE-10047,56.57
FW08NE040,2008,1,8,NRS_NE-10050,63.45
NES9-0927,2013,1,9,NRS_NE-10050,72.05
NRS18_NE_10007,2018,1,11,NRS_NE-10050,68.05
FW08NE041,2009,1,4,NRS_NE-10051,27.27
NER9-0916,2014,1,4,NRS_NE-10051,14.42
FW08NE043,2009,1,9,NRS_NE-10053,42.58
FW08NE044,2009,1,5,NRS_NE-10054,34.15
NES9-0928,2013,1,5,NRS_NE-10054,44.30
FW08NE045,2008,1,9,NRS_NE-10055,40.72
FW08NE046,2009,1,1,NRS_NE-10056,12.41
FW08NE047,2009,1,2,NRS_NE-10057,17.63
FW08NE048,2009,1,0,NRS_NE-10058,16.67
NES9-0930,2013,1,0,NRS_NE-10058,0.00
FW08NE050,2009,1,1,NRS_NE-10060,5.60
NES9-0931,2014,1,0,NRS_NE-10060,9.48
FW08NE052,2009,1,7,NRS_NE-10062,44.87
FW08NE056,2008,1,5,NRS_NE-10063,37.27
NES9-0932,2013,1,6,NRS_NE-10063,52.73
FW08NE057,2009,1,1,NRS_NE-10064,20.17
FW08NE060,2008,1,1,NRS_NE-10066,19.17
FW08NE060,2009,1,1,NRS_NE-10066,10.05
NES9-0934,2013,1,0,NRS_NE-10066,0.00
NES9-0934,2013,2,1,NRS_NE-10066,18.12
NRS18_NE_10058,2019,1,1,NRS_NE-10066,3.68
NRS18_NE_10058,2019,2,1,NRS_NE-10066,17.98
FW08NE066,2009,1,5,NRS_NE-10067,47.47
NES9-0935,2014,1,9,NRS_NE-10067,59.75
FW08NE067,2009,1,6,NRS_NE-10068,41.33
NES9-0936,2014,1,11,NRS_NE-10068,79.98
FW08NE070,2009,1,3,NRS_NE-10070,7.03
FW08NE081,2009,1,2,NRS_NE-10075,32.40
FW08NE092,2009,1,2,NRS_NE-10080,18.60
FW08NE102,2009,1,0,NRS_NE-10082,15.46
FW08NE114,2009,1,0,NRS_NE-10086,9.07
FW08NE166,2009,1,4,NRS_NE-10097,37.36
FW08NE189,2009,1,3,NRS_NE-10101,34.23
FW08RNE9010,2008,1,7,NRS_NE-10102,37.80
FW08RNE9011,2008,1,8,NRS_NE-10103,52.86
FW08RNE9022,2008,1,7,NRS_NE-10104,52.67
FW08RNE9024,2008,1,8,NRS_NE-10105,46.30
FW08RNE9999,2008,1,5,NRS_NE-10106,30.36
NELS-1073,2013,1,5,NRS_NE-10107,40.28
NRS18_NE_10013,2018,1,7,NRS_NE-10107,36.37
NRS18_NE_10013,2018,2,3,NRS_NE-10107,30.00
NELS-1074,2013,1,3,NRS_NE-10108,19.45
NRS18_NE_10018,2018,1,8,NRS_NE-10108,31.50
NELS-1079,2014,1,2,NRS_NE-10113,25.65
NELS-1082,2014,1,1,NRS_NE-10116,9.10
NRS18_NE_10020,2018,1,3,NRS_NE-10116,13.95
NELS-1083,2014,1,12,NRS_NE-10117,75.95
NERM-1001,2014,1,9,NRS_NE-10118,52.60
NRS18_NE_10014,2019,1,10,NRS_NE-10118,50.27
NRS18_NE_10014,2019,2,5,NRS_NE-10118,31.28
NERM-1003,2013,1,7,NRS_NE-10120,29.73
NRS18_NE_10024,2018,1,8,NRS_NE-10120,54.45
NERM-1004,2014,1,2,NRS_NE-10121,0.00
NRS18_NE_10025,2018,1,3,NRS_NE-10121,10.02
NERM-1005,2014,1,9,NRS_NE-10122,49.63
NRS18_NE_10026,2018,1,4,NRS_NE-10122,22.43
NERM-1007,2014,1,18,NRS_NE-10124,88.38
NERM-1008,2014,1,2,NRS_NE-10125,13.50
NERO-1037,2014,1,7,NRS_NE-10126,21.20
NRS18_NE_10021,2018,1,5,NRS_NE-10126,27.93
NERO-1039,2013,1,3,NRS_NE-10128,21.12
NERO-1042,2014,1,6,NRS_NE-10131,16.40
NERO-1043,2014,1,6,NRS_NE-10132,31.72
NRS18_NE_10073,2019,1,4,NRS_NE-10132,17.93
NERO-1045,2014,1,13,NRS_NE-10134,64.55
NERO-1046,2014,1,3,NRS_NE-10135,22.15
NRS18_NE_10075,2019,1,5,NRS_NE-10135,22.33
NESS-1128,2014,1,10,NRS_NE-10136,48.90
NRS18_NE_10015,2018,1,10,NRS_NE-10136,48.48
NESS-1134,2014,1,0,NRS_NE-10142,3.03
NRS18_NE_10016,2019,1,1,NRS_NE-10142,0.98
NESS-1138,2014,1,3,NRS_NE-10146,30.27
NESS-1140,2014,1,8,NRS_NE-10148,70.57
NESS-1143,2014,1,9,NRS_NE-10151,39.18
NRS18_NE_10071,2019,1,6,NRS_NE-10151,32.07
NERF-0001,2014,1,11,NRS_NE-10152,66.93
NERF-0002,2014,1,14,NRS_NE-10153,75.72
NERF-0004,2014,1,6,NRS_NE-10154,54.33
NERF-0005,2013,1,5,NRS_NE-10155,40.35
NRS18_NE_10028,2018,1,2,NRS_NE-10157,25.60
NRS18_NE_10029,2018,1,4,NRS_NE-10158,24.75
NRS18_NE_10030,2019,1,8,NRS_NE-10159,57.10
NRS18_NE_10033,2019,1,2,NRS_NE-10162,14.80
NRS18_NE_10034,2018,1,6,NRS_NE-10163,45.17
NRS18_NE_10035,2018,1,7,NRS_NE-10164,38.03
NRS18_NE_10037,2018,1,7,NRS_NE-10166,28.40
NRS18_NE_10038,2018,1,3,NRS_NE-10167,21.70
NRS18_NE_10041,2019,1,3,NRS_NE-10170,14.77
NRS18_NE_10042,2018,1,6,NRS_NE-10171,30.20
NRS18_NE_10043,2019,1,7,NRS_NE-10172,43.17
NRS18_NE_10044,2018,1,7,NRS_NE-10173,19.00
NRS18_NE_10045,2019,1,5,NRS_NE-10174,27.52
NRS18_NE_10046,2018,1,15,NRS_NE-10175,78.45
NRS18_NE_10048,2019,1,13,NRS_NE-10177,73.73
NRS18_NE_10049,2018,1,15,NRS_NE-10178,77.32
NRS18_NE_10050,2019,1,14,NRS_NE-10179,71.98
NRS18_NE_10052,2019,1,7,NRS_NE-10181,31.68
NRS18_NE_10053,2019,1,3,NRS_NE-10182,16.67
NRS18_NE_10054,2019,1,15,NRS_NE-10183,64.98
NRS18_NE_10056,2019,1,6,NRS_NE-10185,31.02
NRS18_NE_10057,2018,1,9,NRS_NE-10186,24.63
NRS18_NE_10079,2019,1,1,NRS_NE-10188,25.02
NRS18_NE_10544,2019,1,4,NRS_NE-10208,42.97
NRS18_NE_10678,2019,1,8,NRS_NE-10209,45.92
NRS18_NE_10683,2019,1,1,NRS_NE-10214,18.77
NRS18_NE_10983,2019,1,5,NRS_NE-10220,44.28
NRS18_NE_11133,2019,1,7,NRS_NE-10226,37.02
NRS18_NE_11149,2019,1,3,NRS_NE-10242,29.90
NRS18_NE_11433,2019,1,3,NRS_NE-10248,34.42
NRS18_NE_11578,2019,1,6,NRS_NE-10249,24.00
NRS18_NE_11590,2019,1,3,NRS_NE-10261,26.35
NRS18_NE_RF001,2019,1,7,NRS_NE-10262,48.43
NRS18_NE_RF002,2019,1,4,NRS_NE-10263,51.00
FW08NH002,2009,1,20,NRS_NH-10061,68.87
FW08NH002,2009,2,24,NRS_NH-10061,78.22
FW08NH003,2009,1,20,NRS_NH-10064,64.07
FW08NH001,2009,1,15,NRS_NH-10065,63.81
FW08NH001,2009,2,14,NRS_NH-10065,52.72
FW08NH005,2008,1,8,NRS_NH-10068,30.06
FW08NH005,2008,2,5,NRS_NH-10068,12.37
NHR9-0901,2014,1,,NRS_NH-10068,
NHR9-0901,2014,2,6,NRS_NH-10068,19.80
NRS18_NH_10002,2018,1,9,NRS_NH-10068,16.88
NRS18_NH_10002,2018,2,3,NRS_NH-10068,5.28
FW08NH007,2008,1,0,NRS_NH-10070,3.57
FW08NH007,2008,2,19,NRS_NH-10070,59.72
NHR9-0902,2013,1,9,NRS_NH-10070,34.53
NHR9-0902,2013,2,11,NRS_NH-10070,33.05
FW08NH009,2008,1,5,NRS_NH-10072,8.76
NHR9-0903,2013,1,5,NRS_NH-10072,7.22
NRS18_NH_10004,2018,1,1,NRS_NH-10072,5.90
FW08NH010,2008,1,2,NRS_NH-10073,8.15
NHR9-0904,2013,1,7,NRS_NH-10073,20.32
NRS18_NH_10005,2018,1,1,NRS_NH-10073,5.95
FW08NH011,2008,1,8,NRS_NH-10074,17.36
NHR9-0905,2013,1,8,NRS_NH-10074,22.72
FW08NH014,2008,1,4,NRS_NH-10077,14.68
FW08NH016,2008,1,2,NRS_NH-10079,2.73
FW08NH017,2008,1,23,NRS_NH-10080,76.20
FW08NH018,2008,1,7,NRS_NH-10081,28.62
FW08NH020,2008,1,15,NRS_NH-10083,36.88
FW08NH057,2009,1,9,NRS_NH-10091,24.98
NHS9-0911,2014,1,3,NRS_NH-10091,17.90
NHS9-0911,2014,2,10,NRS_NH-10091,33.62
NRS18_NH_10001,2019,1,13,NRS_NH-10091,44.70
NRS18_NH_10001,2019,2,12,NRS_NH-10091,38.90
FW08NH099,2009,1,9,NRS_NH-10099,42.03
NHS9-0912,2013,1,7,NRS_NH-10099,22.23
NHS9-0912,2013,2,7,NRS_NH-10099,14.45
FW08NH104,2009,1,22,NRS_NH-10100,72.07
NHS9-0913,2014,1,19,NRS_NH-10100,67.90
NRS18_NH_10003,2019,1,23,NRS_NH-10100,65.88
NHLS-1044,2013,1,27,NRS_NH-10102,72.53
NRS18_NH_10006,2019,1,25,NRS_NH-10102,67.85
NRS18_NH_10006,2019,2,20,NRS_NH-10102,56.85
NHLS-1045,2013,1,23,NRS_NH-10103,71.95
NRS18_NH_10009,2019,1,19,NRS_NH-10103,60.02
NHRM-1001,2014,1,13,NRS_NH-10104,42.87
NHRM-1002,2014,1,,NRS_NH-10105,
NRS18_NH_10011,2018,1,13,NRS_NH-10105,28.90
NHRM-1003,2013,1,2,NRS_NH-10106,14.43
NHRM-1004,2014,1,17,NRS_NH-10107,59.17
NHRM-1005,2014,1,,NRS_NH-10108,
NHRO-1031,2013,1,12,NRS_NH-10109,36.67
NRS18_NH_10010,2018,1,5,NRS_NH-10109,21.62
NHRO-1033,2013,1,5,NRS_NH-10111,2.88
NHSS-1067,2013,1,18,NRS_NH-10114,58.52
NRS18_NH_10008,2019,1,14,NRS_NH-10114,46.68
NHSS-1068,2013,1,16,NRS_NH-10115,50.10
NHSS-1070,2013,1,8,NRS_NH-10117,20.25
NHRF-0001,2014,1,17,NRS_NH-10118,58.53
NHRF-0002,2014,1,18,NRS_NH-10119,66.50
NHRF-0003,2013,1,24,NRS_NH-10120,76.02
NHRF-0004,2014,1,20,NRS_NH-10121,68.45
NRS18_NH_10007,2018,1,14,NRS_NH-10122,42.13
NRS18_NH_10007,2018,2,12,NRS_NH-10122,35.17
NRS18_NH_10012,2019,1,16,NRS_NH-10123,55.47
NRS18_NH_10014,2019,1,9,NRS_NH-10125,33.68
NRS18_NH_10016,2019,1,17,NRS_NH-10127,64.33
NRS18_NH_10017,2019,1,17,NRS_NH-10128,46.48
NRS18_NH_10018,2019,1,14,NRS_NH-10129,57.62
NRS18_NH_10019,2018,1,5,NRS_NH-10130,12.70
NRS18_NH_10020,2018,1,1,NRS_NH-10131,2.68
NRS18_NH_10031,2019,1,14,NRS_NH-10133,41.15
NRS18_NH_10035,2019,1,3,NRS_NH-10137,4.38
NRS18_NH_RF001,2019,1,9,NRS_NH-10138,34.47
NRS18_NH_RF002,2019,1,15,NRS_NH-10139,50.02
FW08NJ001,2009,1,2,NRS_NJ-10003,37.82
FW08NJ001,2009,2,3,NRS_NJ-10003,35.19
FW08NJ002,2008,1,3,NRS_NJ-10008,19.22
FW08NJ002,2008,2,3,NRS_NJ-10008,8.06
FW08NJ003,2008,1,6,NRS_NJ-10010,21.10
NJS9-0908,2013,1,5,NRS_NJ-10010,13.15
NJS9-0908,2013,2,5,NRS_NJ-10010,16.63
NRS18_NJ_10001,2018,1,6,NRS_NJ-10010,18.77
NRS18_NJ_10001,2018,2,6,NRS_NJ-10010,24.42
FW08NJ004,2009,1,14,NRS_NJ-10011,60.19
FW08NJ004,2009,2,10,NRS_NJ-10011,42.65
NJR9-0901,2013,1,16,NRS_NJ-10011,49.85
NJR9-0901,2013,2,17,NRS_NJ-10011,44.65
NRS18_NJ_10002,2018,1,18,NRS_NJ-10011,71.45
NRS18_NJ_10002,2018,2,5,NRS_NJ-10011,11.77
FW08NJ005,2009,1,3,NRS_NJ-10012,21.16
FW08NJ005,2009,2,3,NRS_NJ-10012,22.11
NJR9-0902,2013,1,0,NRS_NJ-10012,7.40
NJR9-0902,2013,2,2,NRS_NJ-10012,9.65
FW08NJ007,2009,1,1,NRS_NJ-10014,5.76
FW08NJ008,2008,1,7,NRS_NJ-10015,33.67
FW08NJ009,2008,1,12,NRS_NJ-10016,42.23
FW08NJ011,2009,1,2,NRS_NJ-10018,11.79
FW08NJ013,2009,1,16,NRS_NJ-10020,48.11
FW08NJ015,2008,1,8,NRS_NJ-10022,16.06
NJS9-0909,2013,1,4,NRS_NJ-10022,10.92
NJS9-0909,2013,2,9,NRS_NJ-10022,26.20
FW08NJ016,2009,1,13,NRS_NJ-10023,49.06
FW08NJ019,2008,1,2,NRS_NJ-10025,11.23
FW08NJ021,2008,1,0,NRS_NJ-10026,8.74
FW08NJ035,2009,1,1,NRS_NJ-10031,0.00
FW08RNJ9001,2009,1,1,NRS_NJ-10032,23.03
FW08RNJ9002,2009,1,9,NRS_NJ-10033,59.70
NJLS-1041,2013,1,1,NRS_NJ-10034,10.32
NRS18_NJ_10003,2019,1,0,NRS_NJ-10034,13.80
NRS18_NJ_10003,2019,2,1,NRS_NJ-10034,21.58
NJLS-1042,2013,1,1,NRS_NJ-10035,18.92
NJLS-1043,2013,1,3,NRS_NJ-10036,11.75
NJRM-1001,2013,1,2,NRS_NJ-10037,6.60
NJRM-1002,2014,1,20,NRS_NJ-10038,56.27
NRS18_NJ_10008,2019,1,9,NRS_NJ-10038,34.98
NJRM-1003,2014,1,12,NRS_NJ-10039,49.02
NRS18_NJ_10032,2019,1,6,NRS_NJ-10039,21.97
NRS18_NJ_10032,2019,2,7,NRS_NJ-10039,36.42
NJRO-1019,2013,1,0,NRS_NJ-10040,0.00
NRS18_NJ_10007,2018,1,0,NRS_NJ-10040,0.00
NJRO-1020,2013,1,0,NRS_NJ-10041,8.28
NJSS-1077,2013,1,22,NRS_NJ-10045,77.53
NRS18_NJ_10005,2018,1,17,NRS_NJ-10045,57.35
NJSS-1078,2013,1,8,NRS_NJ-10046,32.47
NJSS-1081,2013,1,10,NRS_NJ-10049,27.97
NJSS-1082,2013,1,5,NRS_NJ-10050,14.67
NJSS-1085,2013,1,15,NRS_NJ-10053,61.40
NJSS-1086,2014,1,7,NRS_NJ-10054,15.93
NJSS-1087,2013,1,3,NRS_NJ-10055,40.75
NJSS-1088,2014,1,9,NRS_NJ-10056,38.47
NRS18_NJ_10006,2019,1,0,NRS_NJ-10057,10.65
NRS18_NJ_10009,2019,1,8,NRS_NJ-10058,47.72
NRS18_NJ_10013,2018,1,1,NRS_NJ-10062,29.23
NRS18_NJ_10016,2019,1,1,NRS_NJ-10065,10.27
NRS18_NJ_10019,2018,1,7,NRS_NJ-10068,28.42
NRS18_NJ_10020,2019,1,11,NRS_NJ-10069,34.67
NRS18_NJ_10034,2019,1,0,NRS_NJ-10071,23.42
NRS18_NJ_10183,2018,1,7,NRS_NJ-10072,36.95
NRS18_NJ_10334,2018,1,1,NRS_NJ-10074,17.17
NRS18_NJ_10633,2019,1,16,NRS_NJ-10075,62.93
NRS18_NJ_10783,2019,1,15,NRS_NJ-10076,54.43
NRS18_NJ_11083,2018,1,2,NRS_NJ-10077,2.15
NRS18_NJ_11233,2019,1,0,NRS_NJ-10078,4.15
FW08NM003,2008,1,14,NRS_NM-10029,36.94
FW08NM001,2008,1,12,NRS_NM-10037,48.56
FW08NM001,2008,2,12,NRS_NM-10037,47.08
FW08NM002,2008,1,7,NRS_NM-10046,27.96
FW08NM002,2008,2,4,NRS_NM-10046,10.04
FW08NM005,2009,1,5,NRS_NM-10054,37.19
NMR9-0901,2014,1,2,NRS_NM-10054,36.80
FW08NM008,2009,1,6,NRS_NM-10057,44.52
FW08NM008,2009,2,6,NRS_NM-10057,45.44
NMR9-0902,2014,1,4,NRS_NM-10057,39.70
NMR9-0902,2014,2,7,NRS_NM-10057,39.48
NRS18_NM_10002,2019,1,7,NRS_NM-10057,44.03
FW08NM010,2009,1,10,NRS_NM-10059,31.08
NMR9-0903,2014,1,8,NRS_NM-10059,27.68
FW08NM012,2008,1,14,NRS_NM-10061,53.62
NMS9-0920,2014,1,15,NRS_NM-10061,53.58
NMS9-0920,2014,2,17,NRS_NM-10061,57.60
NRS18_NM_10001,2019,1,16,NRS_NM-10061,53.88
NRS18_NM_10001,2019,2,18,NRS_NM-10061,60.67
FW08NM013,2008,1,2,NRS_NM-10062,26.50
FW08NM018,2008,1,0,NRS_NM-10067,0.00
FW08NM019,2009,1,14,NRS_NM-10068,31.37
NMR9-0904,2014,1,13,NRS_NM-10068,43.03
NRS18_NM_10035,2019,1,9,NRS_NM-10068,18.92
FW08NM022,2009,1,7,NRS_NM-10071,51.66
FW08NM022,2009,2,6,NRS_NM-10071,44.24
NMR9-0905,2014,1,5,NRS_NM-10071,37.70
NMR9-0905,2014,2,9,NRS_NM-10071,38.63
FW08NM023,2009,1,3,NRS_NM-10072,20.59
NMR9-0906,2014,1,1,NRS_NM-10072,5.57
FW08NM024,2009,1,11,NRS_NM-10073,59.15
FW08NM025,2008,1,11,NRS_NM-10074,61.98
FW08NM026,2009,1,8,NRS_NM-10075,54.36
FW08NM027,2009,1,1,NRS_NM-10076,26.63
FW08NM031,2009,1,11,NRS_NM-10080,30.92
FW08NM034,2009,1,6,NRS_NM-10083,47.43
FW08NM035,2009,1,17,NRS_NM-10084,50.00
FW08NM038,2009,1,5,NRS_NM-10087,37.70
FW08NM039,2009,1,3,NRS_NM-10088,22.45
FW08NM042,2009,1,5,NRS_NM-10091,49.10
FW08NM043,2009,1,12,NRS_NM-10092,28.93
FW08NM045,2009,1,10,NRS_NM-10094,31.53
FW08NM047,2009,1,2,NRS_NM-10096,6.77
FW08NM048,2009,1,15,NRS_NM-10097,55.14
FW08NM061,2008,1,12,NRS_NM-10099,35.34
NMS9-0924,2014,1,14,NRS_NM-10099,39.18
NRS18_NM_10003,2019,1,12,NRS_NM-10099,25.23
FW08NM064,2008,1,12,NRS_NM-10100,39.45
NMS9-0925,2014,1,12,NRS_NM-10100,32.85
FW08NM069,2008,1,6,NRS_NM-10101,31.68
NMS9-0926,2014,1,1,NRS_NM-10101,24.98
NMS9-0926,2014,2,1,NRS_NM-10101,28.67
FW08NM070,2008,1,0,NRS_NM-10102,0.00
FW08NM105,2009,1,9,NRS_NM-10108,51.92
FW08RNM9001,2008,1,5,NRS_NM-10109,38.34
FW08RNM9002,2008,1,7,NRS_NM-10110,59.47
FW08RNM9004,2008,1,4,NRS_NM-10111,29.45
FW08RNM9006,2009,1,14,NRS_NM-10112,68.95
FW08RNM9030,2008,1,10,NRS_NM-10113,61.74
FW08RNM9049,2008,1,5,NRS_NM-10114,22.99
FW08RNM9060,2008,1,16,NRS_NM-10115,70.86
FW08RNM9061,2009,1,7,NRS_NM-10116,52.63
FW08RNM9067,2009,1,8,NRS_NM-10117,51.52
FW08RNM9075,2009,1,6,NRS_NM-10118,42.22
FW08RNM9076,2009,1,3,NRS_NM-10119,4.91
FW08RNM9081,2008,1,7,NRS_NM-10120,51.52
FW08RNM9082,2009,1,7,NRS_NM-10121,45.32
NMLS-1044,2014,1,14,NRS_NM-10123,50.43
NRS18_NM_10007,2019,1,11,NRS_NM-10123,31.08
NRS18_NM_10007,2019,2,9,NRS_NM-10123,21.05
NMLS-1045,2014,1,1,NRS_NM-10124,23.82
NMLS-1047,2014,1,1,NRS_NM-10126,17.80
NMRM-1001,2014,1,10,NRS_NM-10127,49.60
NRS18_NM_10008,2019,1,6,NRS_NM-10127,42.63
NMRM-1002,2014,1,10,NRS_NM-10128,64.18
NMRM-1005,2014,1,7,NRS_NM-10131,39.00
NRS18_NM_10042,2019,1,7,NRS_NM-10131,45.88
NMRM-1007,2014,1,16,NRS_NM-10133,48.07
NMRO-1025,2014,1,1,NRS_NM-10134,0.42
NMRO-1028,2014,1,3,NRS_NM-10137,28.62
NMRO-1030,2014,1,8,NRS_NM-10139,19.55
NMSS-1076,2014,1,1,NRS_NM-10140,26.77
NMSS-1081,2014,1,8,NRS_NM-10145,33.68
NMSS-1085,2014,1,11,NRS_NM-10149,35.23
NRS18_NM_10038,2019,1,6,NRS_NM-10149,14.37
NMRF-0001,2014,1,4,NRS_NM-10150,25.15
NMRF-0002,2014,1,2,NRS_NM-10151,24.62
NMRF-0009,2014,1,2,NRS_NM-10152,26.07
NRS18_NM_10013,2019,1,10,NRS_NM-10153,62.72
NRS18_NM_10014,2019,1,2,NRS_NM-10154,9.17
NRS18_NM_10019,2019,1,13,NRS_NM-10159,46.48
NRS18_NM_10031,2019,1,8,NRS_NM-10171,35.30
NRS18_NM_10381,2019,1,0,NRS_NM-10211,15.43
NRS18_NM_10397,2019,1,2,NRS_NM-10227,24.97
NRS18_NM_10507,2019,1,2,NRS_NM-10241,30.53
NRS18_NM_10511,2019,1,7,NRS_NM-10245,49.13
NRS18_NM_10645,2019,1,14,NRS_NM-10247,40.95
NRS18_NM_10805,2019,1,1,NRS_NM-10259,11.78
NRS18_NM_10809,2019,1,6,NRS_NM-10263,35.00
NRS18_NM_10947,2019,1,3,NRS_NM-10267,21.95
NRS18_NM_10951,2019,1,1,NRS_NM-10271,23.33
NRS18_NM_10968,2019,1,2,NRS_NM-10288,38.30
NRS18_NM_11002,2019,1,2,NRS_NM-10322,29.45
