UID,DATE_COL,SITE_ID,VISIT_NO,OE_SCORE
11296,10/2/2008,FW08MN049,1,0.946319897
11297,9/28/2008,FW08MN040,1,1.342142597
11299,9/13/2008,FW08AR009,1,0.968250878
11300,8/27/2008,FW08AR035,1,0.635190044
11301,9/27/2008,FW08AR007,1,1.032288071
11302,9/6/2008,FW08AR004,1,0.674871972
11303,9/20/2008,FW08AR008,1,0.706750483
11307,9/9/2008,FW08MN024,1,0.42126964
11309,9/21/2008,FW08MN031,1,0.944678153
11310,9/23/2008,FW08MN035,1,1.017108124
11311,9/11/2008,FW08MN036,1,0.627167174
11314,8/4/2008,FW08DE005,1,0.505200458
11315,10/7/2008,FW08DE005,2,0.60624055
11316,8/5/2008,FW08DE010,1,0.872202096
11317,9/15/2008,FW08DE010,2,0.872202096
11318,8/6/2008,FW08DE014,1,1.030930214
11319,8/2/2008,FW08FL002,1,0.551080184
11320,8/9/2008,FW08FL013,1,0.333706658
11321,8/3/2008,FW08FL016,1,0.455014363
11322,8/10/2008,FW08FL017,1,1.122520539
11323,8/11/2008,FW08FL018,1,0.294649087
11324,7/14/2008,FW08FL021,1,0.48775999
11325,8/9/2008,FW08FL029,1,1.123364748
11326,7/1/2008,FW08GA001,1,0.738307826
11327,7/6/2008,FW08GA003,1,1.141296655
11328,7/3/2008,FW08GA015,1,0.623288135
11329,7/9/2008,FW08GA018,1,1.511069714
11330,7/4/2008,FW08GA023,1,0.224843979
11335,9/22/2008,FW08MN019,1,0.844170762
11342,9/22/2008,FW08IA052,1,0.412437278
11455,9/29/2008,FW08LA108,1,0.342806232
11457,9/8/2008,FW08LA088,1,0
11458,9/9/2008,FW08LA096,1,0.228438162
11460,9/16/2008,FW08LA104,1,0
11463,10/1/2008,FW08MS006,1,0.229039707
11464,9/10/2008,FW08MS014,1,0.114219081
11465,8/18/2008,FW08LA044,1,0.114252941
11466,8/19/2008,FW08LA028,1,0
11469,7/22/2008,FW08MD001,1,1.12735335
11470,8/4/2008,FW08MD001,2,1.240088685
11471,7/10/2008,FW08MD006,1,0.818616698
11472,7/21/2008,FW08MD002,1,0.799657881
11474,6/25/2008,FW08MD004,1,0.377639023
11476,7/1/2008,FW08MD007,1,1.034210621
11477,7/17/2008,FW08MD008,1,0.892448866
11479,7/16/2008,FW08MD012,1,0.778569454
11480,7/15/2008,FW08MD009,1,1.161099298
11481,7/14/2008,FW08MD020,1,0.698225132
11482,7/24/2008,FW08MD018,1,1.120884306
11485,7/8/2008,FW08MD024,1,1.16785418
11486,7/30/2008,FW08MD006,2,0.920943785
11491,6/26/2008,FW08MD003,1,0.339799536
11492,7/9/2008,FW08MD005,1,0.844855753
11501,7/23/2008,FW08MD014,1,0.713290013
11502,7/16/2008,FW08MT001,1,1.126637838
11503,8/19/2008,FW08MT001,2,0.885215444
11504,7/29/2008,FW08MT002,1,1.045495861
11505,9/23/2008,FW08MT002,2,1.069653598
11507,9/9/2008,FW08MT005,1,1.120254815
11508,9/29/2008,FW08MT007,1,0.759827848
11509,7/23/2008,FW08MT008,1,0.97487075
11511,7/1/2008,FW08MT014,1,1.168198109
11512,9/30/2008,FW08MT020,1,0.796425359
11513,7/24/2008,FW08MT023,1,0.914752086
11515,7/8/2008,FW08MT029,1,0.886154816
11516,7/21/2008,FW08MT030,1,1.063147528
11523,7/10/2008,FW08MT045,1,1.078879222
11526,8/26/2008,FW08MT051,1,1.062765756
11527,9/10/2008,FW08MT054,1,0.973411026
11528,7/14/2008,FW08MT055,1,1.027326478
11529,7/30/2008,FW08MT060,1,0.907970164
11530,9/22/2008,FW08MT062,1,1.062910362
11531,8/20/2008,FW08MT071,1,1.224306598
11533,9/25/2008,FW08MT013,1,0.814991448
11534,8/6/2008,FW08MT024,1,0.301121613
11537,8/25/2008,FW08MT035,1,0.518294156
11540,10/1/2008,FW08MT038,1,0.909673784
11541,7/15/2008,FW08MT039,1,0.574994657
11542,8/5/2008,FW08MT042,1,0.359756321
11543,9/16/2008,FW08MT043,1,0.872915738
11544,7/7/2008,FW08MT048,1,0.901257458
11546,9/24/2008,FW08MT050,1,0.526004627
11563,7/17/2008,FW08MT004,1,0.827139008
11564,7/19/2008,FW08NJ002,1,0.467017257
11567,7/16/2008,FW08NJ003,1,0.559721984
11569,8/13/2008,FW08NJ008,1,0.410958435
11570,7/8/2008,FW08NJ009,1,0.640906669
11573,7/18/2008,FW08NJ015,1,0.253154953
11575,7/25/2008,FW08NJ019,1,0.394995698
11576,7/27/2008,FW08NJ021,1,0.334998289
11577,10/11/2008,FW08NJ002,2,0.415126451
11582,9/15/2008,FW08MT031,1,1.142218009
11587,8/19/2008,FW08NH005,1,0.936398015
11588,9/25/2008,FW08NH005,2,0.864367398
11589,9/4/2008,FW08NH007,1,0.432929706
11590,9/24/2008,FW08NH007,2,1.298789118
11593,7/16/2008,FW08NH011,1,0.927913341
11594,7/10/2008,FW08NH014,1,0.423431238
11595,9/3/2008,FW08NH016,1,0.612776479
11597,8/7/2008,FW08NH018,1,0.405394403
11598,8/21/2008,FW08NH020,1,1.29284844
11599,8/20/2008,FW08NH009,1,0.746005871
11600,7/8/2008,FW08NH010,1,0.385988892
11601,7/14/2008,FW08NH017,1,0.846205431
11651,9/10/2008,FW08AR010,1,0.227661868
11652,8/13/2008,FW08AR067,1,0.2159011
11653,8/25/2008,FW08AR078,1,0.113982265
11654,7/30/2008,FW08AR087,1,0.324004147
11661,7/28/2008,FW08AR205,1,0.457074976
11662,7/13/2008,FW08KY097,1,0.340403433
11663,8/28/2008,FW08AR274,1,0.341852464
11664,9/30/2008,FW08MO086,1,0.227343428
11665,7/16/2008,FW08MO102,1,0.567397918
11666,10/2/2008,FW08MO150,1,0.227184888
11668,8/12/2008,FW08MS019,1,0.107750826
11669,8/10/2008,FW08MS083,1,0
