UID,O,E,OoverE,Onull,Enull,OoverE.null,BC,BC.null
2012573,10,10.23968318,0.976592716,8,7.693617021,1.039823009,0.333308226,0.305314534
2012574,8,7.120887749,1.123455429,8,7.693617021,1.039823009,0.268737715,0.290130152
2012575,5,7.88527016,0.634093683,5,7.693617021,0.649889381,0.477023779,0.465638619
2012576,6,7.729847209,0.776211979,6,9.059375,0.662297344,0.329422666,0.396140278
2012577,4,9.64388481,0.414770612,3,7.693617021,0.389933628,0.558027632,0.548746518
2012578,13,16.36065664,0.794589134,10,12.1559322,0.822643614,0.390045919,0.372399021
2012579,6,8.001815046,0.749829878,6,9.059375,0.662297344,0.324770887,0.414401328
2012580,3,7.958648839,0.376948407,3,7.693617021,0.389933628,0.637580679,0.64902507
2012581,16,20.28372814,0.788809626,6,12.1559322,0.493586168,0.409183667,0.531740105
2012582,3,10.13458859,0.296015963,3,9.059375,0.331148672,0.680432254,0.659497279
2012584,9,9.802490632,0.918134007,6,7.693617021,0.779867257,0.36135596,0.391547545
2012585,10,8.027289232,1.245750553,9,7.693617021,1.169800885,0.253055689,0.270456283
2012586,4,9.969244606,0.401234011,4,9.059375,0.441531563,0.603684727,0.580043073
2012587,14,13.59821138,1.029547167,10,9.059375,1.103828907,0.232076322,0.237907854
2012588,9,14.32552654,0.628249159,8,12.1559322,0.658114891,0.463725193,0.439623276
2012589,2,12.96897714,0.154214167,2,12.1559322,0.164528723,0.776609745,0.773467433
2012590,14,19.73756998,0.709307175,8,12.1559322,0.658114891,0.429646214,0.440295997
2012591,6,6.561059268,0.914486481,6,7.693617021,0.779867257,0.40536365,0.457426973
2012592,1,9.657022947,0.103551582,1,7.693617021,0.129977876,0.835942474,0.805188448
2012593,10,17.02700197,0.587302452,10,12.1559322,0.822643614,0.482746835,0.359853121
2012594,7,7.595652705,0.921579787,8,7.693617021,1.039823009,0.350162641,0.336225597
2012595,10,10.30048497,0.970828076,11,12.1559322,0.904907975,0.348395449,0.324257063
2012596,4,15.6930048,0.254890638,4,12.1559322,0.329057446,0.727356644,0.680654637
2012597,13,17.11736526,0.759462675,8,9.059375,0.883063125,0.43680601,0.349331379
2012598,8,7.691443341,1.040116873,7,7.693617021,0.909845133,0.298599394,0.328699681
2012599,13,8.175258851,1.590163717,12,7.693617021,1.559734513,0.227848036,0.218668971
2012600,3,9.600523118,0.312482972,3,9.059375,0.331148672,0.667853741,0.659497279
2012601,6,8.984425331,0.667822346,5,7.693617021,0.649889381,0.444704446,0.454911163
2012602,4,11.96889572,0.334199587,4,12.1559322,0.329057446,0.569148695,0.605119597
2012603,17,16.01514988,1.061494905,14,12.1559322,1.15170106,0.293324555,0.258424054
2012604,6,8.880996694,0.675599846,5,9.059375,0.551914453,0.430683325,0.515892421
2012605,8,8.336160437,0.959674428,9,9.059375,0.993446016,0.249994442,0.268731614
2012606,8,8.409357242,0.951321221,7,7.693617021,0.909845133,0.355067055,0.362872864
2012607,7,13.51115562,0.518090399,7,12.1559322,0.57585053,0.512876386,0.480092019
2012608,4,15.27934179,0.261791382,6,12.1559322,0.493586168,0.669167911,0.51493652
2012609,11,12.86541706,0.855005318,11,12.1559322,0.904907975,0.305351197,0.344751866
2012610,5,9.103644171,0.549230605,5,7.693617021,0.649889381,0.52656283,0.456922561
2012611,7,9.776165973,0.716027123,7,7.693617021,0.909845133,0.41027177,0.370402549
2012612,3,10.96264699,0.273656536,3,7.693617021,0.389933628,0.67278887,0.59172304
2012613,8,10.23968318,0.781274172,7,7.693617021,0.909845133,0.378396135,0.31074428
2012624,10,9.922591166,1.007801272,6,7.693617021,0.779867257,0.324882766,0.386575513
2012625,5,10.23373796,0.48858003,4,7.693617021,0.519911504,0.497828842,0.459970888
2012626,6,7.357554088,0.815488398,8,7.693617021,1.039823009,0.383418273,0.347071584
2012627,4,7.906460108,0.505915409,3,9.059375,0.331148672,0.514679941,0.659497279
2012628,4,9.824235691,0.407156356,1,9.059375,0.110382891,0.603306106,0.820130475
2012631,12,10.75740735,1.115510421,10,9.059375,1.103828907,0.229968397,0.267092966
2012633,7,7.854920336,0.89116117,6,7.693617021,0.779867257,0.374912916,0.405842138
2012634,12,10.3388813,1.160667161,8,7.693617021,1.039823009,0.290676307,0.324295011
2012635,4,8.504708417,0.470327706,3,9.059375,0.331148672,0.53861086,0.659497279
2012636,1,9.655279526,0.10357028,1,7.693617021,0.129977876,0.846691169,0.822809594
2012637,1,7.229737577,0.138317607,1,7.693617021,0.129977876,0.834252297,0.838472834
2012638,7,13.15658181,0.53205309,6,9.059375,0.662297344,0.484603931,0.397800374
2012639,21,19.84195773,1.058363307,12,9.059375,1.324594688,0.296950557,0.211900876
2012640,8,8.523565288,0.938574379,7,7.693617021,0.909845133,0.349276224,0.358239212
2012641,6,9.620990945,0.623636384,7,7.693617021,0.909845133,0.460993642,0.353026354
2012642,9,10.13828879,0.887723775,4,9.059375,0.441531563,0.338676013,0.542234984
2012643,4,11.85213843,0.337491839,4,9.059375,0.441531563,0.610515584,0.569035654
2012645,10,11.13774946,0.897847454,7,7.693617021,0.909845133,0.351353673,0.361135245
2012646,5,8.270118036,0.604586292,5,7.693617021,0.649889381,0.523639226,0.48709353
2012647,8,12.63559682,0.633131946,8,12.1559322,0.658114891,0.409084578,0.42415069
2012648,5,10.5833246,0.472441335,5,7.693617021,0.649889381,0.522670631,0.434126718
2012649,8,7.675548249,1.042270824,9,7.693617021,1.169800885,0.351426492,0.297986235
2012650,15,10.48405994,1.430743442,12,7.693617021,1.559734513,0.222377371,0.218668971
2012651,6,9.878379942,0.607387045,6,7.693617021,0.779867257,0.489773929,0.451833437
2012652,10,8.893060067,1.124472333,5,9.059375,0.551914453,0.248768546,0.466548122
2012653,9,17.62088381,0.510757581,6,12.1559322,0.493586168,0.535660207,0.513069455
2012654,7,7.401719568,0.945726184,6,7.693617021,0.779867257,0.357573973,0.397762585
2012655,21,18.52696364,1.13348309,9,9.059375,0.993446016,0.26461762,0.272019381
2012656,8,10.33722131,0.773902363,6,12.1559322,0.493586168,0.367264484,0.517176998
2012657,3,7.903974994,0.379555857,3,9.059375,0.331148672,0.604284461,0.659497279
2012658,5,7.748848043,0.645257201,4,9.059375,0.441531563,0.452339249,0.580043073
2012659,5,12.07969668,0.413917678,5,12.1559322,0.411321807,0.527367839,0.560561154
2012660,5,12.36803853,0.404267822,5,12.1559322,0.411321807,0.531255318,0.553447935
2012661,6,15.14238846,0.396238679,6,12.1559322,0.493586168,0.564462959,0.505601195
2012662,6,9.026915617,0.664678862,4,9.059375,0.441531563,0.425053958,0.569035654
2012663,11,14.21968455,0.773575529,8,9.059375,0.883063125,0.333362164,0.338340355
2012664,16,19.07532832,0.838779796,10,12.1559322,0.822643614,0.378430358,0.35250918
2012665,11,7.777929795,1.414258072,10,7.693617021,1.299778761,0.249581166,0.275613276
2012666,7,16.92760514,0.413525714,7,12.1559322,0.57585053,0.55586804,0.483631216
2012668,9,10.32037376,0.87206144,6,7.693617021,0.779867257,0.358530383,0.37849596
2012669,2,13.42765256,0.148946362,2,12.1559322,0.164528723,0.806112174,0.794061303
2012672,10,8.40667715,1.189530634,6,7.693617021,0.779867257,0.318382277,0.405842138
2012673,9,9.102088395,0.988784069,6,9.059375,0.662297344,0.275228273,0.431002283
2012674,9,8.348859096,1.077991603,8,7.693617021,1.039823009,0.295532959,0.310195228
2012675,4,9.009645232,0.443968647,3,9.059375,0.331148672,0.592494685,0.659497279
2012676,10,9.254604207,1.080543238,10,9.059375,1.103828907,0.313950128,0.276110838
2012677,6,8.498901118,0.705973621,4,9.059375,0.441531563,0.44572675,0.606365159
2012678,8,14.11482665,0.566779897,9,12.1559322,0.740379253,0.42606695,0.363563531
2012679,16,14.30749568,1.118294938,10,9.059375,1.103828907,0.298313957,0.25758321
2012680,4,7.428488521,0.538467548,5,7.693617021,0.649889381,0.487066869,0.456252095
2012681,6,9.09283146,0.659860465,7,7.693617021,0.909845133,0.438487546,0.370402549
2012682,8,8.454772904,0.946211104,5,9.059375,0.551914453,0.280726285,0.466548122
2012683,9,9.091091995,0.989980082,8,7.693617021,1.039823009,0.321138788,0.324295011
2012684,16,16.24335204,0.985018361,15,12.1559322,1.233965421,0.262066005,0.23530146
2012685,12,11.27698688,1.064114034,7,9.059375,0.772680235,0.305138414,0.364662386
2012686,2,10.73889966,0.18623882,2,9.059375,0.220765781,0.746827902,0.698784968
2012687,5,7.315728467,0.683458937,4,7.693617021,0.519911504,0.428118819,0.500727802
2012688,6,7.490520247,0.801012453,5,7.693617021,0.649889381,0.413839902,0.439490446
2012689,7,7.206670248,0.971322366,9,7.693617021,1.169800885,0.31937954,0.27912312
2012690,1,12.34533539,0.081002255,1,7.693617021,0.129977876,0.874738121,0.822809594
2012691,9,10.37130587,0.867778861,8,7.693617021,1.039823009,0.344922508,0.290130152
2012692,18,17.56239855,1.024916952,7,12.1559322,0.57585053,0.345565343,0.458149
2012693,2,10.07494858,0.198512179,2,7.693617021,0.259955752,0.775461153,0.7190518
2012694,1,6.047689032,0.165352417,1,7.693617021,0.129977876,0.792674972,0.838472834
2012697,14,12.56410514,1.114285486,12,9.059375,1.324594688,0.200511607,0.205074937
2012698,12,10.29632053,1.165464883,10,7.693617021,1.299778761,0.272047212,0.250601251
2012699,5,8.924306048,0.560267653,5,7.693617021,0.649889381,0.472453843,0.462956755
2012702,22,17.64727609,1.246651318,13,12.1559322,1.069436698,0.266144329,0.299555316
2012703,8,13.51426389,0.591967129,8,12.1559322,0.658114891,0.460882588,0.449377733
2012704,6,7.220242626,0.830997005,7,7.693617021,0.909845133,0.360066368,0.338546192
2012705,4,9.650583874,0.414482694,4,7.693617021,0.519911504,0.553184444,0.500727802
2012706,4,9.672476522,0.413544555,4,7.693617021,0.519911504,0.544806656,0.494905386
2012707,8,13.32165061,0.600526184,9,12.1559322,0.740379253,0.42280243,0.40490306
2012708,9,7.005252708,1.284750226,8,7.693617021,1.039823009,0.291753637,0.320498915
2012709,10,8.986833231,1.11273902,7,7.693617021,0.909845133,0.301819665,0.369823342
2012710,7,10.45287616,0.669672145,6,7.693617021,0.779867257,0.459795413,0.435052828
2012711,4,6.592949638,0.606708715,4,7.693617021,0.519911504,0.492052815,0.516739447
2012712,11,10.78000684,1.020407515,7,9.059375,0.772680235,0.363992245,0.367581241
2012713,5,8.233481862,0.607276494,5,7.693617021,0.649889381,0.494855423,0.502514247
2012714,6,7.930214772,0.756599937,3,9.059375,0.331148672,0.408839154,0.683337652
2012715,10,13.59512286,0.735557899,10,12.1559322,0.822643614,0.348790728,0.357099143
2012717,14,14.21512147,0.984866716,15,12.1559322,1.233965421,0.21292173,0.238297341
2012718,8,14.16573246,0.564743124,5,9.059375,0.551914453,0.538672172,0.515892421
2012719,13,20.09426084,0.646950893,7,9.059375,0.772680235,0.464497416,0.390542907
2012722,2,10.42019051,0.191935071,1,7.693617021,0.129977876,0.76869442,0.816935879
2012723,2,10.17678137,0.19652579,2,7.693617021,0.259955752,0.722364581,0.666374012
2012724,8,9.131679005,0.876071092,7,7.693617021,0.909845133,0.368642569,0.351867941
2012725,3,8.303707011,0.361284423,2,7.693617021,0.259955752,0.66190436,0.724319579
2012726,13,12.86852668,1.010216657,11,12.1559322,0.904907975,0.311035033,0.345922998
2012727,9,9.173476356,0.981089355,7,7.693617021,0.909845133,0.304187832,0.31074428
2012728,4,11.02832906,0.362702271,4,9.059375,0.441531563,0.617067506,0.545585068
2012729,8,8.34519676,0.958635276,9,7.693617021,1.169800885,0.344874766,0.317868978
2012730,11,7.992343787,1.376317172,10,7.693617021,1.299778761,0.217765223,0.249158249
2012731,13,15.50999321,0.83816929,13,12.1559322,1.069436698,0.344684749,0.268023177
2012732,10,9.871241764,1.013043773,8,9.059375,0.883063125,0.296593949,0.302619527
2012733,11,8.366051465,1.314837716,5,9.059375,0.551914453,0.224061594,0.463214048
2012734,9,10.44111578,0.861976841,6,7.693617021,0.779867257,0.390322573,0.418893723
2012735,8,11.00088574,0.727214171,5,7.693617021,0.649889381,0.416289933,0.420717399
2012736,6,7.740769871,0.7751167,6,9.059375,0.662297344,0.376530473,0.42643702
2012737,8,8.946368568,0.894217574,8,7.693617021,1.039823009,0.364182729,0.336225597
2012738,8,13.40417143,0.596829132,5,12.1559322,0.411321807,0.445647666,0.559375617
2012739,22,19.8398082,1.108881688,11,12.1559322,0.904907975,0.275018957,0.322207583
2012740,15,13.93617212,1.07633573,13,12.1559322,1.069436698,0.222142604,0.263172079
2012741,1,12.58799263,0.079440784,1,7.693617021,0.129977876,0.860730894,0.805188448
2012742,11,9.058585627,1.214317605,9,7.693617021,1.169800885,0.281639426,0.302064746
2012743,16,17.29994403,0.924858484,12,12.1559322,0.987172337,0.357893315,0.31237721
2012746,9,8.131486571,1.10680869,8,9.059375,0.883063125,0.252692444,0.317091042
2012747,6,12.62316655,0.475316552,6,12.1559322,0.493586168,0.491183619,0.51493652
2012748,3,10.22420859,0.293421244,3,7.693617021,0.389933628,0.654132283,0.571030641
2012749,11,9.037068005,1.217208944,7,9.059375,0.772680235,0.240736126,0.381397159
2012750,7,9.47695035,0.738634238,5,9.059375,0.551914453,0.392107527,0.476772616
2012751,9,6.995511143,1.286539299,9,7.693617021,1.169800885,0.271944089,0.27912312
2012752,15,17.02700197,0.880953677,13,12.1559322,1.069436698,0.370073674,0.301441854
2012753,3,9.498544061,0.315837878,4,7.693617021,0.519911504,0.601206358,0.50727802
2012754,13,8.175258851,1.590163717,11,7.693617021,1.429756637,0.227848036,0.233781015
2012755,2,10.44063389,0.19155925,2,7.693617021,0.259955752,0.746031954,0.680421422
2012756,2,13.14288795,0.152173556,2,12.1559322,0.164528723,0.785939654,0.785440613
2012757,16,17.96543521,0.890599076,12,12.1559322,0.987172337,0.373204874,0.30760595
2012758,8,10.56417072,0.757276667,6,7.693617021,0.779867257,0.418931425,0.44002486
2012759,15,14.16324718,1.059079165,15,12.1559322,1.233965421,0.19928894,0.23530146
2012760,4,5.975023018,0.669453488,7,7.693617021,0.909845133,0.425710548,0.377932233
2012761,9,9.186488735,0.979699672,8,7.693617021,1.039823009,0.350945922,0.314533623
2012762,17,15.45463465,1.099993651,11,9.059375,1.214211797,0.241897513,0.250817884
2012764,17,14.7632117,1.151510955,13,9.059375,1.434977578,0.148463118,0.178637201
2012765,9,9.803852594,0.918006459,8,9.059375,0.883063125,0.373331032,0.353727789
2012766,16,13.68129853,1.169479634,7,9.059375,0.772680235,0.305177831,0.371083868
2012767,9,8.074469869,1.11462426,10,7.693617021,1.299778761,0.282890961,0.270803271
2012768,7,10.74109076,0.6517029,7,12.1559322,0.57585053,0.407195683,0.454255884
2012769,9,10.74426233,0.83765639,7,9.059375,0.772680235,0.3430691,0.360381397
2012770,11,12.1005628,0.909048627,9,9.059375,0.993446016,0.317505379,0.285862606
2012771,10,16.39657927,0.609883308,8,12.1559322,0.658114891,0.482848925,0.434577867
2012772,6,10.5935795,0.566380797,6,7.693617021,0.779867257,0.5057631,0.448725917
2012773,7,10.52460739,0.665107945,5,12.1559322,0.411321807,0.440215322,0.559375617
2012774,9,8.005804493,1.124184335,9,7.693617021,1.169800885,0.242652168,0.280652562
2012775,10,9.008761308,1.11003052,9,9.059375,0.993446016,0.233748484,0.291572936
2012776,22,20.28372814,1.084613235,9,12.1559322,0.740379253,0.29564166,0.388239064
2012777,5,13.39855409,0.373174595,5,12.1559322,0.411321807,0.583178019,0.590594744
2012778,11,8.873440657,1.239654428,9,7.693617021,1.169800885,0.30024214,0.318378792
2012779,10,9.798978196,1.020514568,8,7.693617021,1.039823009,0.299672557,0.334598698
2012780,5,8.880996694,0.562999872,4,9.059375,0.441531563,0.471905642,0.550610194
2012781,8,7.246750664,1.103943046,5,9.059375,0.551914453,0.247062555,0.463214048
2012782,11,9.390930279,1.171342953,9,7.693617021,1.169800885,0.278950841,0.286770329
2012783,4,15.8658609,0.252113644,4,12.1559322,0.329057446,0.72159586,0.635753252
2012784,14,14.1148022,0.991866538,13,12.1559322,1.069436698,0.279808499,0.27556933
2012785,5,12.34725236,0.404948393,5,12.1559322,0.411321807,0.562008344,0.577158664
2012786,14,12.93312741,1.082491462,10,9.059375,1.103828907,0.258980878,0.264961469
2012787,10,11.56282071,0.864840876,7,7.693617021,0.909845133,0.407062088,0.382565885
