UNIQUE_ID,IND_DOMAIN,DSGN_CYCLE,WGT_TP,SITE_ID
NRS_SD-10412,CORE,2013-14,48.99012996,SDRO-1072
NRS_SD-10414,CORE,2013-14,48.99012996,SDRO-1074
NRS_SD-10415,CORE,2013-14,48.99012996,SDRO-1075
NRS_SD-10417,CORE,2013-14,48.99012996,SDRO-1077
NRS_SD-10418,CORE,2013-14,48.99012996,SDRO-1078
NRS_SD-10419,CORE,2013-14,118.4842801,SDSS-1186
NRS_SD-10419,CORE,2018-19,118.4842801,NRS18_SD_10015
NRS_SD-10421,CORE,2013-14,80.64429883,SDSS-1188
NRS_SD-10421,CORE,2018-19,80.64429883,NRS18_SD_10016
NRS_SD-10423,CORE,2013-14,199.7515681,SDSS-1190
NRS_SD-10424,CORE,2013-14,80.64429883,SDSS-1191
NRS_SD-10424,CORE,2018-19,80.64429883,NRS18_SD_10071
NRS_SD-10427,CORE,2013-14,118.4842801,SDSS-1194
NRS_SD-10428,CORE,2013-14,199.7515681,SDSS-1195
NRS_SD-10429,CORE,2013-14,199.7515681,SDSS-1196
NRS_SD-10434,CORE,2013-14,199.7515681,SDSS-1201
NRS_SD-10436,CORE,2013-14,80.64429883,SDSS-1203
NRS_SD-10443,CORE,2018-19,118.4842801,NRS18_SD_10029
NRS_SD-10445,CORE,2018-19,146.0065612,NRS18_SD_10031
NRS_SD-10448,CORE,2018-19,324.6660261,NRS18_SD_10034
NRS_SD-10449,CORE,2018-19,136.6237282,NRS18_SD_10035
NRS_SD-10451,CORE,2018-19,48.99012996,NRS18_SD_10037
NRS_SD-10452,CORE,2018-19,48.99012996,NRS18_SD_10038
NRS_SD-10453,CORE,2018-19,48.99012996,NRS18_SD_10039
NRS_SD-10454,CORE,2018-19,48.99012996,NRS18_SD_10040
NRS_SD-10455,CORE,2018-19,48.99012996,NRS18_SD_10041
NRS_SD-10456,CORE,2018-19,48.99012996,NRS18_SD_10042
NRS_SD-10459,CORE,2018-19,126.820084,NRS18_SD_10045
NRS_SD-10460,CORE,2018-19,11.47308524,NRS18_SD_10046
NRS_SD-10462,CORE,2018-19,48.99012996,NRS18_SD_10048
NRS_SD-10467,CORE,2018-19,48.99012996,NRS18_SD_10053
NRS_SD-10469,CORE,2018-19,48.99012996,NRS18_SD_10055
NRS_SD-10471,CORE,2018-19,48.99012996,NRS18_SD_10057
NRS_SD-10472,CORE,2018-19,48.99012996,NRS18_SD_10058
NRS_SD-10474,CORE,2018-19,126.820084,NRS18_SD_10060
NRS_SD-10475,CORE,2018-19,11.47308524,NRS18_SD_10061
NRS_SD-10476,CORE,2018-19,199.7515681,NRS18_SD_10094
NRS_SD-10477,CORE,2018-19,25.7317901,NRS18_SD_10244
NRS_SD-10478,CORE,2018-19,80.64429883,NRS18_SD_10544
NRS_SD-10479,CORE,2018-19,146.0065612,NRS18_SD_10694
NRS_SD-10595,CORE,2018-19,57.84470433,NRS18_SD_10959
NRS_SD-10596,CORE,2018-19,48.99012996,NRS18_SD_11294
NRS_SD-10599,CORE,2018-19,73.81854011,NRS18_SD_11446
NRS_SD-10600,CORE,2018-19,126.820084,NRS18_SD_11594
NRS_SD-10601,CORE,2018-19,48.99012996,NRS18_SD_11894
NRS_SD-10606,CORE,2018-19,48.99012996,NRS18_SD_11899
NRS_SD-10608,CORE,2018-19,48.99012996,NRS18_SD_11901
NRS_SD-10615,CORE,2018-19,48.99012996,NRS18_SD_11908
NRS_SD-10617,CORE,2018-19,48.99012996,NRS18_SD_11910
NRS_SD-10768,CORE,2018-19,126.820084,NRS18_SD_12194
NRS_TN-10053,CORE,2008-09,2436.516769,FW08TN006
NRS_TN-10054,CORE,2008-09,799.030899,FW08TN007
NRS_TN-10054,CORE,2013-14,799.030899,TNS9-0919
NRS_TN-10054,CORE,2018-19,799.030899,NRS18_TN_10001
NRS_TN-10056,CORE,2008-09,1507.376861,FW08TN009
NRS_TN-10056,CORE,2013-14,1507.376861,TNS9-0920
NRS_TN-10057,CORE,2008-09,82.70297368,FW08TN010
NRS_TN-10057,CORE,2013-14,82.70297368,TNR9-0901
NRS_TN-10057,CORE,2018-19,82.70297368,NRS18_TN_10002
NRS_TN-10058,CORE,2008-09,82.70297368,FW08TN011
NRS_TN-10058,CORE,2013-14,82.70297368,TNR9-0902
NRS_TN-10059,CORE,2008-09,82.70297368,FW08TN012
NRS_TN-10059,CORE,2013-14,82.70297368,TNR9-0903
NRS_TN-10059,CORE,2018-19,82.70297368,NRS18_TN_10006
NRS_TN-10060,CORE,2008-09,82.70297368,FW08TN013
NRS_TN-10060,CORE,2013-14,82.70297368,TNR9-0904
NRS_TN-10060,CORE,2018-19,82.70297368,NRS18_TN_10007
NRS_TN-10061,CORE,2008-09,2436.516769,FW08TN014
NRS_TN-10061,CORE,2013-14,2436.516769,TNS9-0921
NRS_TN-10062,CORE,2008-09,82.70297368,FW08TN015
NRS_TN-10062,CORE,2013-14,82.70297368,TNR9-0905
NRS_TN-10062,CORE,2018-19,82.70297368,NRS18_TN_10008
NRS_TN-10063,CORE,2008-09,60.8169631,FW08TN016
NRS_TN-10064,CORE,2008-09,60.8169631,FW08TN017
NRS_TN-10065,CORE,2008-09,82.70297368,FW08TN018
NRS_TN-10066,CORE,2008-09,2436.516769,FW08TN019
NRS_TN-10066,CORE,2013-14,2436.516769,TNS9-0922
NRS_TN-10066,CORE,2018-19,2436.516769,NRS18_TN_10004
NRS_TN-10071,CORE,2008-09,82.70297368,FW08TN024
NRS_TN-10072,CORE,2008-09,82.70297368,FW08TN025
NRS_TN-10074,CORE,2008-09,82.70297368,FW08TN027
NRS_TN-10075,CORE,2008-09,1507.376861,FW08TN028
NRS_TN-10075,CORE,2013-14,1507.376861,TNS9-0923
NRS_TN-10075,CORE,2018-19,1507.376861,NRS18_TN_10005
NRS_TN-10076,CORE,2008-09,82.70297368,FW08TN029
NRS_TN-10077,CORE,2008-09,799.030899,FW08TN030
NRS_TN-10077,CORE,2013-14,799.030899,TNS9-0924
NRS_TN-10077,CORE,2018-19,799.030899,NRS18_TN_10029
NRS_TN-10078,CORE,2008-09,82.70297368,FW08TN031
NRS_TN-10079,CORE,2008-09,60.8169631,FW08TN032
NRS_TN-10080,CORE,2008-09,60.8169631,FW08TN033
NRS_TN-10082,CORE,2008-09,2436.516769,FW08TN035
NRS_TN-10084,CORE,2008-09,60.8169631,FW08TN037
NRS_TN-10086,CORE,2008-09,82.70297368,FW08TN039
NRS_TN-10087,CORE,2008-09,82.70297368,FW08TN040
NRS_TN-10088,CORE,2008-09,1507.376861,FW08TN044
NRS_TN-10088,CORE,2013-14,1507.376861,TNS9-0926
NRS_TN-10090,CORE,2008-09,60.8169631,FW08TN049
NRS_TN-10092,CORE,2008-09,2436.516769,FW08TN051
NRS_TN-10092,CORE,2013-14,2436.516769,TNS9-0927
NRS_TN-10094,CORE,2008-09,1507.376861,FW08TN068
NRS_TN-10095,CORE,2008-09,60.8169631,FW08TN081
NRS_TN-10096,CORE,2008-09,60.8169631,FW08TN085
NRS_TN-10097,CORE,2008-09,60.8169631,FW08TN097
NRS_TN-10098,CORE,2008-09,60.8169631,FW08TN177
NRS_TN-10099,CORE,2008-09,60.8169631,FW08TN261
NRS_TN-10100,CORE,2008-09,60.8169631,FW08TN285
NRS_TN-10105,CORE,2013-14,799.030899,TNLS-1031
NRS_TN-10105,CORE,2018-19,799.030899,NRS18_TN_10009
NRS_TN-10106,CORE,2013-14,799.030899,TNLS-1032
NRS_TN-10108,CORE,2013-14,739.4222711,TNLS-1034
NRS_TN-10111,CORE,2013-14,82.70297368,TNRM-1003
NRS_TN-10111,CORE,2018-19,82.70297368,NRS18_TN_10010
NRS_TN-10112,CORE,2013-14,82.70297368,TNRM-1004
NRS_TN-10114,CORE,2013-14,82.70297368,TNRO-1014
NRS_TN-10114,CORE,2018-19,82.70297368,NRS18_TN_10015
NRS_TN-10115,CORE,2013-14,82.70297368,TNRO-1015
NRS_TN-10115,CORE,2018-19,82.70297368,NRS18_TN_10016
NRS_TN-10117,CORE,2013-14,82.70297368,TNRO-1017
NRS_TN-10118,CORE,2013-14,1507.376861,TNSS-1064
NRS_TN-10118,CORE,2018-19,1507.376861,NRS18_TN_10011
NRS_TN-10119,CORE,2013-14,1507.376861,TNSS-1065
NRS_TN-10126,CORE,2013-14,2436.516769,TNSS-1072
NRS_TN-10127,CORE,2013-14,2436.516769,TNSS-1073
NRS_TN-10127,CORE,2018-19,2436.516769,NRS18_TN_10033
NRS_TN-10128,CORE,2013-14,2436.516769,TNSS-1074
NRS_TN-10131,CORE,2013-14,2436.516769,TNSS-1077
NRS_TN-10134,CORE,2013-14,1507.376861,TNSS-1080
NRS_TN-10136,CORE,2013-14,2436.516769,TNSS-1082
NRS_TN-10138,CORE,2018-19,2436.516769,NRS18_TN_10019
NRS_TN-10141,CORE,2018-19,799.030899,NRS18_TN_10022
NRS_TN-10142,CORE,2018-19,60.8169631,NRS18_TN_10023
NRS_TN-10143,CORE,2018-19,82.70297368,NRS18_TN_10024
NRS_TN-10145,CORE,2018-19,82.70297368,NRS18_TN_10026
NRS_TN-10147,CORE,2018-19,1507.376861,NRS18_TN_10040
NRS_TN-10148,CORE,2018-19,739.4222711,NRS18_TN_10339
NRS_TN-10149,CORE,2018-19,739.4222711,NRS18_TN_10340
NRS_TN-10150,CORE,2018-19,799.030899,NRS18_TN_10489
NRS_TN-10151,CORE,2018-19,799.030899,NRS18_TN_10490
NRS_TN-10152,CORE,2018-19,82.70297368,NRS18_TN_11089
NRS_TN-10153,CORE,2018-19,82.70297368,NRS18_TN_11090
NRS_TX-10088,CORE,2008-09,156.3676341,FW08TX022
NRS_TX-10089,CORE,2008-09,117.0565929,FW08TX023
NRS_TX-10089,CORE,2013-14,117.0565929,TXR9-0902
NRS_TX-10089,CORE,2018-19,117.0565929,NRS18_TX_10017
NRS_TX-10091,CORE,2008-09,1169.260074,FW08TX025
NRS_TX-10091,CORE,2013-14,1169.260074,TXS9-0926
NRS_TX-10091,CORE,2018-19,1169.260074,NRS18_TX_10016
NRS_TX-10094,CORE,2008-09,97.59247325,FW08TX028
NRS_TX-10094,CORE,2013-14,97.59247325,TXR9-0903
NRS_TX-10096,CORE,2008-09,156.3676341,FW08TX030
NRS_TX-10097,CORE,2008-09,279.8197866,FW08TX031
NRS_TX-10098,CORE,2008-09,188.8974494,FW08TX032
NRS_TX-10098,CORE,2013-14,188.8974494,TXS9-0928
NRS_TX-10099,CORE,2008-09,97.59247325,FW08TX033
NRS_TX-10099,CORE,2013-14,97.59247325,TXR9-0905
NRS_TX-10099,CORE,2018-19,97.59247325,NRS18_TX_10012
NRS_TX-10101,CORE,2008-09,97.59247325,FW08TX035
NRS_TX-10101,CORE,2013-14,97.59247325,TXR9-0906
NRS_TX-10103,CORE,2008-09,156.3676341,FW08TX037
NRS_TX-10103,CORE,2013-14,156.3676341,TXR9-0907
NRS_TX-10103,CORE,2018-19,156.3676341,NRS18_TX_10002
NRS_TX-10104,CORE,2008-09,97.59247325,FW08TX038
NRS_TX-10108,CORE,2008-09,97.59247325,FW08TX042
NRS_TX-10108,CORE,2013-14,97.59247325,TXR9-0909
NRS_TX-10108,CORE,2018-19,97.59247325,NRS18_TX_10014
NRS_TX-10109,CORE,2008-09,97.59247325,FW08TX043
NRS_TX-10109,CORE,2013-14,97.59247325,TXR9-0910
NRS_TX-10109,CORE,2018-19,97.59247325,NRS18_TX_10009
NRS_TX-10111,CORE,2008-09,1169.260074,FW08TX045
NRS_TX-10111,CORE,2013-14,1169.260074,TXS9-0929
NRS_TX-10111,CORE,2018-19,1169.260074,NRS18_TX_10004
NRS_TX-10112,CORE,2008-09,117.0565929,FW08TX046
NRS_TX-10112,CORE,2013-14,117.0565929,TXR9-0911
NRS_TX-10113,CORE,2008-09,188.8974494,FW08TX047
NRS_TX-10116,CORE,2008-09,97.59247325,FW08TX050
NRS_TX-10116,CORE,2013-14,97.59247325,TXR9-0912
NRS_TX-10116,CORE,2018-19,97.59247325,NRS18_TX_10015
NRS_TX-10118,CORE,2008-09,97.59247325,FW08TX052
NRS_TX-10119,CORE,2008-09,156.3676341,FW08TX053
NRS_TX-10119,CORE,2013-14,156.3676341,TXR9-0914
NRS_TX-10119,CORE,2018-19,156.3676341,NRS18_TX_10003
NRS_TX-10121,CORE,2008-09,97.59247325,FW08TX055
NRS_TX-10121,CORE,2013-14,97.59247325,TXR9-0915
NRS_TX-10121,CORE,2018-19,97.59247325,NRS18_TX_10013
NRS_TX-10123,CORE,2008-09,156.3676341,FW08TX057
NRS_TX-10123,CORE,2013-14,156.3676341,TXR9-0916
NRS_TX-10124,CORE,2008-09,97.59247325,FW08TX058
NRS_TX-10124,CORE,2013-14,97.59247325,TXR9-0917
NRS_TX-10125,CORE,2008-09,97.59247325,FW08TX059
NRS_TX-10125,CORE,2013-14,97.59247325,TXR9-0918
NRS_TX-10125,CORE,2018-19,97.59247325,NRS18_TX_10085
NRS_TX-10127,CORE,2008-09,156.3676341,FW08TX061
NRS_TX-10127,CORE,2013-14,156.3676341,TXR9-0919
NRS_TX-10128,CORE,2008-09,117.0565929,FW08TX062
NRS_TX-10129,CORE,2008-09,156.3676341,FW08TX063
NRS_TX-10129,CORE,2013-14,156.3676341,TXR9-0921
NRS_TX-10130,CORE,2008-09,97.59247325,FW08TX064
NRS_TX-10131,CORE,2008-09,183.07537,FW08TX065
NRS_TX-10131,CORE,2013-14,183.07537,TXR9-0923
NRS_TX-10132,CORE,2008-09,97.59247325,FW08TX066
NRS_TX-10132,CORE,2013-14,97.59247325,TXR9-0924
NRS_TX-10133,CORE,2008-09,279.8197866,FW08TX067
NRS_TX-10133,CORE,2013-14,279.8197866,TXS9-0931
NRS_TX-10133,CORE,2018-19,279.8197866,NRS18_TX_10007
NRS_TX-10134,CORE,2008-09,97.59247325,FW08TX068
NRS_TX-10140,CORE,2008-09,188.8974494,FW08TX088
NRS_TX-10145,CORE,2008-09,279.8197866,FW08TX104
NRS_TX-10145,CORE,2013-14,279.8197866,TXS9-0933
NRS_TX-10145,CORE,2018-19,279.8197866,NRS18_TX_10005
NRS_TX-10151,CORE,2008-09,471.8058614,FW08TX118
NRS_TX-10151,CORE,2013-14,471.8058614,TXS9-0934
NRS_TX-10151,CORE,2018-19,471.8058614,NRS18_TX_10006
NRS_TX-10152,CORE,2008-09,279.8197866,FW08TX119
NRS_TX-10154,CORE,2008-09,188.8974494,FW08TX124
NRS_TX-10154,CORE,2013-14,188.8974494,TXS9-0936
NRS_TX-10154,CORE,2018-19,188.8974494,NRS18_TX_10010
NRS_TX-10163,CORE,2008-09,188.8974494,FW08TX156
NRS_TX-10163,CORE,2013-14,188.8974494,TXS9-0937
NRS_TX-10163,CORE,2018-19,188.8974494,NRS18_TX_10011
NRS_TX-10166,CORE,2008-09,471.8058614,FW08TX165
NRS_TX-10166,CORE,2013-14,471.8058614,TXS9-0938
NRS_TX-10166,CORE,2018-19,471.8058614,NRS18_TX_10001
NRS_TX-10168,CORE,2008-09,188.8974494,FW08TX168
NRS_TX-10170,CORE,2008-09,188.8974494,FW08TX172
NRS_TX-10170,CORE,2013-14,188.8974494,TXS9-0940
NRS_TX-10179,CORE,2013-14,471.8058614,TXLS-1115
NRS_TX-10181,CORE,2013-14,279.8197866,TXLS-1117
NRS_TX-10181,CORE,2018-19,279.8197866,NRS18_TX_10025
NRS_TX-10182,CORE,2013-14,279.8197866,TXLS-1118
NRS_TX-10183,CORE,2013-14,471.8058614,TXLS-1119
