SITE_ID,VISIT_NO,PROTOCOL,XDEPTH_CM,SDDEPTH_CM,XWIDTH,XWXD,RP100,RPGT50,XBKF_W,XBKF_H,XINC_H,SINU,XSLOPE,REACHLEN,LSUB_DMM,XEMBED,PCT_FN,PCT_SA,PCT_SAFN,PCT_SFGF,LDCBF_G08,LDMB_BW5,LRBS_BW5,LRBS_G08,RB3,REYP3,RRPW3,PCT_FAST,PCT_POOL,PCT_SLOW,RPMXDEP_CM,RPRAT,RPXDEP_CM,PCT_BDRK,XFC_ALG,XFC_AQM,XFC_LWD,XFC_BRS,XFC_OHV,XFC_BIG,XFC_NAT,XFC_UCB,V1W_MSQ,XCDENBK,XCDENMID,XGB,XGW,XMW,XC,XCS,XCL,XCM,XCMGW,XPCAN,XPCM,XPCMG,QR1,QRVEG1,RDIST1,W1_HALL,W1H_WALL,W1H_LOG,W1_HNOAG,W1_HAG
MTRM-1002,1,BOATABLE,161.20872,71.22797689,65.45454545,102.85476,53.145348,12,67.36363636,0.431818182,0.936363636,NA,0.084724223,3826.560852,1.859957123,NA,5,0,5,NA,1.091734054,0.899383231,0.960573892,0.768223069,1.328538498,7461.324151,0.678154013,7,0,93,314.0239305,32.96679485,69.30188458,NA,0.172727273,0.059090909,0.05,0.068181818,0.077272727,0.063636364,0.240909091,0.004545455,0.072857273,49.06417112,NA,0.142045455,0.168181818,0.202380952,0.197619048,0.145238095,0.052380952,0.870454545,0.55,0.80952381,0.80952381,0.80952381,0.432998872,0.3475,0.568635063,1.318222727,0,0,0.636386364,0.681836364
MTS9-0936,1,WADEABLE,60.23,19.5798572,14.875,8.11625,17.57126623,2,24.18181818,0.213636364,0.363636364,1.143896113,1.01875,480,1.744010188,19.81818182,8.571428571,0,8.571428571,8.571428571,1.646309825,1.644478276,0.099531912,0.097700362,0.530358636,12516.89869,0.205733622,100,0,0,107.403,0.291736115,22.30199176,0,0.004545455,0,0.165909091,0.236363636,0.1,0.552272727,0.929545455,0.018181818,0.004109665,65.50802139,18.31550802,0.214772727,0.235227273,0.335227273,0.428409091,0.292857143,0.148863636,1.039772727,0.998863636,1,1,1,0.581777519,0.549488636,0.480324372,0.924277273,0,0,0.257577273,0.6667
MTSS-1331,1,WADEABLE,12.46,5.983904586,1.6175,0.1925,2.606337808,0,3.168181818,0.4,0.609090909,1.042324588,8.094333333,149,1.598474251,46.54545455,0.952380952,10.47619048,11.42857143,20,2.571137373,2.408305377,-0.809831125,-0.972663122,0.34099,20235.01501,0.220395274,52,5.333333333,48,21.85641667,0.209176389,5.628178744,0,0,0,0.031818182,0.122727273,0.340909091,0.225,0.784090909,0.018181818,0.018379055,91.17647059,64.30481283,0.056818182,0.131818182,0.154545455,0.011363636,0.011363636,0,0.259090909,0.297727273,0.227272727,0.227272727,0.227272727,0.419979099,0.233977273,0.656090686,1.90774329,0,0.634952381,1.301652381,0.606090909
NYR9-0907,1,BOATABLE,642.1,285.3008159,409.6363636,2155.44,261.3170257,6,445.1818182,1.063636364,1.836363636,NA,0,3823.198093,-2.110924375,NA,100,0,100,NA,-1.642035603,-1.487999804,-0.622924571,-0.468888772,4.865013636,0.052454841,3.063058934,0,0,100,776.1113284,40.69724742,285.8812484,NA,0,0,0.004545455,0.009090909,0,0.131818182,0.086363636,0,0.062832,14.30481283,NA,0.445454545,0.036363636,0.311363636,0.421590909,0.227272727,0.194318182,0.903409091,0.769318182,0.863636364,0.863636364,0.863636364,0.295056597,0.446193182,0.748322353,2.97333658,0.545454545,0,2.97333658,0
NYRM-1008,1,BOATABLE,1292.7,134.5614275,993.6363636,12816.95,NA,NA,1053.181818,1.072727273,2.263636364,NA,NA,4044.784786,-0.460409377,NA,0,100,100,NA,NA,NA,NA,NA,9.099822727,NA,NA,0,0,100,NA,NA,NA,NA,0,0.609090909,0,0,0.004545455,0.159090909,0.163636364,0,0,1.069518717,NA,0.502272727,0.027272727,0.209090909,0.259090909,0.138636364,0.120454545,0.802272727,0.495454545,0.954545455,0.954545455,0.954545455,0.207907992,0.322954545,0.746160095,2.939490909,0.4697,0,2.818272727,0.121218182
VARS11-152,1,WADEABLE,35.73333333,15.75286669,5.6,2.170875,21.56835065,1,8.990909091,0.754545455,2.109090909,1.161724094,0.261316872,160.2,0.46004044,78.90909091,9,31,40,66,1.265616953,1.204679582,-0.744639142,-0.805576513,0.722721212,384.8375866,0.248926166,12.22222222,26.66666667,87.77777778,63.99844444,0.603591902,22.85218104,0,0,0,0.031818182,0.040909091,0.059090909,0.063636364,0.190909091,0.009090909,5.99163e-4,97.32620321,92.51336898,0.257954545,0.242857143,0.252272727,0.528409091,0.196590909,0.331818182,1.015909091,1.0125,1,1,1,0.636939265,0.555625,0.523469145,1.0985,0.113636364,0,0.750013636,0.348486364
WAR9-0902,1,BOATABLE,3455.8224,342.2956487,1442.545455,51360.44592,505.872873,3,1473.363636,2.045454545,7,NA,0.018930575,4117.42519,2.670926996,NA,0,0,0,NA,1.963810949,1.611784211,1.059142785,0.707116047,23.79239105,96581.92471,23.79239105,20,0,80,1185.069621,14.6382775,530.9877766,NA,0.045454545,0,0,0,0,0.715909091,0.715909091,0,0,0,NA,0.821590909,0.025,0.013636364,0,0,0,0.018181818,0.038636364,0,0,0,0.144177983,0.11738636400000001,0.74468332,2.916704545,1.477272727,0,2.916704545,0
WVSS-1046,1,WADEABLE,41.72727273,17.78975537,8.59,3.56365,23.71617515,2,10.5,0.390909091,1.3,1.306170606,0.022017045,348.8,-1.531696447,98.18181818,70.47619048,25.71428571,96.19047619,96.19047619,-0.449677366,-0.145254925,-1.386441522,-1.082019081,0.525318182,0.970648984,0.107549441,0,93.63636364,100,78.37740909,0.568361496,25.85063091,0,0,0,0.472727273,0.454545455,0.036363636,0.472727273,0.963636364,0,0.048227665,94.65240642,75.80213904,0.197727273,0.231818182,0.265909091,0.731818182,0.277272727,0.454545455,1.15,1.229545455,1,1,1,0.853550742,0.653295455,0,0,0,0,0,0
PALS-1092,1,WADEABLE,72.37623762,32.81702347,19.145,14.10755,33.82840768,3,20.6,0.436363636,0.863636364,1.16845558,0.143449198,680,1.161457562,30.09090909,17.14285714,1.904761905,19.04761905,20,0.919728108,0.907038222,0.25441934,0.241729453,0.754081908,1464.481198,0.243425154,17.82178218,7.920792079,82.17821782,135.4612273,0.467396604,37.17407437,0,0,0,0.004545455,0.027272727,0.127272727,0.045454545,0.195454545,0.027272727,1.31282e-4,81.28342246,23.52941176,0.184090909,0.210227273,0.535227273,0.418181818,0.311363636,0.106818182,1.070454545,1.163636364,0.863636364,0.863636364,0.863636364,0.650223246,0.623636364,0.46988846,0.886395455,0.128790909,0,0.886395455,0
TNSS-1080,1,WADEABLE,23.27,12.44207183,5.415,1.36665,12.32354705,1,7.645454545,0.563636364,0.909090909,1.081559547,0.764074074,148.5,0.66889043,53.27272727,0.952380952,31.42857143,32.38095238,68.57142857,1.542321773,1.545040463,-0.876150033,-0.873431343,0.517618636,900.8055023,0.181997294,18,9,82,58.70554406,0.529589474,15.25038948,0,0,0.054545455,0.061363636,0.027272727,0.086363636,0.120454545,0.275,0.059090909,0.001442727,86.09625668,78.74331551,0.155681818,0.047727273,0.285227273,0.238636364,0.146590909,0.092045455,0.592045455,0.571590909,0.818181818,0.818181818,0.818181818,0.563132187,0.357215909,0.428575881,0.750013636,0,0,0.068181818,0.681831818
WIR9-0903,1,BOATABLE,902.2,163.6736097,530,4255.18,140.5130578,5,491.7272727,0.954545455,2.340909091,NA,0.002692532,4181.188691,-0.460409377,NA,0,100,100,NA,0.69658349,0.198788183,-0.65919756,-1.156992867,6.484754545,14.05354024,6.484754545,0,0,100,413.5968671,15.574491,154.0509036,NA,0,0.036363636,0.004545455,0.088636364,0.05,0.109090909,0.252272727,0.013636364,0.001142273,53.87700535,NA,0.134090909,0.2125,0.323863636,0.229545455,0.095454545,0.134090909,0.678409091,0.765909091,0.818181818,0.818181818,0.818181818,0.387501177,0.444659091,0.776274523,3.469763636,1.015154545,0,3.469763636,0
NDRM-1005,1,WADEABLE,70.154,29.70705259,8.56,7.30921,41.82369909,3,11.92727273,0.918181818,2.118181818,1.814314788,0.116666667,237.6,-0.356425947,74.36363636,42.85714286,4.761904762,47.61904762,81.9047619,1.185670256,0.982355652,-1.338781599,-1.542096203,1.052819182,47.35788057,0.349688614,4,33,96,91.576,0.596169842,44.52200225,0,0.152272727,0.127272727,0,0,0.763636364,0.163636364,0.927272727,0.086363636,0,72.19251337,0.802139037,0.022727273,0.129545455,0.152272727,0,0,0,0.670454545,0.281818182,0,0,0,0.408207915,0.226818182,0.6,1.5,0,0,0,1.5
TNR9-0904,1,BOATABLE,127.5,31.50677336,53,60.47,30.57796344,3,58.45454545,1.281818182,3.445454545,NA,0.042982098,1632.618955,1.266675931,NA,0,7,7,NA,1.117900558,0.819336417,0.447339515,0.148775373,1.661931818,1516.331837,1.286340869,0,0,100,95.94925321,23.98271642,37.15771404,NA,0,0.054545455,0.022727273,0.05,0.05,0.045454545,0.145454545,0.009090909,0.005235,81.4171123,NA,0.131818182,0.05,0.430681818,0.414772727,0.245454545,0.169318182,1.004545455,0.895454545,1,1,1,0.683685591,0.502954545,0.237001276,0.310618182,0,0,0.250009091,0.060609091
TNSS-1082,1,WADEABLE,6.546666667,4.591481267,0.868421053,0.048315789,2.291831872,0,1.627272727,0.363636364,0.709090909,1.034416836,2.603095238,149,0.139090426,71.63636364,35.23809524,3.80952381,39.04761905,60.95238095,1.96331859,1.859904202,-1.720813776,-1.824228163,0.27891697,360.3635365,0.123193709,20,11.33333333,80,19.68767857,0.350076151,3.836887066,0,0,0.079545455,0,0,0.820454545,0,0.820454545,0,0,90.64171123,88.5026738,0.056818182,0.018181818,0.061363636,0.029545455,0.013636364,0.015909091,0.213636364,0.109090909,0.318181818,0.318181818,0.318181818,0.359158928,0.149090909,0.66067187,1.947,0,0,1.037909091,0.909090909
NYRM-1004,1,BOATABLE,862.1,148.3532162,249.9090909,2060.07,188.0296583,4,268.7272727,1.4,2.236363636,NA,0,3939.181097,-0.460409377,NA,0,100,100,NA,NA,-1.253647496,0.793238119,NA,6.51365,2.714380635,NA,0,0,100,455.7043692,21.81065518,217.5371393,NA,0,0,0,0,0,0.497727273,0.415909091,0,NA,45.72192513,NA,0.583333333,0.043181818,0.414772727,0.671590909,0.347727273,0.323863636,1.194318182,1.129545455,0.954545455,0.954545455,0.954545455,0.423685836,0.608295455,0.755559086,3.090968182,0.954545455,0,3.090968182,0
