"SITE_ID","VISIT_NO","SAMPLE_ID","Chem_Lab_ID","H2O_dD","H2O_d18O","d.excess"
"MNS9-0928","2",720980,"1410805",-66.78,-7.58,-6.14
"MNS9-0930","1",758380,"1410815",-57.63,-7.24,0.27
"MNS9-0931","1",720960,"1410427",-78.48,-11.27,11.72
"MNS9-0936","1",758300,"1410650",-76.75,-10.75,9.25
"MNS9-0937","1",758320,"1410685",-83.9,-11.42,7.5
"MNS9-0939","1",758500,"1410601",-76.15,-10.02,3.98
"MNSS-1168","1",728260,"1410396",-75.38,-10.59,9.3
"MNSS-1170","1",758240,"1410615",-49.89,-5.73,-4.03
"MNSS-1172","1",728820,"1411012",-71.56,-8.89,-0.41
"MNSS-1173","1",758220,"1410536",-82.81,-11.66,10.49
"MNSS-1174","1",739040,"1410346",-86.41,-12,9.56
"MOLS-1079","1",750340,"1410448",-26.06,-4.07,6.51
"MOLS-1082","1",750260,"1410197",-42.97,-6.71,10.7
"MOLS-1084","1",750440,"1410529",-37.65,-5.67,7.69
"MOLS-1086","1",731680,"1410399",-30.57,-5.2,11.06
"MOR9-0901","1",745720,"1410990",-40.53,-6.15,8.63
"MOR9-0902","1",748460,"1411131",-42.8,-6.26,7.31
"MOR9-0903","1",745740,"1410953",-42.39,-6.3,8.01
"MOR9-0903","2",752140,"1411148",-46.56,-6.34,4.16
"MOR9-0904","1",745700,"1410463",-37.27,-6.15,11.92
"MOR9-0904","2",731780,"1410684",-36.13,-5.77,10.01
"MOR9-0905","1",731700,"1410122",-37.09,-6.12,11.84
"MOR9-0906","1",752200,"1410913",-42.53,-5.52,1.66
"MOR9-0907","1",752880,"1410645",-35.9,-6.18,13.56
"MOR9-0908","1",731720,"1410163",-41.26,-7.03,15.02
"MOR9-0912","1",745820,"1410319",-63.24,-8.91,8.06
"MORF-0001","1",750000,"1410524",-40.21,-6.67,13.12
"MORF-0006","1",749960,"1410492",-41.21,-6.8,13.21
"MORM-1001","1",731660,"1410998",-42.27,-6.16,7.05
"MORM-1002","1",745780,"1411117",-47.4,-7,8.58
"MORM-1003","1",752180,"1410907",-50.48,-6.77,3.71
"MORM-1004","1",752800,"1410660",-33.45,-5.41,9.82
"MORM-1005","1",747680,"1411141",-45.4,-6.55,7.04
"MORM-1006","1",731800,"1410942",-74.43,-9.14,-1.33
"MORM-1007","1",745660,"1410321",-46.75,-6.9,8.44
"MORO-1046","1",745800,"1410512",-32.51,-4.69,5.04
"MORO-1047","1",752160,"1410701",-33.15,-5.7,12.47
"MORO-1048","1",748420,"1410127",-37.76,-6.2,11.84
"MORO-1049","1",748440,"1410108",-25.93,-4.07,6.64
"MOS9-0934","1",750380,"1410538",-41.58,-6.74,12.34
"MOS9-0938","1",750360,"1411004",-26.45,-4.28,7.78
"MOS9-0940","1",727720,"1410150",-31.22,-4.87,7.71
"MOSS-1161","1",752740,"1410751",-30.82,-4.62,6.14
"MOSS-1163","1",752840,"1410730",-31.68,-4.49,4.27
"MOSS-1165","1",750320,"1410533",-38.35,-5.92,9.03
"MOSS-1166","1",750300,"1410431",-38.17,-5.77,8
"MSLS-1037","1",754200,"1410540",-22.41,-4.41,12.84
"MSLS-1038","1",742480,"1410037",-19.27,-3.88,11.78
"MSLS-1039","1",705540,"1410073",-21.86,-4.13,11.22
"MSLS-1040","1",742460,"1410049",-19.44,-3.85,11.33
"MSR9-0901","1",743780,"1410024",-20.85,-3.67,8.54
"MSR9-0902","1",743740,"1410141",-19.69,-3.3,6.72
"MSR9-0903","1",745540,"1410311",-19.33,-3.55,9.08
"MSR9-0903","2",755760,"1410425",-19.49,-3.92,11.87
"MSR9-0904","1",763600,"1410784",-19.93,-3.31,6.54
"MSR9-0905","1",745480,"1410248",-30.43,-4.99,9.46
"MSR9-0906","1",755740,"1410455",-19.05,-3.69,10.43
"MSR9-0908","1",755780,"1410397",-21.64,-4.06,10.87
"MSR9-0908","2",763540,"1410722",-21.15,-4.15,12.07
"MSRF-0001","1",754080,"1410461",-21.73,-4.35,13.1
"MSRF-0002","1",750660,"1410143",-21.14,-4.04,11.14
"MSRF-0003","1",750600,"1410282",-22.7,-4.19,10.79
"MSRF-0004","1",757900,"1411063",-22.52,-4.38,12.54
"MSRM-1001","1",763620,"1410840",-21.2,-3.54,7.16
"MSRM-1003","1",763580,"1410828",-18.4,-2.67,3
"MSRM-1004","1",763700,"1411074",-16.75,-2.6,4.07
"MSRO-1019","1",763660,"1410863",-23.29,-3.21,2.36
"MSRO-1021","1",758680,"1411087",-15.46,-2.05,0.92
"MSRO-1022","1",763640,"1410853",-42.32,-5.68,3.14
"MSS9-0912","1",763460,"1410771",-9.17,-1.65,4.05
"MSS9-0913","1",742500,"1410032",-19.04,-3.85,11.74
"MSS9-0914","1",750520,"1410517",-20.54,-4.01,11.57
"MSS9-0915","1",705540,"1410078",-6.42,-0.87,0.53
"MSS9-0916","1",742440,"1410050",-22.87,-4.48,12.98
"MSS9-0917","1",739980,"1410273",-21.39,-4.1,11.42
