"SITE_ID","VISIT_NO","AMMONIA_N_RESULT","AMMONIA_N_RESULT_UNITS","ANC_RESULT","ANC_RESULT_UNITS","CALCIUM_RESULT","CALCIUM_RESULT_UNITS","CHLORIDE_RESULT","CHLORIDE_RESULT_UNITS","COLOR_RESULT","COLOR_RESULT_UNITS","COND_RESULT","COND_RESULT_UNITS","DOC_RESULT","DOC_RESULT_UNITS","MAGNESIUM_RESULT","MAGNESIUM_RESULT_UNITS","NITRATE_N_RESULT","NITRATE_N_RESULT_UNITS","NITRATE_NITRITE_N_RESULT","NITRATE_NITRITE_N_RESULT_UNITS","NITRITE_N_RESULT","NITRITE_N_RESULT_UNITS","NTL_RESULT","NTL_RESULT_UNITS","PH_RESULT","PH_RESULT_UNITS","POTASSIUM_RESULT","POTASSIUM_RESULT_UNITS","PTL_RESULT","PTL_RESULT_UNITS","SILICA_RESULT","SILICA_RESULT_UNITS","SODIUM_RESULT","SODIUM_RESULT_UNITS","SULFATE_RESULT","SULFATE_RESULT_UNITS","TSS_RESULT","TSS_RESULT_UNITS","TURB_RESULT","TURB_RESULT_UNITS"
"OKSS-1405",1,0.013,"MG N/L",2117.96,"UEQ/L",43.85,"MG/L",16.412,"MG/L",13,"APHA PT-CO",307,"US/CM AT 25 C",0.72,"MG/L",2.283,"MG/L",1.332,"MG N/L",NA,"",0,"MG N/L",1.511,"MG/L",8.27,"STD. UNITS",4.45,"MG/L",65,"UG/L",9.151,"MG/L",15.28,"MG/L",17.581,"MG/L",2.4,"MG/L",1.42,"NTU"
"MORO-1044",1,0.023,"MG N/L",2242.41,"UEQ/L",23.13,"MG/L",7.204,"MG/L",13,"APHA PT-CO",272,"US/CM AT 25 C",3.24,"MG/L",17.25,"MG/L",0.015,"MG N/L",NA,"",0,"MG N/L",0.315,"MG/L",7.96,"STD. UNITS",2.652,"MG/L",40,"UG/L",5.497,"MG/L",7.34,"MG/L",18.595,"MG/L",10,"MG/L",8.31,"NTU"
"ALR9-0901",2,0.018,"MG N/L",2396.63,"UEQ/L",44.57,"MG/L",5.477,"MG/L",12,"APHA PT-CO",264,"US/CM AT 25 C",1.54,"MG/L",5.122,"MG/L",0.682,"MG N/L",NA,"",0,"MG N/L",0.894,"MG/L",8.13,"STD. UNITS",2.126,"MG/L",185,"UG/L",4.32,"MG/L",2.72,"MG/L",6.265,"MG/L",8.4,"MG/L",7.06,"NTU"
"CAR9-0909",1,0.0086,"MG N/L",1640,"UEQ/L",17.1,"MG/L",2.99,"MG/L",5,"APHA PT-CO",176,"US/CM AT 25 C",2.1,"MG/L",7.5,"MG/L",0.0127,"MG N/L",0.0135,"MG N/L",NA,"",0.11,"MG/L",8.3,"STD. UNITS",1.4,"MG/L",16.1,"UG/L",17.4,"MG/L",9,"MG/L",4.09,"MG/L",0.9,"MG/L",0.8,"NTU"
"KSRS-1324",1,0.032,"MG N/L",3110.2,"UEQ/L",54.15,"MG/L",7.786,"MG/L",27,"APHA PT-CO",349,"US/CM AT 25 C",6.67,"MG/L",6.933,"MG/L",0.007,"MG N/L",NA,"",0,"MG N/L",0.835,"MG/L",8.04,"STD. UNITS",5.43,"MG/L",91,"UG/L",5.297,"MG/L",8.67,"MG/L",15.271,"MG/L",14.1,"MG/L",12.07,"NTU"
"SDSS-1194",1,0.172,"MG N/L",6703.22,"UEQ/L",270.2,"MG/L",11.873,"MG/L",12,"APHA PT-CO",1782,"US/CM AT 25 C",4.05,"MG/L",108.5,"MG/L",0.016,"MG N/L",NA,"",0,"MG N/L",1.318,"MG/L",7.6,"STD. UNITS",7.14,"MG/L",100,"UG/L",32.682,"MG/L",22.22,"MG/L",767.363,"MG/L",7.6,"MG/L",3.35,"NTU"
"RISS-1080",1,0.007,"MG N/L",336.11,"UEQ/L",14.55,"MG/L",130.652,"MG/L",13,"APHA PT-CO",501,"US/CM AT 25 C",3.31,"MG/L",3.753,"MG/L",0.378,"MG N/L",NA,"",0.001,"MG N/L",0.533,"MG/L",7.3,"STD. UNITS",2.469,"MG/L",16,"UG/L",10.301,"MG/L",75.15,"MG/L",7.202,"MG/L",0.9,"MG/L",1.26,"NTU"
"NYRM-1001",1,0.01,"MG N/L",1163.66,"UEQ/L",22.42,"MG/L",13.893,"MG/L",20,"APHA PT-CO",183,"US/CM AT 25 C",2.52,"MG/L",2.638,"MG/L",0.346,"MG N/L",NA,"",0.001,"MG N/L",0.519,"MG/L",7.95,"STD. UNITS",1.275,"MG/L",34,"UG/L",5.06,"MG/L",9.72,"MG/L",6.307,"MG/L",6.7,"MG/L",2.93,"NTU"
"GASS-1081",1,0.008,"MG N/L",127.02,"UEQ/L",1.53,"MG/L",1.222,"MG/L",7,"APHA PT-CO",33.4,"US/CM AT 25 C",0.75,"MG/L",1.336,"MG/L",0.022,"MG N/L",NA,"",0.001,"MG N/L",0.066,"MG/L",6.9,"STD. UNITS",0.475,"MG/L",27,"UG/L",12.971,"MG/L",2.27,"MG/L",6.016,"MG/L",4.8,"MG/L",2.54,"NTU"
"ORRF-0104",1,0.007,"MG N/L",517.41,"UEQ/L",5.22,"MG/L",1.039,"MG/L",7,"APHA PT-CO",56.6,"US/CM AT 25 C",0.83,"MG/L",1.866,"MG/L",0.002,"MG N/L",NA,"",0,"MG N/L",0.04,"MG/L",7.83,"STD. UNITS",0.805,"MG/L",66,"UG/L",23.498,"MG/L",3.45,"MG/L",0.381,"MG/L",0.8,"MG/L",0.97,"NTU"
"VARS11-111",1,0.013,"MG N/L",897.41,"UEQ/L",15.56,"MG/L",24.182,"MG/L",19,"APHA PT-CO",190.5,"US/CM AT 25 C",1.97,"MG/L",5.412,"MG/L",0.003,"MG N/L",NA,"",0,"MG N/L",0.175,"MG/L",7.74,"STD. UNITS",2.868,"MG/L",29,"UG/L",10.04,"MG/L",11.74,"MG/L",7.609,"MG/L",0.6,"MG/L",0.57,"NTU"
"WAS9-0915",2,0.01,"MG N/L",171.88,"UEQ/L",9.19,"MG/L",0.313,"MG/L",8,"APHA PT-CO",109.1,"US/CM AT 25 C",0.3,"MG/L",3.09,"MG/L",0.015,"MG N/L",NA,"",0.001,"MG N/L",0.018,"MG/L",7.16,"STD. UNITS",1.68,"MG/L",106,"UG/L",32.139,"MG/L",4.19,"MG/L",36.401,"MG/L",45.7,"MG/L",7.28,"NTU"
"TXS9-0931",1,0.2,"MG N/L",3407.56,"UEQ/L",42.31,"MG/L",33.568,"MG/L",26,"APHA PT-CO",467,"US/CM AT 25 C",9.3,"MG/L",11.73,"MG/L",0.037,"MG N/L",NA,"",0,"MG N/L",1.838,"MG/L",8.08,"STD. UNITS",19.72,"MG/L",626,"UG/L",16.678,"MG/L",29.4,"MG/L",19.976,"MG/L",42,"MG/L",77.8,"NTU"
"ARRM-1002",1,0.01036,"MG N/L",2539.7122,"UEQ/L",40.58,"MG/L",24.57,"MG/L",12.5,"APHA PT-CO",424,"US/CM AT 25 C",3.3162,"MG/L",13.146,"MG/L",0.42028,"MG N/L",0.42028,"MG N/L",NA,"",0.683,"MG/L",NA,"",3.564,"MG/L",108,"UG/L",6.422,"MG/L",25.73,"MG/L",46.528,"MG/L",18,"MG/L",15.8,"NTU"
"COR9-0905",1,0.006,"MG N/L",926.51,"UEQ/L",12.83,"MG/L",1.939,"MG/L",21,"APHA PT-CO",121.8,"US/CM AT 25 C",3.84,"MG/L",2.346,"MG/L",0.042,"MG N/L",NA,"",0.002,"MG N/L",0.448,"MG/L",8.05,"STD. UNITS",2.754,"MG/L",194,"UG/L",21.739,"MG/L",7.54,"MG/L",8.697,"MG/L",30.3,"MG/L",18.72,"NTU"
"ALRF-0002",1,0.005,"MG N/L",291.97,"UEQ/L",2.24,"MG/L",2.173,"MG/L",12,"APHA PT-CO",40.4,"US/CM AT 25 C",1.09,"MG/L",1.416,"MG/L",0.076,"MG N/L",NA,"",0.001,"MG N/L",0.145,"MG/L",7.28,"STD. UNITS",0.975,"MG/L",56,"UG/L",16.751,"MG/L",3.4,"MG/L",0.752,"MG/L",28.5,"MG/L",12.34,"NTU"
"ARR9-0903",1,0.01081,"MG N/L",3776.598,"UEQ/L",48.18,"MG/L",15.885,"MG/L",15,"APHA PT-CO",413,"US/CM AT 25 C",3.6204,"MG/L",14.862,"MG/L",0.0411,"MG N/L",0.04283,"MG N/L",NA,"",0.311,"MG/L",NA,"",2.863,"MG/L",189,"UG/L",14.31,"MG/L",11.18,"MG/L",22.041,"MG/L",78,"MG/L",36.8,"NTU"
"MOR9-0911",1,0.014,"MG N/L",4610.05,"UEQ/L",53.66,"MG/L",10.145,"MG/L",10,"APHA PT-CO",520,"US/CM AT 25 C",1.18,"MG/L",34.12,"MG/L",0.028,"MG N/L",NA,"",0,"MG N/L",0.186,"MG/L",8.28,"STD. UNITS",2.05,"MG/L",36,"UG/L",7.948,"MG/L",7.76,"MG/L",39.616,"MG/L",9.6,"MG/L",6.23,"NTU"
"WILS-1093",1,0.015,"MG N/L",2198.02,"UEQ/L",27.6,"MG/L",9,"MG/L",15,"APHA PT-CO",240,"US/CM AT 25 C",2.9,"MG/L",9.72,"MG/L",0.369,"MG N/L",0.39,"MG N/L",NA,"",0.663,"MG/L",8.02,"STD. UNITS",1.04,"MG/L",42.6,"UG/L",17,"MG/L",5.34,"MG/L",3.93,"MG/L",2.5,"MG/L",2.39,"NTU"
"MTRM-1007",1,0.058,"MG N/L",1096.96,"UEQ/L",15.02,"MG/L",10.107,"MG/L",10,"APHA PT-CO",220,"US/CM AT 25 C",1.65,"MG/L",4.866,"MG/L",0.193,"MG N/L",NA,"",0.006,"MG N/L",0.373,"MG/L",8.06,"STD. UNITS",4.341,"MG/L",99,"UG/L",23.791,"MG/L",20.28,"MG/L",30.715,"MG/L",30.8,"MG/L",7.35,"NTU"
"IDR9-0908",2,0.007,"MG N/L",493.38,"UEQ/L",6.62,"MG/L",0.185,"MG/L",17,"APHA PT-CO",52.3,"US/CM AT 25 C",1.08,"MG/L",1.153,"MG/L",0.003,"MG N/L",NA,"",0,"MG N/L",0.103,"MG/L",7.65,"STD. UNITS",0.801,"MG/L",33,"UG/L",12.914,"MG/L",2.13,"MG/L",0.829,"MG/L",4.7,"MG/L",1.1,"NTU"
"NYR9-0901",2,0.063,"MG N/L",2694.06,"UEQ/L",46.72,"MG/L",20.118,"MG/L",10,"APHA PT-CO",346,"US/CM AT 25 C",2.27,"MG/L",7.507,"MG/L",0.862,"MG N/L",NA,"",0,"MG N/L",1.135,"MG/L",8.14,"STD. UNITS",1.552,"MG/L",56,"UG/L",4.913,"MG/L",14.56,"MG/L",7.484,"MG/L",8.8,"MG/L",3.57,"NTU"
"TXRF-0004",1,0.044,"MG N/L",5602.89,"UEQ/L",59.03,"MG/L",30.222,"MG/L",6,"APHA PT-CO",638,"US/CM AT 25 C",1.22,"MG/L",39.89,"MG/L",0.046,"MG N/L",NA,"",0,"MG N/L",0.255,"MG/L",8.08,"STD. UNITS",2.249,"MG/L",38,"UG/L",14.348,"MG/L",18.99,"MG/L",21.663,"MG/L",10.4,"MG/L",7.26,"NTU"
"WARO-1044",1,0.013,"MG N/L",3072.7,"UEQ/L",32.77,"MG/L",5.73,"MG/L",3,"APHA PT-CO",352,"US/CM AT 25 C",1.23,"MG/L",11.87,"MG/L",1.824,"MG N/L",NA,"",0,"MG N/L",2.013,"MG/L",7.95,"STD. UNITS",5.85,"MG/L",152,"UG/L",27.43,"MG/L",24.54,"MG/L",16.066,"MG/L",1.9,"MG/L",0.48,"NTU"
"ARR9-0901",2,0.01,"MG N/L",2587.669,"UEQ/L",41.1,"MG/L",20.371,"MG/L",12.5,"APHA PT-CO",441,"US/CM AT 25 C",3.3927,"MG/L",15.095,"MG/L",0.3287,"MG N/L",0.3287,"MG N/L",NA,"",1.268,"MG/L",NA,"",3.66,"MG/L",144,"UG/L",5.696,"MG/L",25.66,"MG/L",74.119,"MG/L",21,"MG/L",16.7,"NTU"
"ORRF-0105",1,0.013,"MG N/L",495.49,"UEQ/L",6.2,"MG/L",1.337,"MG/L",8,"APHA PT-CO",58.8,"US/CM AT 25 C",1.44,"MG/L",1.503,"MG/L",0.022,"MG N/L",NA,"",0.002,"MG N/L",0.13,"MG/L",7.68,"STD. UNITS",0.419,"MG/L",49,"UG/L",13.735,"MG/L",3.36,"MG/L",1.304,"MG/L",7.1,"MG/L",3.98,"NTU"
"TXRM-1006",1,0.12,"MG N/L",2690.29,"UEQ/L",44.93,"MG/L",17.056,"MG/L",20,"APHA PT-CO",337,"US/CM AT 25 C",6.05,"MG/L",7.324,"MG/L",0.008,"MG N/L",NA,"",0,"MG N/L",0.819,"MG/L",8.06,"STD. UNITS",6.837,"MG/L",105,"UG/L",9.974,"MG/L",12.16,"MG/L",12.913,"MG/L",54.8,"MG/L",45.26,"NTU"
"NYRO-1054",1,0.018,"MG N/L",1972.36,"UEQ/L",34.99,"MG/L",21.426,"MG/L",15,"APHA PT-CO",281,"US/CM AT 25 C",2.68,"MG/L",5.769,"MG/L",0.617,"MG N/L",NA,"",0.001,"MG N/L",0.908,"MG/L",8.12,"STD. UNITS",1.322,"MG/L",39,"UG/L",4.277,"MG/L",14.64,"MG/L",7.013,"MG/L",9,"MG/L",6.32,"NTU"
"WIS9-0932",1,0.0168,"MG N/L",2757.516,"UEQ/L",33.7,"MG/L",9.23,"MG/L",15,"APHA PT-CO",287,"US/CM AT 25 C",3.6,"MG/L",13.4,"MG/L",0.469,"MG N/L",0.494,"MG N/L",NA,"",0.874,"MG/L",8.1,"STD. UNITS",1.22,"MG/L",47.6,"UG/L",20.1,"MG/L",5.17,"MG/L",3.29,"MG/L",2,"MG/L",2.21,"NTU"
"ORLS-1096",1,0.009,"MG N/L",4079.79,"UEQ/L",43.8,"MG/L",14.014,"MG/L",12,"APHA PT-CO",448,"US/CM AT 25 C",3.21,"MG/L",16.52,"MG/L",0.032,"MG N/L",NA,"",0,"MG N/L",0.256,"MG/L",8.05,"STD. UNITS",5.978,"MG/L",210,"UG/L",51.919,"MG/L",29.75,"MG/L",11.819,"MG/L",2,"MG/L",1.67,"NTU"
"ORRO-1058",1,0.011,"MG N/L",1317.44,"UEQ/L",11,"MG/L",0.974,"MG/L",15,"APHA PT-CO",135.1,"US/CM AT 25 C",2.73,"MG/L",4.967,"MG/L",0.002,"MG N/L",NA,"",0,"MG N/L",0.24,"MG/L",7.95,"STD. UNITS",1.489,"MG/L",124,"UG/L",26.681,"MG/L",10.3,"MG/L",1.303,"MG/L",11.2,"MG/L",6.99,"NTU"
"MOR9-0909",1,0.009,"MG N/L",4443.41,"UEQ/L",68.61,"MG/L",8.046,"MG/L",10,"APHA PT-CO",609,"US/CM AT 25 C",1.31,"MG/L",38.76,"MG/L",0.031,"MG N/L",NA,"",0,"MG N/L",0.163,"MG/L",8.27,"STD. UNITS",2.29,"MG/L",24,"UG/L",8.675,"MG/L",6.51,"MG/L",97.394,"MG/L",2.3,"MG/L",1.53,"NTU"
"ALS9-0920",1,0.009,"MG N/L",414.09,"UEQ/L",6.52,"MG/L",2.075,"MG/L",35,"APHA PT-CO",74.3,"US/CM AT 25 C",8.56,"MG/L",2.291,"MG/L",0.087,"MG N/L",NA,"",0.001,"MG N/L",0.645,"MG/L",7.02,"STD. UNITS",2.316,"MG/L",89,"UG/L",9.341,"MG/L",3.3,"MG/L",8.268,"MG/L",44.7,"MG/L",47.71,"NTU"
"NCRF-0003",1,0.009,"MG N/L",127.8,"UEQ/L",1.24,"MG/L",4.265,"MG/L",54,"APHA PT-CO",33.5,"US/CM AT 25 C",5.98,"MG/L",1.085,"MG/L",0.122,"MG N/L",NA,"",0.001,"MG N/L",0.305,"MG/L",6.79,"STD. UNITS",1.76,"MG/L",21,"UG/L",5.666,"MG/L",2.79,"MG/L",0.396,"MG/L",0.4,"MG/L",1.98,"NTU"
"ALSS-1066",1,0.008,"MG N/L",301.1,"UEQ/L",8.03,"MG/L",7.102,"MG/L",16,"APHA PT-CO",85.1,"US/CM AT 25 C",1.49,"MG/L",2.292,"MG/L",3.017,"MG N/L",NA,"",0.002,"MG N/L",3.008,"MG/L",7.37,"STD. UNITS",0.787,"MG/L",20,"UG/L",9.895,"MG/L",3.23,"MG/L",0.549,"MG/L",0.5,"MG/L",1.34,"NTU"
"NCR9-0909",1,0.019,"MG N/L",703.73,"UEQ/L",8.47,"MG/L",14.659,"MG/L",30,"APHA PT-CO",154.1,"US/CM AT 25 C",6.32,"MG/L",3.322,"MG/L",0.425,"MG N/L",NA,"",0.001,"MG N/L",0.814,"MG/L",7.75,"STD. UNITS",4.058,"MG/L",83,"UG/L",6.305,"MG/L",15.72,"MG/L",10.18,"MG/L",1.4,"MG/L",1.95,"NTU"
"NCR9-0908",1,0.026,"MG N/L",568.63,"UEQ/L",7.33,"MG/L",13.9,"MG/L",32,"APHA PT-CO",143.4,"US/CM AT 25 C",6.18,"MG/L",2.97,"MG/L",0.991,"MG N/L",NA,"",0.001,"MG N/L",1.428,"MG/L",7.55,"STD. UNITS",3.743,"MG/L",170,"UG/L",6.186,"MG/L",14.85,"MG/L",10.216,"MG/L",326,"MG/L",6.93,"NTU"
"COLS-1065",1,0.013,"MG N/L",2571.74,"UEQ/L",36.66,"MG/L",3.193,"MG/L",30,"APHA PT-CO",277,"US/CM AT 25 C",4.62,"MG/L",5.718,"MG/L",0.017,"MG N/L",NA,"",0,"MG N/L",0.406,"MG/L",8.28,"STD. UNITS",2.041,"MG/L",251,"UG/L",8.125,"MG/L",15.49,"MG/L",13.407,"MG/L",89.5,"MG/L",174.24,"NTU"
"ORRF-0101",1,0.019,"MG N/L",649.12,"UEQ/L",8.41,"MG/L",7.265,"MG/L",30,"APHA PT-CO",103.4,"US/CM AT 25 C",2.64,"MG/L",2.259,"MG/L",0.011,"MG N/L",NA,"",0.001,"MG N/L",0.131,"MG/L",7.73,"STD. UNITS",1.364,"MG/L",80,"UG/L",16.866,"MG/L",8.53,"MG/L",4.704,"MG/L",2,"MG/L",1.61,"NTU"
"CORM-1003",1,0.014,"MG N/L",684.22,"UEQ/L",11.76,"MG/L",1.424,"MG/L",30,"APHA PT-CO",107.8,"US/CM AT 25 C",4.29,"MG/L",2.192,"MG/L",0.269,"MG N/L",NA,"",0.001,"MG N/L",0.619,"MG/L",7.74,"STD. UNITS",1.528,"MG/L",805,"UG/L",16.245,"MG/L",5.9,"MG/L",13.643,"MG/L",448.2,"MG/L",120.55,"NTU"
"ORRF-0102",1,0.01,"MG N/L",649.49,"UEQ/L",8.12,"MG/L",4.193,"MG/L",14,"APHA PT-CO",91.7,"US/CM AT 25 C",1.42,"MG/L",2.381,"MG/L",0.2,"MG N/L",NA,"",0.001,"MG N/L",0.316,"MG/L",7.85,"STD. UNITS",0.471,"MG/L",45,"UG/L",15.221,"MG/L",6.64,"MG/L",3.866,"MG/L",1.1,"MG/L",0.01,"NTU"
"ALS9-0921",1,0.095,"MG N/L",195.5,"UEQ/L",2.39,"MG/L",3.291,"MG/L",23,"APHA PT-CO",41.1,"US/CM AT 25 C",6.35,"MG/L",1.161,"MG/L",0.019,"MG N/L",NA,"",0.001,"MG N/L",0.424,"MG/L",6.52,"STD. UNITS",1.437,"MG/L",48,"UG/L",11.632,"MG/L",2.17,"MG/L",1.916,"MG/L",14.2,"MG/L",24.18,"NTU"
"RISS-1081",1,0.01,"MG N/L",116.67,"UEQ/L",2.87,"MG/L",6.982,"MG/L",38,"APHA PT-CO",50.2,"US/CM AT 25 C",3.7,"MG/L",0.615,"MG/L",0.022,"MG N/L",NA,"",0,"MG N/L",0.143,"MG/L",6.88,"STD. UNITS",1.298,"MG/L",19,"UG/L",9.73,"MG/L",4.98,"MG/L",3.792,"MG/L",0,"MG/L",0.01,"NTU"
"NYSS-1242",1,0,"MG N/L",401.85,"UEQ/L",6.58,"MG/L",4.412,"MG/L",10,"APHA PT-CO",67.9,"US/CM AT 25 C",1.44,"MG/L",1.504,"MG/L",0.011,"MG N/L",NA,"",0.001,"MG N/L",0.096,"MG/L",7.4,"STD. UNITS",0.735,"MG/L",27,"UG/L",4.073,"MG/L",3.87,"MG/L",3.997,"MG/L",6,"MG/L",0.39,"NTU"
"NYSS-1255",1,0.008,"MG N/L",3828.42,"UEQ/L",64.78,"MG/L",72.477,"MG/L",23,"APHA PT-CO",652,"US/CM AT 25 C",5.4,"MG/L",15.43,"MG/L",0.003,"MG N/L",NA,"",0,"MG N/L",0.334,"MG/L",8.11,"STD. UNITS",4.064,"MG/L",123,"UG/L",5.848,"MG/L",50.02,"MG/L",28.671,"MG/L",47.1,"MG/L",32.76,"NTU"
"WISS-1168",1,0.017,"MG N/L",5475.068,"UEQ/L",63.8,"MG/L",10.5,"MG/L",10,"APHA PT-CO",546,"US/CM AT 25 C",1.7,"MG/L",35.6,"MG/L",3.94,"MG N/L",4.22,"MG N/L",NA,"",4.58,"MG/L",8.24,"STD. UNITS",1.5,"MG/L",41.7,"UG/L",15.5,"MG/L",4.14,"MG/L",9.25,"MG/L",11.6,"MG/L",3.82,"NTU"
"KSRS-1330",1,0.007,"MG N/L",5512.45,"UEQ/L",88.11,"MG/L",6.527,"MG/L",10,"APHA PT-CO",558,"US/CM AT 25 C",2.48,"MG/L",17.41,"MG/L",0.569,"MG N/L",NA,"",0,"MG N/L",0.885,"MG/L",8.18,"STD. UNITS",3.013,"MG/L",156,"UG/L",17.073,"MG/L",11.46,"MG/L",22.409,"MG/L",6.2,"MG/L",4.03,"NTU"
"COS9-0931",1,0.009,"MG N/L",727,"UEQ/L",14.3,"MG/L",0.189,"MG/L",10,"APHA PT-CO",94.3,"US/CM AT 25 C",1.43,"MG/L",1.566,"MG/L",0.028,"MG N/L",NA,"",0.001,"MG N/L",0.095,"MG/L",7.77,"STD. UNITS",0.642,"MG/L",15,"UG/L",7.259,"MG/L",1.66,"MG/L",7.718,"MG/L",1.4,"MG/L",0.01,"NTU"
"COSS-1109",1,0,"MG N/L",1212.11,"UEQ/L",23.54,"MG/L",0.248,"MG/L",1,"APHA PT-CO",138.8,"US/CM AT 25 C",0.53,"MG/L",1.531,"MG/L",0.129,"MG N/L",NA,"",0.001,"MG N/L",0.201,"MG/L",7.98,"STD. UNITS",1.559,"MG/L",25,"UG/L",9.729,"MG/L",1.78,"MG/L",7.165,"MG/L",4.9,"MG/L",2.37,"NTU"
"ARS9-0945",2,0.03879,"MG N/L",3033.2676,"UEQ/L",26.66,"MG/L",2.741,"MG/L",15,"APHA PT-CO",270.2,"US/CM AT 25 C",2.6105,"MG/L",17.094,"MG/L",0.06398,"MG N/L",0.06653,"MG N/L",NA,"",0.351,"MG/L",NA,"",2.182,"MG/L",10,"UG/L",4.934,"MG/L",1.545,"MG/L",1.898,"MG/L",15,"MG/L",1.3,"NTU"
"MOLS-1085",1,0.01,"MG N/L",4835.76,"UEQ/L",87.21,"MG/L",6.175,"MG/L",27,"APHA PT-CO",552,"US/CM AT 25 C",3.7,"MG/L",15.37,"MG/L",0.076,"MG N/L",NA,"",0,"MG N/L",1.041,"MG/L",8.16,"STD. UNITS",7.463,"MG/L",143,"UG/L",7.431,"MG/L",11.58,"MG/L",46.678,"MG/L",26,"MG/L",8.43,"NTU"
"NYRM-1007",1,0.013,"MG N/L",1377.55,"UEQ/L",26.91,"MG/L",16.033,"MG/L",15,"APHA PT-CO",212,"US/CM AT 25 C",2,"MG/L",2.993,"MG/L",0.469,"MG N/L",NA,"",0.001,"MG N/L",0.64,"MG/L",7.95,"STD. UNITS",1.182,"MG/L",24,"UG/L",3.729,"MG/L",11.13,"MG/L",7.498,"MG/L",4.2,"MG/L",2.19,"NTU"
"MOR9-0910",1,0.019,"MG N/L",2549.04,"UEQ/L",26.1,"MG/L",6.977,"MG/L",15,"APHA PT-CO",284,"US/CM AT 25 C",3.43,"MG/L",17.1,"MG/L",0.002,"MG N/L",NA,"",0,"MG N/L",0.37,"MG/L",8.01,"STD. UNITS",4.031,"MG/L",99,"UG/L",9.718,"MG/L",5.93,"MG/L",10.101,"MG/L",16,"MG/L",9.76,"NTU"
"MTR9-0901",2,0,"MG N/L",2335.61,"UEQ/L",33.77,"MG/L",3.794,"MG/L",7,"APHA PT-CO",266,"US/CM AT 25 C",1.3,"MG/L",9.69,"MG/L",0,"MG N/L",NA,"",0,"MG N/L",0.196,"MG/L",8.32,"STD. UNITS",1.889,"MG/L",41,"UG/L",8.817,"MG/L",8.01,"MG/L",16.878,"MG/L",12.6,"MG/L",3.88,"NTU"
"CORM-1002",1,0,"MG N/L",1709.71,"UEQ/L",32.42,"MG/L",1.151,"MG/L",5,"APHA PT-CO",210,"US/CM AT 25 C",1.55,"MG/L",5.744,"MG/L",0.015,"MG N/L",NA,"",0,"MG N/L",0.134,"MG/L",8.11,"STD. UNITS",0.815,"MG/L",26,"UG/L",7.271,"MG/L",2.52,"MG/L",19.287,"MG/L",5,"MG/L",2.79,"NTU"
"ARSS-1091",1,0.0149,"MG N/L",1590.36738,"UEQ/L",9.703,"MG/L",14.921,"MG/L",175,"APHA PT-CO",217.2,"US/CM AT 25 C",22.8802,"MG/L",2.3979,"MG/L",0.02,"MG N/L",0.02,"MG N/L",NA,"",1.328,"MG/L",NA,"",13.27,"MG/L",269,"UG/L",7.527,"MG/L",7.731,"MG/L",4.039,"MG/L",16,"MG/L",23.6,"NTU"
"OHLS-1068",1,0.082,"MG N/L",754.88,"UEQ/L",49.85,"MG/L",7.835,"MG/L",1,"APHA PT-CO",416,"US/CM AT 25 C",2.37,"MG/L",11.84,"MG/L",0.124,"MG N/L",NA,"",0.001,"MG N/L",0.298,"MG/L",7.58,"STD. UNITS",2.812,"MG/L",26,"UG/L",12.894,"MG/L",12.97,"MG/L",142.546,"MG/L",2.3,"MG/L",2.86,"NTU"
"ORR9-0908",1,0.009,"MG N/L",596.11,"UEQ/L",5.81,"MG/L",1.946,"MG/L",11,"APHA PT-CO",70.9,"US/CM AT 25 C",0.78,"MG/L",2.066,"MG/L",0.004,"MG N/L",NA,"",0.001,"MG N/L",0.086,"MG/L",7.81,"STD. UNITS",1.072,"MG/L",92,"UG/L",26.892,"MG/L",5.18,"MG/L",1.661,"MG/L",2.7,"MG/L",0.89,"NTU"
"VAR9-0905",1,0.009,"MG N/L",3609.31,"UEQ/L",51.73,"MG/L",27.627,"MG/L",13,"APHA PT-CO",478,"US/CM AT 25 C",1.76,"MG/L",18.75,"MG/L",2.304,"MG N/L",NA,"",0,"MG N/L",2.698,"MG/L",8.25,"STD. UNITS",4.858,"MG/L",37,"UG/L",5.53,"MG/L",19.92,"MG/L",18.729,"MG/L",1.7,"MG/L",0.67,"NTU"
"KSS9-0934",1,0.005,"MG N/L",2030.15,"UEQ/L",41.5,"MG/L",47.815,"MG/L",18,"APHA PT-CO",394,"US/CM AT 25 C",6.84,"MG/L",9.713,"MG/L",0.001,"MG N/L",NA,"",0,"MG N/L",0.473,"MG/L",8.11,"STD. UNITS",4.361,"MG/L",39,"UG/L",1.225,"MG/L",20.92,"MG/L",16.307,"MG/L",8.1,"MG/L",11.25,"NTU"
"RISS-1082",1,0,"MG N/L",178.77,"UEQ/L",4.06,"MG/L",18.666,"MG/L",14,"APHA PT-CO",108,"US/CM AT 25 C",1.26,"MG/L",1.612,"MG/L",0.781,"MG N/L",NA,"",0.001,"MG N/L",0.89,"MG/L",6.92,"STD. UNITS",0.752,"MG/L",29,"UG/L",14.031,"MG/L",13.38,"MG/L",6.435,"MG/L",0.4,"MG/L",0.01,"NTU"
