"SITE_ID","VISIT_NO","AMMONIA_N_RESULT","AMMONIA_N_RESULT_UNITS","ANC_RESULT","ANC_RESULT_UNITS","CALCIUM_RESULT","CALCIUM_RESULT_UNITS","CHLORIDE_RESULT","CHLORIDE_RESULT_UNITS","COLOR_RESULT","COLOR_RESULT_UNITS","COND_RESULT","COND_RESULT_UNITS","DOC_RESULT","DOC_RESULT_UNITS","MAGNESIUM_RESULT","MAGNESIUM_RESULT_UNITS","NITRATE_N_RESULT","NITRATE_N_RESULT_UNITS","NITRATE_NITRITE_N_RESULT","NITRATE_NITRITE_N_RESULT_UNITS","NITRITE_N_RESULT","NITRITE_N_RESULT_UNITS","NTL_RESULT","NTL_RESULT_UNITS","PH_RESULT","PH_RESULT_UNITS","POTASSIUM_RESULT","POTASSIUM_RESULT_UNITS","PTL_RESULT","PTL_RESULT_UNITS","SILICA_RESULT","SILICA_RESULT_UNITS","SODIUM_RESULT","SODIUM_RESULT_UNITS","SULFATE_RESULT","SULFATE_RESULT_UNITS","TSS_RESULT","TSS_RESULT_UNITS","TURB_RESULT","TURB_RESULT_UNITS"
"MIS9-0927",1,0.003,"MG N/L",3385.23,"UEQ/L",50.24,"MG/L",6.514,"MG/L",31,"APHA PT-CO",343,"US/CM AT 25 C",4.12,"MG/L",13.87,"MG/L",0.085,"MG N/L",NA,"",0,"MG N/L",0.313,"MG/L",8.29,"STD. UNITS",1.033,"MG/L",32,"UG/L",10.391,"MG/L",5.1,"MG/L",10.768,"MG/L",3.9,"MG/L",3.46,"NTU"
"SDRM-1007",1,0.002,"MG N/L",3523.65,"UEQ/L",350.4,"MG/L",704.385,"MG/L",22,"APHA PT-CO",5300,"US/CM AT 25 C",4.77,"MG/L",127,"MG/L",0,"MG N/L",NA,"",0,"MG N/L",0.635,"MG/L",7.87,"STD. UNITS",11.92,"MG/L",86,"UG/L",8.192,"MG/L",760.8,"MG/L",1811.313,"MG/L",63,"MG/L",32.32,"NTU"
"CAS9-0929",1,0.0024,"MG N/L",3730,"UEQ/L",52.2,"MG/L",15.2,"MG/L",10,"APHA PT-CO",526,"US/CM AT 25 C",3.27,"MG/L",20.1,"MG/L",0.0688,"MG N/L",0.0688,"MG N/L",NA,"",0.166,"MG/L",7.94,"STD. UNITS",2.6,"MG/L",30,"UG/L",12.2,"MG/L",36.6,"MG/L",79.9,"MG/L",0.9,"MG/L",0.45,"NTU"
"WIS9-0929",1,0.0427,"MG N/L",2417.822,"UEQ/L",30.7,"MG/L",53.7,"MG/L",50,"APHA PT-CO",283,"US/CM AT 25 C",11,"MG/L",12.1,"MG/L",0.117,"MG N/L",0.111,"MG N/L",NA,"",0.963,"MG/L",7.82,"STD. UNITS",3.24,"MG/L",274,"UG/L",4.25,"MG/L",8.5,"MG/L",4.14,"MG/L",4.4,"MG/L",5.24,"NTU"
"WAR9-0908",1,0.014,"MG N/L",1873.35,"UEQ/L",22.6,"MG/L",6.519,"MG/L",15,"APHA PT-CO",239,"US/CM AT 25 C",1.63,"MG/L",8.568,"MG/L",0.969,"MG N/L",NA,"",0.002,"MG N/L",1.238,"MG/L",8.24,"STD. UNITS",2.713,"MG/L",100,"UG/L",19.7,"MG/L",13.1,"MG/L",13.913,"MG/L",3,"MG/L",1.15,"NTU"
"OHSS-1127",1,0.021,"MG N/L",2246.6,"UEQ/L",39.87,"MG/L",20.075,"MG/L",40,"APHA PT-CO",306,"US/CM AT 25 C",7.53,"MG/L",7.869,"MG/L",0.115,"MG N/L",NA,"",0,"MG N/L",0.641,"MG/L",8.1,"STD. UNITS",2.719,"MG/L",89,"UG/L",9.431,"MG/L",13.14,"MG/L",15.265,"MG/L",1.5,"MG/L",2.44,"NTU"
"IAS9-0924",1,0.003,"MG N/L",3825.1,"UEQ/L",71.2,"MG/L",6.108,"MG/L",21,"APHA PT-CO",511,"US/CM AT 25 C",2.23,"MG/L",18.32,"MG/L",1.123,"MG N/L",NA,"",0,"MG N/L",1.469,"MG/L",8.27,"STD. UNITS",3.123,"MG/L",115,"UG/L",14.914,"MG/L",13.63,"MG/L",70.985,"MG/L",26.2,"MG/L",8.24,"NTU"
"MTS9-0932",1,0.002,"MG N/L",749.28,"UEQ/L",11.95,"MG/L",0.226,"MG/L",15,"APHA PT-CO",90.6,"US/CM AT 25 C",0.78,"MG/L",1.812,"MG/L",0.021,"MG N/L",NA,"",0.001,"MG N/L",0.094,"MG/L",7.95,"STD. UNITS",1.126,"MG/L",30,"UG/L",17.037,"MG/L",2.88,"MG/L",5.639,"MG/L",0.4,"MG/L",0.18,"NTU"
"ARRO-1024",1,0.05042,"MG N/L",1269.05682,"UEQ/L",16.84,"MG/L",10.706,"MG/L",87.5,"APHA PT-CO",202.9,"US/CM AT 25 C",9.2443,"MG/L",5.067,"MG/L",0.02,"MG N/L",0.02,"MG N/L",NA,"",0.625,"MG/L",NA,"",5.2,"MG/L",181,"UG/L",8.368,"MG/L",12.01,"MG/L",8,"MG/L",23,"MG/L",32.1,"NTU"
"MNRM-1002",1,0.01,"MG N/L",2821.42,"UEQ/L",40.19,"MG/L",8.799,"MG/L",50,"APHA PT-CO",309,"US/CM AT 25 C",10.49,"MG/L",13.66,"MG/L",0.285,"MG N/L",NA,"",0,"MG N/L",1.068,"MG/L",8.4,"STD. UNITS",1.958,"MG/L",89,"UG/L",11.915,"MG/L",6.69,"MG/L",8.907,"MG/L",9.4,"MG/L",4.17,"NTU"
