"SITE_ID","VISIT_NO","RT_WQI","CL_pt","SO4_pt","PTL_pt","NTL_pt","TURB_pt","ENTERO_PT","DO_PT","PH_PT","NUMVARN","WQII"
"ARR9-0906",1,"R",10,10,10,8.339622642,10,0,10,NA,7,83.34
"ARS9-0944",1,"S",10,10,10,10,6.041189931,10,10,NA,7,94.34
"ARS9-0944",2,"R",10,10,10,10,10,0,10,NA,7,85.71
"ARR9-0907",1,"T",0,0,0.114285714,9.892473118,10,10,10,NA,7,57.15
"ARR9-0908",1,"S",10,10,8.8,0,0,10,10,NA,7,69.71
"ARS9-0945",1,"S",10,10,10,10,10,10,10,NA,7,100
"ARS9-0945",2,"S",10,10,10,9.811320755,10,10,10,NA,7,99.73
"ARR9-0909",1,"T",7.357128421,0,0,0,7.317073171,10,10,NA,7,49.53
"ARS9-0946",1,"T",6.354012782,0,0,0,10,0,10,NA,7,37.65
"ARS9-0949",1,"S",10,10,10,0,10,10,10,NA,7,85.71
"ARS9-0950",1,"T",9.188545285,10,7.580174927,9.660377358,10,10,3,NA,7,84.9
"ARLS-1045",1,"T",3.888638722,4.168169608,3.314285714,2.043010753,0,0,2,NA,7,22.02
"ARLS-1046",1,"R",10,8.770438226,10,10,10,10,10,NA,7,98.24
"ARLS-1047",1,"R",10,10,10,10,10,0,10,NA,7,85.71
"ARLS-1048",1,"S",10,10,10,10,10,10,10,NA,7,100
"ARRM-1001",1,"S",0,0,5.6,8.258064516,10,10,10,NA,7,62.65
"ARRM-1002",1,"S",0,0,5.142857143,10,4.756097561,10,10,NA,7,57
"ARRM-1003",1,"S",10,9.583341369,9.828571429,10,0,10,10,NA,7,84.87
"ARRM-1004",1,"S",0,7.374911876,0,0,0,10,10,NA,7,39.11
"ARRM-1005",1,"S",0.495435714,0,3.2,9.440860215,5.853658537,10,10,NA,7,55.7
"ARRO-1021",1,"R",10,10,10,10,10,10,10,NA,7,100
"ARRO-1022",1,"S",10,10,10,0,10,10,10,NA,7,85.71
"ARRO-1023",1,"R",6.127092331,0.902216961,10,0,10,10,8.5,NA,7,65.04
"ARRO-1024",1,"S",5.828066316,6.346965131,0,10,0,10,4,NA,7,51.68
"ARSS-1090",1,"R",10,10,10,10,10,10,10,NA,7,100
"ARSS-1091",1,"T",1.358581729,9.897030564,0,0,0,0,0,NA,7,16.08
"AZR9-0901",1,"S",6.165110363,8.653713645,10,10,10,10,10,10,8,93.52
"AZR9-0902",1,"S",7.379301144,7.902803792,10,10,10,10,10,10,8,94.1
"AZR9-0903",1,"T",0,8.897299306,0,0,9.141940658,10,9,10,8,58.8
"AZR9-0903",2,"T",0,9.032254045,0,0,9.783480353,0,7.5,10,8,45.39
"AZR9-0904",1,"R",10,10,6.608357629,10,9.759422614,10,10,10,8,95.46
"AZR9-0913",1,"S",4.379637017,6.75450713,10,7.8,10,10,10,10,8,86.17
"AZR9-0913",2,"S",3.694478734,6.394868732,10,7.84,10,10,10,10,8,84.91
"AZS9-0929",1,"R",7.95384955,10,0,5.625,0,10,10,10,8,66.97
"AZLS-1048",1,"R",10,10,0,10,0,0,10,10,8,62.5
"AZLS-1048",2,"R",10,10,5.442176871,4.22,0,10,10,10,8,74.58
"AZLS-1054",1,"T",10,10,10,10,8.4202085,0,10,10,8,85.53
"AZLS-1054",2,"T",10,10,0.485908649,2.08,5.597433841,0,0,10,8,47.7
"AZLS-1055",1,"S",4.883376577,10,10,10,10,10,10,10,8,93.6
"AZLS-1063",1,"R",10,10,7.871720117,7.48,0,0,10,10,8,69.19
"AZLS-1072",1,"R",10,10,10,10,10,10,10,10,8,100
"AZLS-1083",1,"R",9.773545946,10,0,6.375,0,10,10,10,8,70.19
"AZRM-1001",1,"S",4.533949495,6.884541789,10,6.74,10,10,10,10,8,85.2
"AZRM-1002",1,"S",5.764278714,8.082289426,10,10,10,NA,10,10,7,91.21
"AZRM-1003",1,"S",10,10,0,0,0,10,10,10,8,62.5
"AZRM-1004",1,"S",0,10,0,8.32,0,10,10,10,8,60.4
"AZRO-1028",1,"S",2.210377113,10,6.569484937,8.52,0.938251804,10,10,10,8,72.8
"AZRO-1031",1,"R",0,3.871380226,0,10,10,10,10,10,8,67.34
"AZSS-1106",1,"S",10,10,0,0,0,10,4.5,10,8,55.63
"AZSS-1111",1,"S",9.633786486,10,0,10,4.873417722,10,10,10,8,80.63
"AZSS-1115",1,"S",10,2.774507345,10,10,10,10,10,10,8,90.97
"AZSS-1116",1,"S",10,10,10,10,10,0,10,10,8,87.5
"AZSS-1121",1,"R",10,10,10,7.4,10,10,10,10,8,96.75
"AZSS-1125",1,"R",10,10,10,10,10,10,1,10,8,88.75
"CAS9-0914",1,"S",10,10,10,10,10,10,10,10,8,100
"CAS9-0914",2,"S",10,10,10,5.28,10,10,0,10,8,81.6
"CAR9-0901",1,"S",6.190621622,10,0,0,10,10,10,10,8,70.24
"CAR9-0901",2,"S",5.752990991,10,0,0,0,10,10,10,8,57.19
"CAR9-0902",1,"T",4.865059466,0,10,0,10,10,10,10,8,68.58
"CAR9-0903",1,"T",10,10,10,10,10,10,10,10,8,100
"CAR9-0903",2,"T",10,10,10,10,10,10,10,10,8,100
"CAR9-0904",1,"T",10,10,10,10,10,10,10,10,8,100
"CAS9-0915",1,"S",10,10,10,10,10,10,10,10,8,100
"CAR9-0906",1,"S",5.103603604,10,0,0,0,0,10,10,8,43.88
"CAS9-0916",1,"S",10,10,10,10,10,10,10,10,8,100
"CAS9-0916",2,"S",10,8.815836158,10,10,10,10,10,10,8,98.52
"CAS9-0917",1,"S",10,10,10,10,10,0,10,10,8,87.5
"CAR9-0908",1,"S",6.783540541,10,9.782608696,7.8125,10,0,10,10,8,80.47
"CAR9-0909",1,"T",7.941144144,10,10,10,10,10,NA,10,7,97.06
"CAR9-0910",1,"T",10,10,9.144800777,0,10,10,10,10,8,86.43
"CAR9-0911",1,"S",4.454216216,0.975988701,10,10,10,0,10,10,8,69.29
"CAR9-0912",1,"T",10,10,10,10,10,10,10,10,8,100
"CAR9-0913",1,"S",5.696522523,10,0,0,0,10,10,10,8,57.12
"CAS9-0918",1,"S",10,10,10,10,10,10,10,10,8,100
"CAS9-0919",1,"R",10,10,10,10,10,10,10,10,8,100
"CAS9-0920",1,"T",0,10,5.956521739,10,3.860759494,10,10,10,8,74.77
"CAS9-0921",1,"S",10,10,10,10,10,10,10,10,8,100
"CAS9-0923",1,"S",10,10,10,10,10,10,10,10,8,100
"CAS9-0924",1,"S",10,10,10,10,10,10,10,10,8,100
"CAS9-0925",1,"T",8.183412408,10,10,10,10,10,7,10,8,93.98
"CAS9-0926",1,"S",5.145954955,10,10,2.1875,10,10,10,10,8,84.17
"CAS9-0927",1,"S",10,10,10,10,10,10,10,10,8,100
"CAS9-0928",1,"S",10,10,10,9.28,10,0,10,10,8,86.6
"CAS9-0929",1,"T",0,0,10,9.0625,10,10,10,10,8,73.83
"CAS9-0930",1,"T",10,10,10,10,10,10,10,10,8,100
"CALS-1087",1,"T",10,10,10,10,10,10,10,10,8,100
"CALS-1089",1,"T",0.331790421,10,0,0,7.939053729,10,10,10,8,60.34
"CALS-1098",1,"S",6.600018018,10,10,10,10,10,10,10,8,95.75
"CALS-1099",1,"R",10,10,10,10,10,10,10,10,8,100
"CALS-1102",1,"R",10,10,10,10,10,10,10,10,8,100
"CALS-1106",1,"T",5.541234234,10,10,10,10,10,10,10,8,94.43
"CALS-1108",1,"T",10,10,0.874635569,3.58,3.287890938,10,10,10,8,72.18
"CALS-1115",1,"S",10,10,10,10,10,0,10,10,8,87.5
"CALS-1116",1,"S",5.978864865,10,10,0,8.291139241,10,10,10,8,80.34
"CALS-1120",1,"R",10,10,10,10,10,10,10,10,8,100
"CARM-1002",1,"S",10,10,10,10,10,10,10,10,8,100
"CARM-1003",1,"T",4.257601414,10,0,0,6.014434643,10,10,10,8,62.84
"CARM-1004",1,"S",6.134153153,10,1.108695652,0,10,10,NA,10,7,67.49
"CARM-1006",1,"T",0,6.815327103,0,0,0.080192462,10,10,10,8,46.12
"CARM-1007",1,"T",10,10,10,9.6,8.82117081,10,10,10,8,98.03
"CARM-1010",1,"T",10,10,10,10,10,10,10,10,8,100
"CARM-1011",1,"S",10,10,10,10,10,10,10,10,8,100
"CARM-1012",1,"S",0,3.504971751,10,7.5,2.594936709,10,10,10,8,67
"CARM-1014",1,"S",10,10,10,10,10,10,10,10,8,100
"CARO-1040",1,"T",10,10,8.804664723,4.48,9.623095429,0,10,10,8,78.63
"CARO-1042",1,"S",10,10,10,0,10,10,10,10,8,87.5
"CARO-1043",1,"T",10,10,10,10,10,10,10,10,8,100
"CARO-1047",1,"S",10,10,10,10,10,10,10,10,8,100
"CARO-1048",1,"S",9.679391193,10,10,6.42,10,10,10,10,8,95.12
"CARO-1050",1,"S",10,10,10,10,10,10,10,10,8,100
"CARO-1051",1,"T",10,10,0,0,10,10,10,10,8,75
"CARO-1060",1,"T",6.120036036,10,10,10,10,10,10,10,8,95.15
"CASS-1181",1,"R",10,10,10,10,10,10,10,10,8,100
"CASS-1183",1,"S",0,10,9.130434783,7.5,10,10,10,10,8,83.29
"CASS-1215",1,"T",10,10,10,6.1,10,0,10,10,8,82.63
"CASS-1226",1,"R",10,10,10,10,10,10,10,10,8,100
"CASS-1248",1,"S",10,10,10,10,10,10,10,10,8,100
"CASS-1271",1,"R",10,10,10,10,10,10,10,10,8,100
"CASS-1275",1,"S",10,10,10,10,10,10,10,10,8,100
"CASS-1278",1,"S",10,10,10,10,10,10,10,10,8,100
"CASS-1297",1,"S",10,10,10,10,10,10,10,10,8,100
"CASS-1313",1,"T",10,10,10,10,10,0,10,10,8,87.5
"CASS-1339",1,"S",10,10,10,10,10,10,5,10,8,93.75
"CASS-1350",1,"S",10,10,10,10,10,10,10,10,8,100
"CASS-1357",1,"T",0,10,0,0,10,10,10,10,8,62.5
"COR9-0901",1,"S",8.209433372,0,0,0,0,0,9,10,8,34.01
"COS9-0920",1,"S",10,9.31339887,0,9.8125,6.582278481,10,10,10,8,82.14
"COS9-0920",2,"S",10,8.645864972,0,8.9375,0,10,10,10,8,71.98
"COR9-0902",1,"S",10,5.966488198,0.583090379,0,0,10,10,10,8,58.19
"COR9-0902",2,"S",10,6.015383231,0,0,0,10,10,10,8,57.52
"COS9-0921",1,"R",10,10,10,10,10,10,10,10,8,100
"COS9-0921",2,"?",10,10,10,10,10,NA,NA,10,6,NA
"COR9-0903",1,"?",9.950632493,0,10,10,10,NA,NA,10,6,NA
"COS9-0922",1,"S",10,10,0,8.25,10,10,10,10,8,85.31
"COS9-0923",1,"T",10,10,10,10,10,0,10,10,8,87.5
"COR9-0904",1,"T",9.880818647,7.437407087,8.897959184,0,10,10,10,10,8,82.77
"COR9-0905",1,"S",10,10,0,7.94,0,10,10,10,8,72.43
"COR9-0906",1,"T",9.932482419,8.854577355,0,0,9.245283019,10,10,10,8,72.54
"COR9-0907",1,"S",10,10,10,10,4.971932638,10,10,10,8,93.71
"COS9-0924",1,"?",10,0,6.956521739,6.375,1.075949367,10,10,10,8,68.01
"COR9-0908",1,"T",0,0,0,0,0,10,10,10,8,37.5
"COR9-0908",2,"T",0,0,0,8.25,0,10,10,10,8,47.81
"COR9-0909",1,"T",9.834974815,10,0,0,10,10,10,10,8,74.79
"COS9-0925",1,"?",10,10,0,4.52,10,NA,10,10,7,77.89
"COS9-0926",1,"?",10,10,8.489795918,0,10,10,10,10,8,85.61
"COS9-0927",1,"R",0,0,10,9.75,10,0,10,10,8,62.19
"COS9-0928",1,"S",10,1.765073351,10,8.7,5.870088212,10,10,10,8,82.92
"COS9-0929",1,"?",0,0,10,1.4375,10,10,10,10,8,64.3
"COS9-0930",1,"S",4.908787387,10,0,1.125,0,10,10,10,8,57.54
"COS9-0931",1,"R",10,9.66980904,10,10,10,10,10,10,8,99.59
"COS9-0932",1,"S",10,10,4.565217391,5.5,10,10,10,10,8,87.58
"COS9-0934",1,"S",8.370304505,6.720897175,5.217391304,10,10,10,10,10,8,87.89
"COS9-0937",1,"R",10,10,10,10,10,10,10,10,8,100
"COS9-0938",1,"R",10,9.546300565,10,10,10,10,10,10,8,99.43
"COLS-1060",1,"S",10,10,3.695652174,10,10,0,10,10,8,79.62
"COLS-1061",1,"R",10,10,7.739130435,10,7.784810127,10,10,10,8,94.4
"COLS-1064",1,"?",10,8.58469887,10,10,10,10,10,10,8,98.23
"COLS-1065",1,"S",10,10,0,8.78,0,10,10,10,8,73.48
"COLS-1068",1,"S",10,10,10,10,10,10,10,10,8,100
"COLS-1070",1,"T",10,10,10,9.375,10,NA,10,10,7,99.11
"CORM-1001",1,"S",6.247253198,7.368155087,0,0,0,10,10,10,8,54.52
"CORM-1002",1,"S",10,2.865668362,10,10,1.392405063,10,10,10,8,80.32
"CORM-1003",1,"S",10,6.18510565,0,0,0,10,10,10,8,57.73
"CORM-1004",1,"S",10,10,10,10,10,10,10,10,8,100
"CORM-1005",1,"S",0.51711046,10,10,10,0.008019246,10,10,10,8,75.66
"CORM-1007",1,"S",10,10,10,10,5.501202887,10,10,10,8,94.38
"CORO-1032",1,"T",10,10,0,0,0.849056604,0,10,10,8,51.06
"CORO-1033",1,"T",10,9.303985034,0,0,3.254716981,10,10,10,8,65.7
"CORO-1034",1,"S",10,10,10,10,10,10,10,10,8,100
"CORO-1035",1,"T",9.973280124,10,0,0,6.004716981,10,10,10,8,69.97
"COSS-1095",1,"R",10,10,0,0,5.632911392,10,10,10,8,69.54
"COSS-1097",1,"T",9.751126994,7.942327344,8.612244898,0,7.570754717,10,10,10,8,79.85
"COSS-1099",1,"R",10,10,6.956521739,10,10,10,10,10,8,96.2
"COSS-1104",1,"R",10,10,10,8.875,10,10,10,10,8,98.59
"COSS-1107",1,"T",10,10,10,10,10,10,10,10,8,100
"COSS-1109",1,"R",10,9.995048023,10,6.875,4.050632911,10,10,10,8,88.65
"COSS-1111",1,"R",10,10,2.173913043,0,0,10,10,10,8,65.22
"COSS-1114",1,"S",10,10,7.826086957,4.25,9.17721519,10,10,10,8,89.07
"COSS-1115",1,"S",10,3.529673446,10,7.9375,10,10,10,10,8,89.33
"CORF-0001",1,"S",10,10,10,10,10,10,10,10,8,100
"CORF-0002",1,"S",10,10,10,9.24,10,10,10,10,8,99.05
"CORF-0003",1,"S",10,10,10,0,10,10,10,10,8,87.5
"CORF-0004",1,"S",10,10,10,10,10,10,10,10,8,100
"CORF-0005",1,"S",10,10,10,10,8.981555734,10,10,10,8,98.73
"CTS9-0916",1,"S",10,7.175564007,5.661971831,10,10,10,10,10,8,91.05
"CTS9-0916",2,"S",10,8.226220779,3.267605634,8.986928105,10,10,10,10,8,88.1
"CTS9-0917",1,"T",3.142963803,5.897007421,0,0,0,0,10,10,8,36.3
"CTR9-0901",1,"S",0,6.621265306,0,2.385620915,10,0,10,10,8,48.76
"CTR9-0901",2,"S",0,6.207955473,0,1.503267974,10,0,10,10,8,47.14
"CTR9-0902",1,"S",0,0.415823748,6.647887324,0,10,0,10,10,8,46.33
"CTR9-0903",1,"T",0.673283521,4.365443414,0,3.006535948,8.488372093,10,10,10,8,58.17
"CTR9-0906",1,"S",0,5.665244898,0,0,0,0,10,10,8,32.08
"CTR9-0906",2,"S",0,5.230690167,0,0,5.755813953,0,10,10,8,38.73
"CTS9-0921",1,"S",0.33163338,4.807723562,5.802816901,0,10,0,10,10,8,51.18
"CTS9-0921",2,"S",0,0,8.901408451,0,10,10,10,10,8,61.13
"CTLS-1044",1,"S",0,10,7.267605634,3.62745098,10,0,10,10,8,63.62
"CTLS-1045",1,"T",0,2.67164564,0,0,0,0,10,10,8,28.34
"CTLS-1047",1,"S",5.298802676,4.091191095,10,10,10,10,10,10,8,86.74
"CTRM-1001",1,"T",0.664676056,4.552784787,0,3.529411765,10,10,10,10,8,60.93
"CTRM-1002",1,"T",0.011832958,4.3152282,0,0.653594771,10,10,10,10,8,56.23
"CTRM-1003",1,"T",1.720083662,4.950643785,1.577464789,3.62745098,10,0,10,10,8,52.34
"CTRO-1019",1,"T",1.459211268,10,8.901408451,10,10,10,10,10,8,87.95
"CTRO-1020",1,"S",0,6.938007421,0,0.718954248,10,10,10,10,8,59.57
"CTRO-1021",1,"T",0,2.221640074,6.929577465,6.568627451,10,0,10,10,8,57.15
"CTRO-1022",1,"T",2.186210986,8.81142115,4.676056338,5.065359477,10,10,10,10,8,75.92
"CTSS-1077",1,"T",0,1.746526902,0,0,0,0,10,10,8,27.18
"CTSS-1079",1,"S",1.400283239,4.19548423,4.112676056,0,10,0,10,10,8,49.64
"CTSS-1080",1,"S",5.514651408,3.392040816,3.830985915,10,10,NA,10,10,7,75.34
"CTRF-0001",1,"S",1.654534507,10,5.802816901,9.640522876,10,10,10,10,8,83.87
"DES9-0905",1,"S",5.479202632,8.827798536,1.531428571,0,10,0,10,10,8,57.3
"DES9-0905",2,"S",5.699760827,8.690671545,4.8,0,10,0,10,10,8,61.49
"DER9-0901",1,"T",0,0,10,0,10,10,10,10,8,62.5
"DER9-0901",2,"T",0,0,10,0,10,10,10,10,8,62.5
"DER9-0902",1,"T",0,8.987137323,0,0,10,0,10,10,8,48.73
"DER9-0903",1,"S",8.281776241,9.29116229,2.742857143,0,10,10,10,10,8,75.39
"DER9-0903",2,"S",4.571520827,7.820408093,6.057142857,0,10,10,10,10,8,73.06
"DES9-0908",1,"S",1.030925564,0,0.342857143,5.591397849,10,10,10,10,8,58.71
"DES9-0912",1,"T",0,10,0,0,10,0,10,10,8,50
"DES9-0912",2,"T",0,9.872919416,0,0,10,0,10,10,8,49.84
"DELS-1027",1,"T",0,2.556703401,6.971428571,0,10,10,10,10,8,61.91
"DELS-1032",1,"S",2.705259173,0,8.457142857,1.311827957,10,10,10,10,8,65.59
"DELS-1033",1,"S",7.682663835,9.416637968,10,0,9.62195122,10,10,10,8,83.4
"DELS-1036",1,"S",2.287471053,3.30059492,6.514285714,0,9.5,10,10,10,8,64.5
"DELS-1038",1,"T",0,8.400900283,3.498542274,0,10,0,10,10,8,52.37
"DERO-1001",1,"S",5.114433308,8.078529488,6.742857143,0,10,10,10,10,8,74.92
"DERO-1002",1,"S",1.283295038,7.342704262,5.6,0,10,10,10,10,8,67.78
"DERO-1004",1,"T",0,9.038059001,0,0,10,10,10,10,8,61.3
"DERO-1005",1,"S",4.110257293,7.781869135,8.342857143,0,10,10,10,10,8,75.29
"DESS-1081",1,"S",0,10,0,0,10,10,10,10,8,62.5
"DESS-1085",1,"T",0,10,0.29154519,0,10,10,10,10,8,62.86
"DESS-1090",1,"T",0.760529699,5.266081791,0,0.215053763,10,10,10,10,8,57.8
"DESS-1092",1,"T",0,8.666497549,0,0,10,0,10,10,8,48.33
"DESS-1096",1,"T",0,3.614284115,8.457142857,9.333333333,10,10,0,10,8,64.26
"FLS9-0915",1,"T",10,0,10,10,10,10,10,10,8,87.5
"FLR9-0901",1,"S",10,10,5.942857143,10,6.195121951,10,10,10,8,90.17
"FLR9-0901",2,"S",10,10,5.028571429,10,10,10,6.5,10,8,89.41
"FLR9-0902",1,"S",10,10,10,8.946236559,4.463414634,10,10,10,8,91.76
"FLR9-0902",2,"S",10,9.836085235,10,10,10,10,10,10,8,99.8
"FLR9-0903",1,"T",0,5.856713732,6.171428571,0,10,10,10,10,8,65.04
"FLS9-0917",1,"S",10,10,10,8.817204301,0,10,6,10,8,81.02
"FLS9-0918",1,"S",10,10,10,1.204301075,10,10,10,10,8,89.01
"FLS9-0919",1,"T",0,0,0,0,10,0,7.5,10,8,34.38
"FLS9-0921",1,"S",6.91071015,10,10,3.333333333,10,0,6,10,8,70.31
"FLS9-0921",2,"S",6.930857293,10,10,10,10,0,10,10,8,83.66
"FLS9-0922",1,"T",0,10,0,0,10,0,10,10,8,50
"FLS9-0923",1,"T",10,10,10,10,5.426829268,0,10,10,8,81.78
"FLS9-0929",1,"R",10,10,10,10,10,0,10,6.9,8,83.63
"FLS9-0929",2,"R",10,10,10,10,10,0,10,9.1,8,86.38
"FLLS-1047",1,"S",6.626529398,7.899278519,10,10,10,10,10,10,8,93.16
"FLLS-1049",1,"S",0,0.095587602,9.257142857,0,10,10,10,10,8,61.69
"FLLS-1063",1,"S",0,0,0,0,10,10,10,10,8,50
"FLLS-1064",1,"R",10,10,10,10,10,10,3,10,8,91.25
"FLRM-1001",1,"S",10,8.876196298,10,6.903225806,10,10,10,10,8,94.72
"FLRM-1002",1,"S",9.818260977,0,2.971428571,0,10,10,10,10,8,65.99
"FLRO-1024",1,"S",10,10,3.657142857,8.301075269,6.243902439,10,10,10,8,85.25
"FLRO-1025",1,"S",7.104758947,0,0,4.494623656,10,10,10,10,8,64.5
"FLSS-1068",1,"T",10,10,10,10,10,10,10,8.45,8,98.06
"FLSS-1069",1,"T",0,0,7.085714286,0,10,10,8.5,10,8,56.98
"FLSS-1076",1,"T",0,5.847751184,10,9.806451613,10,10,10,10,8,82.07
"FLSS-1107",1,"T",0,0,10,10,10,10,10,10,8,75
"FLRF-0001",1,"S",9.015556391,10,10,10,10,0,10,10,8,86.27
"GAR9-0901",1,"S",9.175673158,10,0,7.720430108,10,10,10,10,8,83.62
"GAR9-0901",2,"S",9.220208947,10,0,10,10,10,10,10,8,86.53
"GAR9-0905",1,"T",7.784459925,0,6.285714286,3.462365591,8.597560976,10,10,10,8,70.16
"GAR9-0905",2,"T",8.254206466,0,0,4.88172043,0,10,10,10,8,53.92
"GAS9-0914",1,"T",8.278838258,10,4.956268222,5.283018868,10,10,10,10,8,85.65
"GAS9-0914",2,"T",8.604096637,10,2.915451895,5.962264151,10,10,10,10,8,84.35
"GAR9-0906",1,"T",10,4.554455446,5.6,5.35483871,10,10,10,10,8,81.89
"GAR9-0907",1,"T",10,6.204460611,10,10,10,10,10,10,8,95.26
"GAS9-0915",1,"S",10,10,0,0,8.466819222,0,10,10,8,60.58
"GAR9-0910",1,"S",10,6.071814895,0,5.247311828,10,10,10,10,8,76.65
"GAR9-0911",1,"T",4.45197015,10,10,0,10,10,10,10,8,80.56
"GAR9-0913",1,"S",10,9.227528196,10,0,10,10,10,10,8,86.53
"GAS9-0916",1,"R",10,10,7.771428571,10,9.268292683,10,10,10,8,96.3
"GAS9-0917",1,"T",10,10,0,10,0,10,10,10,8,75
"GAS9-0919",1,"S",10,10,0,6.79245283,4.645308924,10,10,10,8,76.8
"GAS9-0921",1,"S",10,10,4.956268222,7.056603774,3.913043478,0,10,10,8,69.91
"GAS9-0922",1,"S",10,10,4.956268222,8.037735849,0,0,10,10,8,66.24
"GAS9-0924",1,"T",7.075212853,10,0,0,7.345537757,0,9,10,8,54.28
"GAS9-0925",1,"R",10,10,4.518950437,10,0,0,10,10,8,68.15
"GAS9-0925",2,"R",10,10,4.373177843,9.547169811,0,NA,10,10,7,77.03
"GALS-1051",1,"S",10,9.327908739,10,10,0,10,10,10,8,86.66
"GALS-1052",1,"S",10,10,9.620991254,0,10,10,10,10,8,87.03
"GALS-1055",1,"S",8.662451203,9.162997848,10,0,10,10,10,10,8,84.78
"GALS-1060",1,"S",10,10,4.081632653,10,0,10,10,10,8,80.1
"GARM-1001",1,"T",6.931917669,0,5.028571429,5.720430108,10,10,10,10,8,72.1
"GARM-1002",1,"T",8.33813015,10,9.329446064,0,10,10,10,10,8,84.58
"GARM-1003",1,"T",0.038112312,9.98359312,0,0,0,10,10,10,8,50.03
"GARM-1004",1,"T",8.918001805,0.666501937,4,5.806451613,8.914634146,10,10,10,8,72.88
"GARM-1006",1,"T",8.370317177,10,10,0,10,10,10,10,8,85.46
"GARO-1032",1,"S",8.520360827,1.81818941,7.771428571,10,10,10,10,10,8,85.14
"GARO-1033",1,"T",7.473315556,10,9.037900875,3.773584906,0.480549199,10,10,10,8,75.96
"GARO-1034",1,"S",10,10,9.257142857,10,10,0,10,10,8,86.57
"GARO-1038",1,"S",10,10,10,9.935483871,10,10,10,10,8,99.92
"GASS-1077",1,"S",10,10,10,10,10,10,10,7.4,8,96.75
"GASS-1079",1,"S",9.235131772,10,0,7.773584906,7.04805492,0,10,10,8,67.57
"GASS-1081",1,"R",10,10,9.037900875,10,10,10,10,10,8,98.8
